id,category,name,pack_name,scene_name,red,green,blue,alpha,lite_flicker_rate,created_at,updated_at
1,1,打撃（小）,battle_00000,ef_001,255,255,255,255,70,2024-05-20 11:44:39,2024-05-20 11:44:39
2,1,打撃（中）,battle_00000,ef_002,255,255,255,255,70,2024-05-20 11:44:39,2024-05-20 11:44:39
3,1,打撃（大）,battle_00000,ef_003,255,255,255,255,70,2024-05-20 11:44:39,2024-05-20 11:44:39
4,1,打撃（クリティカル）,battle_00000,ef_004,255,255,255,255,70,2024-05-20 11:44:39,2024-05-20 11:44:39
5,1,蹴りHIT(小）,battle_00000,ef_005,255,255,255,255,70,2024-05-20 11:44:39,2024-05-20 11:44:39
6,1,蹴りHIT(大）,battle_00000,ef_006,255,255,255,255,70,2024-05-20 11:44:39,2024-05-20 11:44:39
7,1,斬HIT(縦斬り）,battle_00000,ef_007,255,255,255,255,70,2024-05-20 11:44:39,2024-05-20 11:44:39
8,1,斬HIT(突き切り）,battle_00000,ef_008,255,255,255,255,70,2024-05-20 11:44:39,2024-05-20 11:44:39
9,1,拳銃HIT(小）,battle_00000,ef_009,255,255,255,255,70,2024-05-20 11:44:39,2024-05-20 11:44:39
10,1,拳銃HIT(大）,battle_00000,ef_010,255,255,255,255,70,2024-05-20 11:44:39,2024-05-20 11:44:39
11,1,気弾HIT色替えも,battle_00000,ef_011,255,255,255,255,70,2024-05-20 11:44:39,2024-05-20 11:44:39
12,1,打撃（小）/敵用,battle_00000,ef_012,255,255,255,255,70,2024-05-20 11:44:39,2024-05-20 11:44:39
13,1,打撃（中）/敵用,battle_00000,ef_013,255,255,255,255,70,2024-05-20 11:44:39,2024-05-20 11:44:39
14,1,打撃（大）/敵用,battle_00000,ef_014,255,255,255,255,70,2024-05-20 11:44:39,2024-05-20 11:44:39
15,1,打撃（クリティカル）/敵用,battle_00000,ef_015,255,255,255,255,70,2024-05-20 11:44:39,2024-05-20 11:44:39
16,1,蹴りHIT(小）/敵用,battle_00000,ef_016,255,255,255,255,70,2024-05-20 11:44:39,2024-05-20 11:44:39
