id,jukebox_track_id,description,conditions,created_at,updated_at
1,2,"バーストモードのギミックを
300以上のスコアになるよう設定しクリア","{""genkai_point"": 300, ""genkai_battle_id"": 1}",2024-04-15 01:18:20,2024-04-15 01:18:20
2,101,"バーストモードのギミックを
300以上のスコアになるよう設定しクリア","{""genkai_point"": 300, ""genkai_battle_id"": 1}",2024-04-15 01:18:20,2024-04-15 01:18:20
3,102,"バーストモードのギミックを
4000以上のスコアになるよう設定しクリア","{""genkai_point"": 4000, ""genkai_battle_id"": 2}",2024-04-15 01:18:20,2024-04-15 01:18:20
4,103,"バーストモードのギミックを
4000以上のスコアになるよう設定しクリア","{""genkai_point"": 4000, ""genkai_battle_id"": 2}",2024-04-15 01:18:20,2024-04-15 01:18:20
5,3,"バーストモードのギミックを
500以上のスコアになるよう設定しクリア","{""genkai_point"": 500, ""genkai_battle_id"": 2}",2024-04-15 01:18:20,2024-04-15 01:18:20
6,901,"バーストモードのギミックを
70以上のスコアになるよう設定しクリア","{""genkai_point"": 70, ""genkai_battle_id"": 3}",2024-04-15 01:18:20,2024-04-15 01:18:20
7,902,"バーストモードのギミックを
70以上のスコアになるよう設定しクリア","{""genkai_point"": 70, ""genkai_battle_id"": 3}",2024-04-15 01:18:20,2024-04-15 01:18:20
8,903,"バーストモードのギミックを
70以上のスコアになるよう設定しクリア","{""genkai_point"": 70, ""genkai_battle_id"": 3}",2024-04-15 01:18:20,2024-04-15 01:18:20
9,904,"バーストモードのギミックを
70以上のスコアになるよう設定しクリア","{""genkai_point"": 70, ""genkai_battle_id"": 3}",2024-04-15 01:18:20,2024-04-15 01:18:20
10,905,"バーストモードのギミックを
70以上のスコアになるよう設定しクリア","{""genkai_point"": 70, ""genkai_battle_id"": 3}",2024-04-15 01:18:20,2024-04-15 01:18:20
11,906,"バーストモードのギミックを
70以上のスコアになるよう設定しクリア","{""genkai_point"": 70, ""genkai_battle_id"": 3}",2024-04-15 01:18:20,2024-04-15 01:18:20
12,907,"バーストモードのギミックを
70以上のスコアになるよう設定しクリア","{""genkai_point"": 70, ""genkai_battle_id"": 3}",2024-04-15 01:18:20,2024-04-15 01:18:20
13,908,"バーストモードのギミックを
70以上のスコアになるよう設定しクリア","{""genkai_point"": 70, ""genkai_battle_id"": 3}",2024-04-15 01:18:20,2024-04-15 01:18:20
14,104,"バーストモードのギミックを
4000以上のスコアになるよう設定しクリア","{""genkai_point"": 4000, ""genkai_battle_id"": 4}",2024-04-15 01:18:20,2024-04-15 01:18:20
15,105,"バーストモードのギミックを
4000以上のスコアになるよう設定しクリア","{""genkai_point"": 4000, ""genkai_battle_id"": 4}",2024-04-15 01:18:20,2024-04-15 01:18:20
16,4,"バーストモードのギミックを
500以上のスコアになるよう設定しクリア","{""genkai_point"": 500, ""genkai_battle_id"": 4}",2024-04-15 01:18:20,2024-04-15 01:18:20
17,106,"バーストモードのギミックを
4000以上のスコアになるよう設定しクリア","{""genkai_point"": 4000, ""genkai_battle_id"": 5}",2024-04-15 01:18:20,2024-04-15 01:18:20
18,107,"バーストモードのギミックを
4000以上のスコアになるよう設定しクリア","{""genkai_point"": 4000, ""genkai_battle_id"": 5}",2024-04-15 01:18:20,2024-04-15 01:18:20
19,5,"バーストモードのギミックを
500以上のスコアになるよう設定しクリア","{""genkai_point"": 500, ""genkai_battle_id"": 5}",2024-04-15 01:18:20,2024-04-15 01:18:20
20,108,"バーストモードのギミックを
4000以上のスコアになるよう設定しクリア","{""genkai_point"": 4000, ""genkai_battle_id"": 6}",2024-04-15 01:18:20,2024-04-15 01:18:20
21,109,"バーストモードのギミックを
4000以上のスコアになるよう設定しクリア","{""genkai_point"": 4000, ""genkai_battle_id"": 6}",2024-04-15 01:18:20,2024-04-15 01:18:20
22,6,"バーストモードのギミックを
500以上のスコアになるよう設定しクリア","{""genkai_point"": 500, ""genkai_battle_id"": 6}",2024-04-15 01:18:20,2024-04-15 01:18:20
23,112,"バーストモードのギミックを
4000以上のスコアになるよう設定しクリア","{""genkai_point"": 4000, ""genkai_battle_id"": 8}",2024-04-15 01:18:20,2024-04-15 01:18:20
24,113,"バーストモードのギミックを
4000以上のスコアになるよう設定しクリア","{""genkai_point"": 4000, ""genkai_battle_id"": 8}",2024-04-15 01:18:20,2024-04-15 01:18:20
25,8,"バーストモードのギミックを
500以上のスコアになるよう設定しクリア","{""genkai_point"": 500, ""genkai_battle_id"": 8}",2024-04-15 01:18:20,2024-04-15 01:18:20
26,110,"バーストモードのギミックを
4000以上のスコアになるよう設定しクリア","{""genkai_point"": 4000, ""genkai_battle_id"": 7}",2024-04-15 01:18:20,2024-04-15 01:18:20
27,111,"バーストモードのギミックを
4000以上のスコアになるよう設定しクリア","{""genkai_point"": 4000, ""genkai_battle_id"": 7}",2024-04-15 01:18:20,2024-04-15 01:18:20
28,7,"バーストモードのギミックを
500以上のスコアになるよう設定しクリア","{""genkai_point"": 500, ""genkai_battle_id"": 7}",2024-04-15 01:18:20,2024-04-15 01:18:20
29,114,"バーストモードのギミックを
4000以上のスコアになるよう設定しクリア","{""genkai_point"": 4000, ""genkai_battle_id"": 9}",2024-04-15 01:18:20,2024-04-15 01:18:20
30,115,"バーストモードのギミックを
4000以上のスコアになるよう設定しクリア","{""genkai_point"": 4000, ""genkai_battle_id"": 9}",2024-04-15 01:18:20,2024-04-15 01:18:20
31,9,"バーストモードのギミックを
500以上のスコアになるよう設定しクリア","{""genkai_point"": 500, ""genkai_battle_id"": 9}",2024-04-15 01:18:20,2024-04-15 01:18:20
32,116,"バーストモードのギミックを
4000以上のスコアになるよう設定しクリア","{""genkai_point"": 4000, ""genkai_battle_id"": 10}",2024-04-15 01:18:20,2024-04-15 01:18:20
33,117,"バーストモードのギミックを
4000以上のスコアになるよう設定しクリア","{""genkai_point"": 4000, ""genkai_battle_id"": 10}",2024-04-15 01:18:20,2024-04-15 01:18:20
34,10,"バーストモードのギミックを
500以上のスコアになるよう設定しクリア","{""genkai_point"": 500, ""genkai_battle_id"": 10}",2024-04-15 01:18:20,2024-04-15 01:18:20
35,118,"バーストモードのギミックを
4000以上のスコアになるよう設定しクリア","{""genkai_point"": 4000, ""genkai_battle_id"": 11}",2024-04-15 01:18:20,2024-04-15 01:18:20
36,119,"バーストモードのギミックを
4000以上のスコアになるよう設定しクリア","{""genkai_point"": 4000, ""genkai_battle_id"": 11}",2024-04-15 01:18:20,2024-04-15 01:18:20
37,11,"バーストモードのギミックを
500以上のスコアになるよう設定しクリア","{""genkai_point"": 500, ""genkai_battle_id"": 11}",2024-04-15 01:18:20,2024-04-15 01:18:20
38,120,"バーストモードのギミックを
4000以上のスコアになるよう設定しクリア","{""genkai_point"": 4000, ""genkai_battle_id"": 12}",2024-04-15 01:18:20,2024-04-15 01:18:20
