id,name,description,increase_rate,aim_target,created_at,updated_at
2,LR超サイヤ人4孫悟空・ベジータ用,究極ダメージ+100%,650,0,2024-05-13 02:07:26,2024-05-13 02:07:26
3,孫悟空(少年期)用,究極ダメージを与える,550,0,2024-05-13 02:07:26,2024-05-13 02:07:26
4,LR悟飯&悟天用,究極ダメージ+100%,650,0,2024-05-13 02:07:26,2024-05-13 02:07:26
5,フリーザ(第二形態)用,"超特大ダメージを与える
(技レベル15相当)",430,0,2024-05-13 02:07:26,2024-05-13 02:07:26
6,LRパーフェクトセル用,究極ダメージ+50%,600,0,2024-05-13 02:07:26,2024-05-13 02:07:26
7,SSGSS孫悟空(界王拳)用,"究極ダメージを与える
(1ターン仲間ATK30%UPあり)",520,0,2024-05-13 02:07:26,2024-05-13 02:07:26
8,SSGSSベジット用,究極ダメージ+50%,600,0,2024-05-13 02:07:26,2024-05-13 02:07:26
9,SSGSSゴジータ用,究極ダメージ+50%,600,0,2024-05-13 02:07:26,2024-05-13 02:07:26
10,トランクス(未来)&マイ(未来)用,628%ダメージ,628,0,2024-05-13 02:07:26,2024-05-13 02:07:26
11,孫悟空(身勝手の極意)用,究極ダメージ+50%,600,0,2024-05-13 02:07:26,2024-05-13 02:07:26
12,SSGSSベジータ(進化)用,敵全体に超極大ダメージ,440,1,2024-05-13 02:07:26,2024-05-13 02:07:26
13,亀仙人用,究極ダメージ+100%,650,0,2024-05-13 02:07:26,2024-05-13 02:07:26
14,17号用,究極ダメージ+50%,600,0,2024-05-13 02:07:26,2024-05-13 02:07:26
15,超サイヤ人孫悟空(GT)用,究極ダメージ+100%,650,0,2024-05-13 02:07:26,2024-05-13 02:07:26
16,超サイヤ人ベジータ(GT)用,究極ダメージ+100%,650,0,2024-05-13 02:07:26,2024-05-13 02:07:26
17,超17号用,究極ダメージを与える,550,0,2024-05-13 02:07:26,2024-05-13 02:07:26
18,桃白白用,究極ダメージ+100%,650,0,2024-05-13 02:07:26,2024-05-13 02:07:26
19,界王拳,究極ダメージを与える,550,0,2024-05-13 02:07:26,2024-05-13 02:07:26
20,界王拳,究極ダメージ+30%,580,0,2024-05-13 02:07:26,2024-05-13 02:07:26
21,Wドッカン超サイヤ人孫悟空,究極ダメージ+50%,600,0,2024-05-13 02:07:26,2024-05-13 02:07:26
22,Wドッカンフリーザ(フルパワー),究極ダメージ+50%,600,0,2024-05-13 02:07:26,2024-05-13 02:07:26
23,フュージョン(7周年Wドッカン),究極ダメージを与える,550,0,2024-05-13 02:07:26,2024-05-13 02:07:26
24,ウルトラビッグバンかめはめ波(7周年Wドッカン),究極ダメージを与える,550,0,2024-05-13 02:07:26,2024-05-13 02:07:26
25,芭蕉扇,究極ダメージ+50%,600,0,2024-05-13 02:07:26,2024-05-13 02:07:26
