id,num,title,created_at,updated_at
1,90,キャラクター,2022-11-16 01:41:36,2022-11-16 01:41:36
2,80,冒険,2022-11-16 01:41:36,2022-11-16 01:41:36
3,70,バトル,2022-11-16 01:41:36,2022-11-16 01:41:36
4,60,アイテム,2022-11-16 01:41:36,2022-11-16 01:41:36
5,50,フレンド,2022-11-16 01:41:36,2022-11-16 01:41:36
6,40,ミッション,2022-11-16 01:41:36,2022-11-16 01:41:36
7,30,ババの交換所,2022-11-16 01:41:36,2022-11-16 01:41:36
8,20,潜在能力解放,2022-11-16 01:41:36,2022-11-16 01:41:36
9,10,その他,2022-11-16 01:41:36,2022-11-16 01:41:36
10,15,極限Zバトル,2022-11-16 01:41:36,2022-11-16 01:41:36
11,18,追憶の扉,2022-11-16 01:41:36,2022-11-16 01:41:36
12,19,スキル玉,2022-11-16 01:41:36,2022-11-16 01:41:36
13,14,マイデータ,2022-11-16 01:41:36,2022-11-16 01:41:36
14,13,バーストモード,2022-11-16 01:41:36,2022-11-16 01:41:36
15,12,コレクションルーム,2022-11-16 01:41:36,2022-11-16 01:41:36
