id,budokai_id,prev_budokai_id,prev_budokai_box_ranking_id,player_max_count,box_max_count,start_at,end_at,collecting_end_at,created_at,updated_at
1,15,14.0,,300,,2016-10-27 08:00:00,2016-10-31 12:59:59,2016-11-01 08:59:59,2024-03-22 02:20:06,2024-03-22 02:20:06
2,16,15.0,,300,,2016-12-22 08:00:00,2016-12-26 12:59:59,2016-12-27 08:59:59,2024-03-22 02:20:06,2024-03-22 02:20:06
171,17,,,0,4000.0,2017-02-10 08:00:00,2017-02-12 12:59:59,2017-02-13 08:59:59,2024-03-22 02:20:06,2024-03-22 02:20:06
181,18,,,0,4000.0,2017-04-21 08:00:00,2017-04-23 12:59:59,2017-04-24 08:59:59,2024-03-22 02:20:06,2024-03-22 02:20:06
191,19,,,0,3200.0,2017-05-26 08:00:00,2017-05-28 12:59:59,2017-05-30 08:59:59,2024-03-22 02:20:06,2024-03-22 02:20:06
201,20,,,0,2900.0,2017-06-23 08:00:00,2017-06-25 12:59:59,2017-06-27 08:59:59,2024-03-22 02:20:06,2024-03-22 02:20:06
211,21,,,0,3000.0,2017-09-22 08:00:00,2017-09-24 12:59:59,2017-09-26 08:59:59,2024-03-22 02:20:06,2024-03-22 02:20:06
221,22,,,0,2426.0,2010-12-08 08:00:00,2010-12-10 12:59:59,2010-12-12 08:59:59,2024-03-22 02:20:06,2024-03-22 02:20:06
231,23,,,0,2800.0,2018-04-06 08:00:00,2018-04-08 12:59:59,2018-04-10 08:59:59,2024-03-22 02:20:06,2024-03-22 02:20:06
241,24,,,0,2300.0,2018-06-22 08:00:00,2018-06-24 12:59:59,2018-06-26 08:59:59,2024-03-22 02:20:06,2024-03-22 02:20:06
251,25,,,0,2500.0,2018-08-10 08:00:00,2018-08-12 12:59:59,2018-08-14 08:59:59,2024-03-22 02:20:06,2024-03-22 02:20:06
261,26,,,0,2500.0,2018-10-19 08:00:00,2018-10-21 12:59:59,2018-10-23 08:59:59,2024-03-22 02:20:06,2024-03-22 02:20:06
271,27,,,0,2400.0,2018-12-07 08:00:00,2018-12-09 12:59:59,2018-12-11 08:59:59,2024-03-22 02:20:06,2024-03-22 02:20:06
281,28,,,0,3757.0,2019-01-25 08:00:00,2019-01-27 12:59:59,2019-01-29 08:59:59,2024-03-22 02:20:06,2024-03-22 02:20:06
291,29,,,0,3300.0,2019-03-15 08:00:00,2019-03-17 12:59:59,2019-03-19 08:59:59,2024-03-22 02:20:06,2024-03-22 02:20:06
301,30,,,0,2560.0,2019-05-24 08:00:00,2019-05-26 12:59:59,2019-05-28 08:59:59,2024-03-22 02:20:06,2024-03-22 02:20:06
311,31,,,0,2600.0,2019-07-26 08:00:00,2019-07-28 12:59:59,2019-07-30 08:59:59,2024-03-22 02:20:06,2024-03-22 02:20:06
321,32,,,0,2400.0,2019-10-25 08:00:00,2019-10-27 12:59:59,2019-10-29 08:59:59,2024-03-22 02:20:06,2024-03-22 02:20:06
331,33,,,0,2200.0,2019-12-20 08:00:00,2019-12-22 12:59:59,2019-12-24 08:59:59,2024-03-22 02:20:06,2024-03-22 02:20:06
341,34,,,0,2600.0,2020-03-13 08:00:00,2020-03-15 12:59:59,2020-03-17 08:59:59,2024-03-22 02:20:06,2024-03-22 02:20:06
351,35,,,0,1780.0,2020-05-22 08:00:00,2020-05-24 12:59:59,2020-05-26 08:59:59,2024-03-22 02:20:06,2024-03-22 02:20:06
361,36,,,0,1310.0,2020-08-07 08:00:00,2020-08-09 12:59:59,2020-08-11 08:59:59,2024-03-22 02:20:06,2024-03-22 02:20:06
371,37,,,0,1485.0,2020-10-23 08:00:00,2020-10-25 12:59:59,2020-10-27 08:59:59,2024-03-22 02:20:06,2024-03-22 02:20:06
381,38,,,0,1605.0,2020-12-18 08:00:00,2020-12-20 12:59:59,2020-12-22 08:59:59,2024-03-22 02:20:06,2024-03-22 02:20:06
391,39,,,0,1935.0,2021-04-09 08:00:00,2021-04-11 12:59:59,2021-04-13 08:59:59,2024-03-22 02:20:06,2024-03-22 02:20:06
401,40,,,0,2115.0,2021-07-23 08:00:00,2021-07-25 12:59:59,2021-07-27 08:59:59,2024-03-22 02:20:06,2024-03-22 02:20:06
411,41,,,0,1680.0,2021-10-08 08:00:00,2021-10-10 12:59:59,2021-10-12 08:59:59,2024-03-22 02:20:06,2024-03-22 02:20:06
421,42,,,0,1570.0,2021-12-17 08:00:00,2021-12-19 12:59:59,2021-12-21 08:59:59,2024-03-22 02:20:06,2024-03-22 02:20:06
431,43,,,0,1510.0,2022-04-08 08:00:00,2022-04-10 12:59:59,2022-04-12 08:59:59,2024-03-22 02:20:06,2024-03-22 02:20:06
441,44,,,0,1665.0,2022-06-17 08:00:00,2022-06-19 12:59:59,2022-06-21 08:59:59,2024-03-22 02:20:06,2024-03-22 02:20:06
451,45,,,0,1305.0,2022-11-25 08:00:00,2022-11-27 12:59:59,2022-11-29 08:59:59,2024-03-22 02:20:06,2024-03-22 02:20:06
461,46,,,0,2000.0,2023-02-17 08:00:00,2023-02-19 12:59:59,2023-02-21 08:59:59,2024-03-22 02:20:06,2024-03-22 02:20:06
471,47,,,0,1520.0,2023-04-14 08:00:00,2023-04-16 12:59:59,2023-04-18 08:59:59,2024-03-22 02:20:06,2024-03-22 02:20:06
481,48,,,0,1135.0,2023-06-23 08:00:00,2023-06-25 12:59:59,2023-06-27 08:59:59,2024-03-22 02:20:06,2024-03-22 02:20:06
491,49,,,0,1315.0,2023-08-11 08:00:00,2023-08-13 12:59:59,2023-08-15 08:59:59,2024-03-22 02:20:06,2024-03-22 02:20:06
501,50,,,0,1200.0,2023-10-20 08:00:00,2023-10-22 12:59:59,2023-10-24 08:59:59,2024-03-22 02:20:06,2024-03-22 02:20:06
511,51,,,0,1110.0,2023-12-15 08:00:00,2023-12-17 12:59:59,2023-12-19 08:59:59,2024-03-22 02:20:06,2024-03-22 02:20:06
521,52,,,0,1495.0,2024-03-22 08:00:00,2024-03-24 12:59:59,2024-03-26 08:59:59,2024-03-22 02:20:06,2024-03-22 02:20:06
10221,1022,,,0,1900.0,2017-12-13 08:00:00,2017-12-15 12:59:59,2017-12-18 05:10:00,2024-03-22 02:20:06,2024-03-22 02:20:06
