id,battle_param_value,name,created_at,updated_at
1,1,変身,2024-02-10 05:48:22,2024-02-10 05:48:22
2,2,合体,2024-02-10 05:48:22,2024-02-10 05:48:22
3,3,融合,2024-02-10 05:48:22,2024-02-10 05:48:22
4,4,同化,2024-02-10 05:48:22,2024-02-10 05:48:22
5,5,吸収,2024-02-10 05:48:22,2024-02-10 05:48:22
6,6,寄生,2024-02-10 05:48:22,2024-02-10 05:48:22
7,7,覚醒,2024-02-10 05:48:22,2024-02-10 05:48:22
8,8,強化,2024-02-10 05:48:22,2024-02-10 05:48:22
9,9,進化,2024-02-10 05:48:22,2024-02-10 05:48:22
10,10,異形化,2024-02-10 05:48:22,2024-02-10 05:48:22
11,11,交代,2024-02-10 05:48:22,2024-02-10 05:48:22
12,12,若返り,2024-02-10 05:48:22,2024-02-10 05:48:22
13,13,解除,2024-02-10 05:48:22,2024-02-10 05:48:22
14,14,大猿化,2024-02-10 05:48:22,2024-02-10 05:48:22
15,15,幻魔人,2024-02-10 05:48:22,2024-02-10 05:48:22
16,16,巨大化,2024-02-10 05:48:22,2024-02-10 05:48:22
17,17,コア,2024-02-10 05:48:22,2024-02-10 05:48:22
18,18,激怒,2024-02-10 05:48:22,2024-02-10 05:48:22
19,19,復活,2024-02-10 05:48:22,2024-02-10 05:48:22
20,20,着替え,2024-02-10 05:48:22,2024-02-10 05:48:22
21,21,チェンジ,2024-02-10 05:48:22,2024-02-10 05:48:22
22,22,奮起,2024-02-10 05:48:22,2024-02-10 05:48:22
23,23,スタンバイ,2024-02-10 05:48:22,2024-02-10 05:48:22
24,24,フィニッシュ,2024-02-10 05:48:22,2024-02-10 05:48:22
25,25,宇宙化,2024-02-10 05:48:22,2024-02-10 05:48:22
26,26,寝覚め,2024-02-10 05:48:22,2024-02-10 05:48:22
