id,selection_table_id,event_id,created_at,updated_at
1,1,21,2016-11-29 03:06:40,2016-11-29 03:06:40
2,1,22,2016-11-29 03:06:40,2016-11-29 03:06:40
3,2,22,2016-11-29 03:06:40,2016-11-29 03:06:40
4,2,24,2016-11-29 03:06:40,2016-11-29 03:06:40
5,3,21,2016-11-29 03:06:40,2016-11-29 03:06:40
6,3,24,2016-11-29 03:06:40,2016-11-29 03:06:40
7,4,30,2016-11-29 03:06:40,2016-11-29 03:06:40
8,4,31,2016-11-29 03:06:40,2016-11-29 03:06:40
9,5,35,2016-11-29 03:06:40,2016-11-29 03:06:40
10,5,36,2016-11-29 03:06:40,2016-11-29 03:06:40
11,6,21,2016-11-29 03:06:40,2016-11-29 03:06:40
12,6,22,2016-11-29 03:06:40,2016-11-29 03:06:40
13,6,24,2016-11-29 03:06:40,2016-11-29 03:06:40
14,7,39,2017-05-08 02:22:01,2017-05-08 02:22:01
15,7,41,2017-05-08 02:22:01,2017-05-08 02:22:01
16,7,15,2017-05-08 02:22:01,2017-05-08 02:22:01
17,8,100,2017-05-08 02:22:01,2017-05-08 02:22:01
18,8,101,2017-05-08 02:22:01,2017-05-08 02:22:01
19,9,103,2017-05-08 02:22:01,2017-05-08 02:22:01
20,9,104,2017-05-08 02:22:01,2017-05-08 02:22:01
21,9,105,2017-05-08 02:22:01,2017-05-08 02:22:01
22,10,101,2017-07-28 02:18:12,2017-07-28 02:18:12
23,10,107,2017-07-28 02:18:12,2017-07-28 02:18:12
24,11,109,2017-07-28 02:18:12,2017-07-28 02:18:12
25,11,110,2017-07-28 02:18:12,2017-07-28 02:18:12
26,12,112,2017-07-28 02:18:12,2017-07-28 02:18:12
27,12,110,2017-07-28 02:18:12,2017-07-28 02:18:12
28,13,30,2017-07-28 02:18:12,2017-07-28 02:18:12
29,13,35,2017-07-28 02:18:12,2017-07-28 02:18:12
30,14,100,2017-07-28 02:18:12,2017-07-28 02:18:12
31,14,107,2017-07-28 02:18:12,2017-07-28 02:18:12
32,15,103,2017-07-28 02:18:12,2017-07-28 02:18:12
33,15,105,2017-07-28 02:18:12,2017-07-28 02:18:12
34,16,103,2018-01-27 00:14:22,2018-01-27 00:14:22
35,16,104,2018-01-27 00:14:22,2018-01-27 00:14:22
36,17,30,2018-01-27 00:14:22,2018-01-27 00:14:22
37,17,36,2018-01-27 00:14:23,2018-01-27 00:14:23
38,18,100,2018-01-27 00:14:23,2018-01-27 00:14:23
39,18,101,2018-01-27 00:14:23,2018-01-27 00:14:23
40,18,107,2018-01-27 00:14:23,2018-01-27 00:14:23
41,19,109,2018-02-20 02:15:31,2018-02-20 02:15:31
42,19,112,2018-02-20 02:15:31,2018-02-20 02:15:31
43,20,123,2018-02-20 02:15:31,2018-02-20 02:15:31
44,20,124,2018-02-20 02:15:31,2018-02-20 02:15:31
45,21,126,2018-02-20 02:15:32,2018-02-20 02:15:32
46,21,127,2018-02-20 02:15:32,2018-02-20 02:15:32
47,22,31,2018-02-20 02:15:32,2018-02-20 02:15:32
48,22,36,2018-02-20 02:15:32,2018-02-20 02:15:32
49,23,39,2018-02-20 02:15:32,2018-02-20 02:15:32
50,23,41,2018-02-20 02:15:32,2018-02-20 02:15:32
51,24,39,2018-02-20 02:15:32,2018-02-20 02:15:32
52,24,15,2018-02-20 02:15:32,2018-02-20 02:15:32
53,25,35,2019-02-14 03:06:21,2019-02-14 03:06:21
54,25,31,2019-02-14 03:06:21,2019-02-14 03:06:21
