id,card_id,finish_skill_set_id,created_at,updated_at
1,4026400,1,2024-02-15 00:03:42,2024-02-15 00:03:42
2,4026401,1,2024-02-15 00:03:42,2024-02-15 00:03:42
3,4026400,2,2024-02-15 00:03:42,2024-02-15 00:03:42
4,4026401,2,2024-02-15 00:03:42,2024-02-15 00:03:42
5,4025740,3,2024-02-15 00:03:42,2024-02-15 00:03:42
6,4025741,3,2024-02-15 00:03:42,2024-02-15 00:03:42
7,4025740,4,2024-02-15 00:03:42,2024-02-15 00:03:42
8,4025741,4,2024-02-15 00:03:42,2024-02-15 00:03:42
9,4025780,5,2024-02-15 00:03:42,2024-02-15 00:03:42
10,4025781,5,2024-02-15 00:03:42,2024-02-15 00:03:42
11,4026540,6,2024-02-15 00:03:42,2024-02-15 00:03:42
12,4026541,6,2024-02-15 00:03:42,2024-02-15 00:03:42
13,4026910,7,2024-02-15 00:03:42,2024-02-15 00:03:42
14,4026911,7,2024-02-15 00:03:42,2024-02-15 00:03:42
15,4026910,8,2024-02-15 00:03:42,2024-02-15 00:03:42
16,4026911,9,2024-02-15 00:03:42,2024-02-15 00:03:42
17,4027300,10,2024-02-15 00:03:42,2024-02-15 00:03:42
18,4027301,10,2024-02-15 00:03:42,2024-02-15 00:03:42
19,9526400,1,2024-02-15 00:03:42,2024-02-15 00:03:42
20,9526401,1,2024-02-15 00:03:42,2024-02-15 00:03:42
21,9526400,2,2024-02-15 00:03:42,2024-02-15 00:03:42
22,9526401,2,2024-02-15 00:03:42,2024-02-15 00:03:42
23,4027630,11,2024-02-15 00:03:42,2024-02-15 00:03:42
24,4027631,11,2024-02-15 00:03:42,2024-02-15 00:03:42
25,4027630,12,2024-02-15 00:03:42,2024-02-15 00:03:42
26,4027631,12,2024-02-15 00:03:42,2024-02-15 00:03:42
27,4028380,13,2024-02-15 00:03:42,2024-02-15 00:03:42
28,4028381,14,2024-02-15 00:03:42,2024-02-15 00:03:42
