id,comment,required_stone_for_unrelease,created_at,updated_at
1,"選択可能スキル: 連続攻撃+3, 会心+3",5,2021-12-17 04:18:04,2021-12-17 04:18:04
2,"選択可能スキル: 会心+3, 回避+3",5,2021-12-17 04:18:04,2021-12-17 04:18:04
3,"選択可能スキル: 連続攻撃+3, 回避+3",5,2021-12-17 04:18:04,2021-12-17 04:18:04
4,"選択可能スキル: 属性攻撃UP+5, 必殺威力UP+5",5,2021-12-17 04:18:04,2021-12-17 04:18:04
5,"選択可能スキル: 属性防御UP+5, 治癒+5",5,2021-12-17 04:18:04,2021-12-17 04:18:04
6,"選択可能スキル: 連続攻撃+3, 会心+3, 回避+3",5,2021-12-17 04:18:04,2021-12-17 04:18:04
7,"選択可能スキル: 連続攻撃+5, 会心+5, 回避+5",5,2021-12-17 04:18:04,2021-12-17 04:18:04
8,"選択可能スキル: 連続攻撃+2, 会心+2",5,2021-12-17 04:18:04,2021-12-17 04:18:04
9,"選択可能スキル: 連続攻撃+4, 会心+4, 回避+4",5,2021-12-17 04:18:04,2021-12-17 04:18:04
10,"選択可能スキル: 会心+2, 回避+2",5,2021-12-17 04:18:04,2021-12-17 04:18:04
11,"選択可能スキル: 連続攻撃+1, 回避+1",5,2021-12-17 04:18:04,2021-12-17 04:18:04
12,"選択可能スキル: 会心+1, 回避+1",5,2021-12-17 04:18:04,2021-12-17 04:18:04
13,"選択可能スキル: 属性攻撃UP+5, 属性防御UP+5",5,2021-12-17 04:18:04,2021-12-17 04:18:04
14,"選択可能スキル: 連続攻撃+2, 回避+2",5,2021-12-17 04:18:04,2021-12-17 04:18:04
15,"選択可能スキル: 連続攻撃+4, 回避+4",5,2021-12-17 04:18:04,2021-12-17 04:18:04
16,"選択可能スキル: 連続攻撃+4, 会心+4",5,2021-12-17 04:18:04,2021-12-17 04:18:04
17,"選択可能スキル: 属性攻撃UP+5, 治癒+5",5,2021-12-17 04:18:04,2021-12-17 04:18:04
18,"選択可能スキル: 連続攻撃+2, 会心+2, 回避+2",5,2021-12-17 04:18:04,2021-12-17 04:18:04
19,"選択可能スキル: 連続攻撃+1, 会心+1",5,2021-12-17 04:18:04,2021-12-17 04:18:04
20,"選択可能スキル: 属性攻撃UP+3, 属性防御UP+3",5,2021-12-17 04:18:04,2021-12-17 04:18:04
21,"選択可能スキル: 必殺威力UP+3, 治癒+3",5,2021-12-17 04:18:04,2021-12-17 04:18:04
22,"選択可能スキル: 必殺威力UP+5, 治癒+5",5,2021-12-17 04:18:04,2021-12-17 04:18:04
23,"選択可能スキル: 連続攻撃+5, 会心+5",5,2021-12-17 04:18:04,2021-12-17 04:18:04
24,"選択可能スキル: 連続攻撃+5, 回避+5",5,2021-12-17 04:18:04,2021-12-17 04:18:04
25,"選択可能スキル: 属性防御UP+5, 必殺威力UP+5",5,2021-12-17 04:18:04,2021-12-17 04:18:04
