id,lv,exp_type,exp_total,created_at,updated_at
1,1,0,0,2017-11-14 01:42:47,2017-11-14 01:42:47
2,2,0,3,2017-11-14 01:42:47,2017-11-14 01:42:47
3,3,0,27,2017-11-14 01:42:47,2017-11-14 01:42:47
4,4,0,70,2017-11-14 01:42:47,2017-11-14 01:42:47
5,5,0,124,2017-11-14 01:42:47,2017-11-14 01:42:47
6,6,0,200,2017-11-14 01:42:47,2017-11-14 01:42:47
7,7,0,310,2017-11-14 01:42:47,2017-11-14 01:42:47
8,8,0,459,2017-11-14 01:42:47,2017-11-14 01:42:47
9,9,0,654,2017-11-14 01:42:47,2017-11-14 01:42:47
10,10,0,901,2017-11-14 01:42:47,2017-11-14 01:42:47
11,11,0,1205,2017-11-14 01:42:47,2017-11-14 01:42:47
12,12,0,1574,2017-11-14 01:42:47,2017-11-14 01:42:47
13,13,0,2013,2017-11-14 01:42:47,2017-11-14 01:42:47
14,14,0,2527,2017-11-14 01:42:47,2017-11-14 01:42:47
15,15,0,3124,2017-11-14 01:42:47,2017-11-14 01:42:47
16,16,0,3809,2017-11-14 01:42:47,2017-11-14 01:42:47
17,17,0,4589,2017-11-14 01:42:47,2017-11-14 01:42:47
18,18,0,5469,2017-11-14 01:42:47,2017-11-14 01:42:47
19,19,0,6456,2017-11-14 01:42:47,2017-11-14 01:42:47
20,20,0,7555,2017-11-14 01:42:47,2017-11-14 01:42:47
21,21,0,8773,2017-11-14 01:42:47,2017-11-14 01:42:47
22,22,0,10116,2017-11-14 01:42:47,2017-11-14 01:42:47
23,23,0,11590,2017-11-14 01:42:47,2017-11-14 01:42:47
24,24,0,13201,2017-11-14 01:42:47,2017-11-14 01:42:47
25,25,0,14956,2017-11-14 01:42:47,2017-11-14 01:42:47
26,26,0,16859,2017-11-14 01:42:47,2017-11-14 01:42:47
27,27,0,18918,2017-11-14 01:42:47,2017-11-14 01:42:47
28,28,0,21138,2017-11-14 01:42:47,2017-11-14 01:42:47
29,29,0,23525,2017-11-14 01:42:47,2017-11-14 01:42:47
30,30,0,26087,2017-11-14 01:42:47,2017-11-14 01:42:47
31,31,0,28828,2017-11-14 01:42:47,2017-11-14 01:42:47
32,32,0,31754,2017-11-14 01:42:47,2017-11-14 01:42:47
33,33,0,34873,2017-11-14 01:42:48,2017-11-14 01:42:48
34,34,0,38189,2017-11-14 01:42:48,2017-11-14 01:42:48
35,35,0,41710,2017-11-14 01:42:48,2017-11-14 01:42:48
36,36,0,45440,2017-11-14 01:42:48,2017-11-14 01:42:48
37,37,0,49387,2017-11-14 01:42:48,2017-11-14 01:42:48
38,38,0,53556,2017-11-14 01:42:48,2017-11-14 01:42:48
39,39,0,57954,2017-11-14 01:42:48,2017-11-14 01:42:48
40,40,0,62586,2017-11-14 01:42:48,2017-11-14 01:42:48
41,41,0,67459,2017-11-14 01:42:48,2017-11-14 01:42:48
42,42,0,72578,2017-11-14 01:42:48,2017-11-14 01:42:48
43,43,0,77950,2017-11-14 01:42:48,2017-11-14 01:42:48
44,44,0,83581,2017-11-14 01:42:48,2017-11-14 01:42:48
45,45,0,89477,2017-11-14 01:42:48,2017-11-14 01:42:48
46,46,0,95644,2017-11-14 01:42:48,2017-11-14 01:42:48
47,47,0,102088,2017-11-14 01:42:48,2017-11-14 01:42:48
48,48,0,108816,2017-11-14 01:42:48,2017-11-14 01:42:48
49,49,0,115832,2017-11-14 01:42:48,2017-11-14 01:42:48
50,50,0,123144,2017-11-14 01:42:48,2017-11-14 01:42:48
51,51,0,130758,2017-11-14 01:42:48,2017-11-14 01:42:48
52,52,0,138679,2017-11-14 01:42:48,2017-11-14 01:42:48
53,53,0,146914,2017-11-14 01:42:48,2017-11-14 01:42:48
54,54,0,155469,2017-11-14 01:42:48,2017-11-14 01:42:48
55,55,0,164349,2017-11-14 01:42:48,2017-11-14 01:42:48
56,56,0,173562,2017-11-14 01:42:48,2017-11-14 01:42:48
57,57,0,183112,2017-11-14 01:42:48,2017-11-14 01:42:48
58,58,0,193007,2017-11-14 01:42:48,2017-11-14 01:42:48
59,59,0,203251,2017-11-14 01:42:48,2017-11-14 01:42:48
60,60,0,213853,2017-11-14 01:42:48,2017-11-14 01:42:48
61,61,0,224816,2017-11-14 01:42:48,2017-11-14 01:42:48
62,62,0,236148,2017-11-14 01:42:48,2017-11-14 01:42:48
63,63,0,247855,2017-11-14 01:42:48,2017-11-14 01:42:48
64,64,0,259942,2017-11-14 01:42:48,2017-11-14 01:42:48
65,65,0,272416,2017-11-14 01:42:48,2017-11-14 01:42:48
66,66,0,285283,2017-11-14 01:42:48,2017-11-14 01:42:48
67,67,0,298549,2017-11-14 01:42:48,2017-11-14 01:42:48
68,68,0,312220,2017-11-14 01:42:48,2017-11-14 01:42:48
69,69,0,326302,2017-11-14 01:42:48,2017-11-14 01:42:48
70,70,0,340801,2017-11-14 01:42:48,2017-11-14 01:42:48
71,71,0,355724,2017-11-14 01:42:48,2017-11-14 01:42:48
72,72,0,371076,2017-11-14 01:42:48,2017-11-14 01:42:48
73,73,0,386863,2017-11-14 01:42:48,2017-11-14 01:42:48
74,74,0,403092,2017-11-14 01:42:48,2017-11-14 01:42:48
75,75,0,419769,2017-11-14 01:42:48,2017-11-14 01:42:48
76,76,0,436900,2017-11-14 01:42:48,2017-11-14 01:42:48
77,77,0,454490,2017-11-14 01:42:48,2017-11-14 01:42:48
78,78,0,472546,2017-11-14 01:42:48,2017-11-14 01:42:48
79,79,0,491075,2017-11-14 01:42:48,2017-11-14 01:42:48
80,80,0,510081,2017-11-14 01:42:48,2017-11-14 01:42:48
81,81,0,529572,2017-11-14 01:42:48,2017-11-14 01:42:48
82,82,0,549553,2017-11-14 01:42:48,2017-11-14 01:42:48
83,83,0,570031,2017-11-14 01:42:48,2017-11-14 01:42:48
84,84,0,591011,2017-11-14 01:42:48,2017-11-14 01:42:48
85,85,0,612499,2017-11-14 01:42:48,2017-11-14 01:42:48
86,86,0,634502,2017-11-14 01:42:48,2017-11-14 01:42:48
87,87,0,657026,2017-11-14 01:42:48,2017-11-14 01:42:48
88,88,0,680077,2017-11-14 01:42:48,2017-11-14 01:42:48
89,89,0,703661,2017-11-14 01:42:48,2017-11-14 01:42:48
90,90,0,727784,2017-11-14 01:42:48,2017-11-14 01:42:48
91,91,0,752452,2017-11-14 01:42:48,2017-11-14 01:42:48
92,92,0,777671,2017-11-14 01:42:48,2017-11-14 01:42:48
93,93,0,803448,2017-11-14 01:42:48,2017-11-14 01:42:48
94,94,0,829787,2017-11-14 01:42:48,2017-11-14 01:42:48
95,95,0,856697,2017-11-14 01:42:48,2017-11-14 01:42:48
96,96,0,884182,2017-11-14 01:42:48,2017-11-14 01:42:48
97,97,0,912249,2017-11-14 01:42:48,2017-11-14 01:42:48
98,98,0,940903,2017-11-14 01:42:48,2017-11-14 01:42:48
99,99,0,970151,2017-11-14 01:42:48,2017-11-14 01:42:48
100,100,0,1000000,2017-11-14 01:42:48,2017-11-14 01:42:48
101,1,1,0,2017-11-14 01:42:48,2017-11-14 01:42:48
102,2,1,5,2017-11-14 01:42:48,2017-11-14 01:42:48
103,3,1,41,2017-11-14 01:42:48,2017-11-14 01:42:48
104,4,1,105,2017-11-14 01:42:48,2017-11-14 01:42:48
105,5,1,187,2017-11-14 01:42:48,2017-11-14 01:42:48
106,6,1,301,2017-11-14 01:42:48,2017-11-14 01:42:48
107,7,1,465,2017-11-14 01:42:48,2017-11-14 01:42:48
108,8,1,689,2017-11-14 01:42:48,2017-11-14 01:42:48
