id,mission_id,item_id,item_type,quantity,card_exp_init,announcement_priority,announcement_label,created_at,updated_at
101,101,10001,Dragonball,1,0,,,2024-05-20 01:34:09,2024-05-20 01:34:09
102,102,10002,Dragonball,1,0,,,2024-05-20 01:34:09,2024-05-20 01:34:09
103,103,10003,Dragonball,1,0,,,2024-05-20 01:34:09,2024-05-20 01:34:09
104,104,10004,Dragonball,1,0,,,2024-05-20 01:34:09,2024-05-20 01:34:09
105,105,10005,Dragonball,1,0,,,2024-05-20 01:34:09,2024-05-20 01:34:09
106,106,10006,Dragonball,1,0,,,2024-05-20 01:34:09,2024-05-20 01:34:09
107,107,10007,Dragonball,1,0,,,2024-05-20 01:34:09,2024-05-20 01:34:09
108,108,10008,Dragonball,1,0,,,2024-05-20 01:34:09,2024-05-20 01:34:09
109,109,10009,Dragonball,1,0,,,2024-05-20 01:34:09,2024-05-20 01:34:09
110,110,10010,Dragonball,1,0,,,2024-05-20 01:34:09,2024-05-20 01:34:09
111,111,10011,Dragonball,1,0,,,2024-05-20 01:34:09,2024-05-20 01:34:09
112,112,10012,Dragonball,1,0,,,2024-05-20 01:34:09,2024-05-20 01:34:09
113,113,10013,Dragonball,1,0,,,2024-05-20 01:34:09,2024-05-20 01:34:09
114,114,10014,Dragonball,1,0,,,2024-05-20 01:34:09,2024-05-20 01:34:09
115,115,10015,Dragonball,1,0,,,2024-05-20 01:34:09,2024-05-20 01:34:09
116,116,10016,Dragonball,1,0,,,2024-05-20 01:34:09,2024-05-20 01:34:09
117,117,10017,Dragonball,1,0,,,2024-05-20 01:34:09,2024-05-20 01:34:09
118,118,10018,Dragonball,1,0,,,2024-05-20 01:34:09,2024-05-20 01:34:09
119,119,10019,Dragonball,1,0,,,2024-05-20 01:34:09,2024-05-20 01:34:09
120,120,10020,Dragonball,1,0,,,2024-05-20 01:34:09,2024-05-20 01:34:09
121,121,10021,Dragonball,1,0,,,2024-05-20 01:34:09,2024-05-20 01:34:09
201,201,10022,Dragonball,1,0,,,2024-05-20 01:34:09,2024-05-20 01:34:09
202,202,10023,Dragonball,1,0,,,2024-05-20 01:34:09,2024-05-20 01:34:09
203,203,10024,Dragonball,1,0,,,2024-05-20 01:34:09,2024-05-20 01:34:09
