id,standby_skill_set_id,finish_skill_set_id,created_at,updated_at
1,1,1,2024-02-15 00:09:07,2024-02-15 00:09:07
2,1,2,2024-02-15 00:09:07,2024-02-15 00:09:07
3,2,1,2024-02-15 00:09:07,2024-02-15 00:09:07
4,2,2,2024-02-15 00:09:07,2024-02-15 00:09:07
5,3,3,2024-02-15 00:09:07,2024-02-15 00:09:07
6,3,4,2024-02-15 00:09:07,2024-02-15 00:09:07
7,4,3,2024-02-15 00:09:07,2024-02-15 00:09:07
8,4,4,2024-02-15 00:09:07,2024-02-15 00:09:07
9,5,5,2024-02-15 00:09:07,2024-02-15 00:09:07
10,6,5,2024-02-15 00:09:07,2024-02-15 00:09:07
11,7,6,2024-02-15 00:09:07,2024-02-15 00:09:07
12,8,6,2024-02-15 00:09:07,2024-02-15 00:09:07
13,9,7,2024-02-15 00:09:07,2024-02-15 00:09:07
14,9,8,2024-02-15 00:09:07,2024-02-15 00:09:07
15,10,7,2024-02-15 00:09:07,2024-02-15 00:09:07
16,10,9,2024-02-15 00:09:07,2024-02-15 00:09:07
17,11,10,2024-02-15 00:09:07,2024-02-15 00:09:07
18,12,10,2024-02-15 00:09:07,2024-02-15 00:09:07
19,13,1,2024-02-15 00:09:07,2024-02-15 00:09:07
20,13,2,2024-02-15 00:09:07,2024-02-15 00:09:07
21,14,1,2024-02-15 00:09:07,2024-02-15 00:09:07
22,14,2,2024-02-15 00:09:07,2024-02-15 00:09:07
23,15,11,2024-02-15 00:09:07,2024-02-15 00:09:07
24,15,12,2024-02-15 00:09:07,2024-02-15 00:09:07
25,16,11,2024-02-15 00:09:07,2024-02-15 00:09:07
26,16,12,2024-02-15 00:09:07,2024-02-15 00:09:07
27,17,13,2024-02-15 00:09:07,2024-02-15 00:09:07
28,18,14,2024-02-15 00:09:07,2024-02-15 00:09:07
