id,name,description,created_at,updated_at
1,SSR-速,ゼット覚醒ルート,2024-05-20 01:32:40,2024-05-20 01:32:40
2,SSR-技,ゼット覚醒ルート,2024-05-20 01:32:40,2024-05-20 01:32:40
3,SSR-力,ゼット覚醒ルート,2024-05-20 01:32:40,2024-05-20 01:32:40
4,SSR-体,ゼット覚醒ルート,2024-05-20 01:32:40,2024-05-20 01:32:40
5,SR-力,ゼット覚醒ルート,2024-05-20 01:32:40,2024-05-20 01:32:40
6,SR-技,ゼット覚醒ルート,2024-05-20 01:32:40,2024-05-20 01:32:40
7,SR-力,ゼット覚醒ルート,2024-05-20 01:32:40,2024-05-20 01:32:40
8,SR-速,ゼット覚醒ルート,2024-05-20 01:32:40,2024-05-20 01:32:40
9,SR-技,ゼット覚醒ルート,2024-05-20 01:32:40,2024-05-20 01:32:40
10,SR-速,ゼット覚醒ルート,2024-05-20 01:32:40,2024-05-20 01:32:40
11,SR-知,ゼット覚醒ルート,2024-05-20 01:32:40,2024-05-20 01:32:40
12,SR-知,ゼット覚醒ルート,2024-05-20 01:32:40,2024-05-20 01:32:40
13,SR-体,ゼット覚醒ルート,2024-05-20 01:32:40,2024-05-20 01:32:40
14,SR-体,ゼット覚醒ルート,2024-05-20 01:32:40,2024-05-20 01:32:40
15,R-知,ゼット覚醒ルート,2024-05-20 01:32:40,2024-05-20 01:32:40
16,R-速,ゼット覚醒ルート,2024-05-20 01:32:40,2024-05-20 01:32:40
17,R-体,ゼット覚醒ルート,2024-05-20 01:32:40,2024-05-20 01:32:40
18,R-技,ゼット覚醒ルート,2024-05-20 01:32:40,2024-05-20 01:32:40
19,R-速,ゼット覚醒ルート,2024-05-20 01:32:40,2024-05-20 01:32:40
20,R-体,ゼット覚醒ルート,2024-05-20 01:32:40,2024-05-20 01:32:40
21,R-力,ゼット覚醒ルート,2024-05-20 01:32:40,2024-05-20 01:32:40
22,R-技,ゼット覚醒ルート,2024-05-20 01:32:40,2024-05-20 01:32:40
23,R-知,ゼット覚醒ルート,2024-05-20 01:32:40,2024-05-20 01:32:40
24,R-力,ゼット覚醒ルート,2024-05-20 01:32:40,2024-05-20 01:32:40
25,N-知,ゼット覚醒ルート,2024-05-20 01:32:40,2024-05-20 01:32:40
26,N-力,ゼット覚醒ルート,2024-05-20 01:32:40,2024-05-20 01:32:40
27,N-知,ゼット覚醒ルート,2024-05-20 01:32:40,2024-05-20 01:32:40
28,[R-力]天津飯,未設定,2024-05-20 01:32:40,2024-05-20 01:32:40
29,[SSR-体]トランクス(ゼノ),未設定,2024-05-20 01:32:40,2024-05-20 01:32:40
30,なまえをいれてください,未設定,2024-05-20 01:32:40,2024-05-20 01:32:40
31,[SSR-体]ピッコロ,未設定,2024-05-20 01:32:40,2024-05-20 01:32:40
32,SR-力,未設定,2024-05-20 01:32:40,2024-05-20 01:32:40
33,[SSR-技]フリーザ(最終形態),未設定,2024-05-20 01:32:40,2024-05-20 01:32:40
34,[R-速]クリリン,未設定,2024-05-20 01:32:40,2024-05-20 01:32:40
35,なまえをいれてください,未設定,2024-05-20 01:32:40,2024-05-20 01:32:40
