id,potential_skill_id,lv,value,created_at,updated_at
101,1,1,2,2023-07-06 02:05:28,2023-07-06 02:05:28
102,1,2,4,2023-07-06 02:05:28,2023-07-06 02:05:28
103,1,3,6,2023-07-06 02:05:28,2023-07-06 02:05:28
104,1,4,8,2023-07-06 02:05:28,2023-07-06 02:05:28
105,1,5,10,2023-07-06 02:05:28,2023-07-06 02:05:28
106,1,6,12,2023-07-06 02:05:28,2023-07-06 02:05:28
107,1,7,14,2023-07-06 02:05:28,2023-07-06 02:05:28
108,1,8,16,2023-07-06 02:05:28,2023-07-06 02:05:28
109,1,9,18,2023-07-06 02:05:28,2023-07-06 02:05:28
110,1,10,20,2023-07-06 02:05:28,2023-07-06 02:05:28
111,1,11,22,2023-07-06 02:05:28,2023-07-06 02:05:28
112,1,12,24,2023-07-06 02:05:28,2023-07-06 02:05:28
113,1,13,26,2023-07-06 02:05:28,2023-07-06 02:05:28
114,1,14,28,2023-07-06 02:05:28,2023-07-06 02:05:28
115,1,15,30,2023-07-06 02:05:28,2023-07-06 02:05:28
116,1,16,32,2023-07-06 02:05:28,2023-07-06 02:05:28
117,1,17,34,2023-07-06 02:05:28,2023-07-06 02:05:28
118,1,18,36,2023-07-06 02:05:28,2023-07-06 02:05:28
119,1,19,38,2023-07-06 02:05:28,2023-07-06 02:05:28
120,1,20,40,2023-07-06 02:05:28,2023-07-06 02:05:28
201,2,1,2,2023-07-06 02:05:28,2023-07-06 02:05:28
202,2,2,4,2023-07-06 02:05:28,2023-07-06 02:05:28
203,2,3,6,2023-07-06 02:05:28,2023-07-06 02:05:28
204,2,4,8,2023-07-06 02:05:28,2023-07-06 02:05:28
205,2,5,10,2023-07-06 02:05:28,2023-07-06 02:05:28
206,2,6,12,2023-07-06 02:05:28,2023-07-06 02:05:28
207,2,7,14,2023-07-06 02:05:28,2023-07-06 02:05:28
208,2,8,16,2023-07-06 02:05:28,2023-07-06 02:05:28
209,2,9,18,2023-07-06 02:05:28,2023-07-06 02:05:28
210,2,10,20,2023-07-06 02:05:28,2023-07-06 02:05:28
211,2,11,22,2023-07-06 02:05:28,2023-07-06 02:05:28
212,2,12,24,2023-07-06 02:05:28,2023-07-06 02:05:28
213,2,13,26,2023-07-06 02:05:28,2023-07-06 02:05:28
214,2,14,28,2023-07-06 02:05:28,2023-07-06 02:05:28
215,2,15,30,2023-07-06 02:05:28,2023-07-06 02:05:28
216,2,16,32,2023-07-06 02:05:28,2023-07-06 02:05:28
217,2,17,34,2023-07-06 02:05:28,2023-07-06 02:05:28
218,2,18,36,2023-07-06 02:05:28,2023-07-06 02:05:28
219,2,19,38,2023-07-06 02:05:28,2023-07-06 02:05:28
220,2,20,40,2023-07-06 02:05:28,2023-07-06 02:05:28
301,3,1,1,2023-07-06 02:05:28,2023-07-06 02:05:28
302,3,2,2,2023-07-06 02:05:28,2023-07-06 02:05:28
303,3,3,3,2023-07-06 02:05:28,2023-07-06 02:05:28
304,3,4,4,2023-07-06 02:05:28,2023-07-06 02:05:28
305,3,5,5,2023-07-06 02:05:28,2023-07-06 02:05:28
306,3,6,6,2023-07-06 02:05:28,2023-07-06 02:05:28
307,3,7,7,2023-07-06 02:05:28,2023-07-06 02:05:28
308,3,8,8,2023-07-06 02:05:28,2023-07-06 02:05:28
309,3,9,9,2023-07-06 02:05:28,2023-07-06 02:05:28
310,3,10,10,2023-07-06 02:05:28,2023-07-06 02:05:28
311,3,11,11,2023-07-06 02:05:28,2023-07-06 02:05:28
312,3,12,12,2023-07-06 02:05:28,2023-07-06 02:05:28
313,3,13,13,2023-07-06 02:05:28,2023-07-06 02:05:28
314,3,14,14,2023-07-06 02:05:28,2023-07-06 02:05:28
315,3,15,15,2023-07-06 02:05:28,2023-07-06 02:05:28
316,3,16,16,2023-07-06 02:05:28,2023-07-06 02:05:28
317,3,17,17,2023-07-06 02:05:28,2023-07-06 02:05:28
318,3,18,18,2023-07-06 02:05:28,2023-07-06 02:05:28
319,3,19,19,2023-07-06 02:05:28,2023-07-06 02:05:28
320,3,20,20,2023-07-06 02:05:28,2023-07-06 02:05:28
401,4,1,5,2023-07-06 02:05:28,2023-07-06 02:05:28
402,4,2,10,2023-07-06 02:05:28,2023-07-06 02:05:28
403,4,3,15,2023-07-06 02:05:28,2023-07-06 02:05:28
404,4,4,20,2023-07-06 02:05:28,2023-07-06 02:05:28
405,4,5,25,2023-07-06 02:05:28,2023-07-06 02:05:28
406,4,6,30,2023-07-06 02:05:28,2023-07-06 02:05:28
407,4,7,35,2023-07-06 02:05:28,2023-07-06 02:05:28
408,4,8,40,2023-07-06 02:05:28,2023-07-06 02:05:28
409,4,9,45,2023-07-06 02:05:28,2023-07-06 02:05:28
410,4,10,50,2023-07-06 02:05:28,2023-07-06 02:05:28
411,4,11,55,2023-07-06 02:05:28,2023-07-06 02:05:28
412,4,12,60,2023-07-06 02:05:28,2023-07-06 02:05:28
413,4,13,65,2023-07-06 02:05:28,2023-07-06 02:05:28
414,4,14,70,2023-07-06 02:05:28,2023-07-06 02:05:28
415,4,15,75,2023-07-06 02:05:28,2023-07-06 02:05:28
416,4,16,80,2023-07-06 02:05:28,2023-07-06 02:05:28
417,4,17,85,2023-07-06 02:05:28,2023-07-06 02:05:28
418,4,18,90,2023-07-06 02:05:28,2023-07-06 02:05:28
419,4,19,95,2023-07-06 02:05:28,2023-07-06 02:05:28
420,4,20,100,2023-07-06 02:05:28,2023-07-06 02:05:28
501,5,1,1,2023-07-06 02:05:28,2023-07-06 02:05:28
502,5,2,2,2023-07-06 02:05:28,2023-07-06 02:05:28
503,5,3,3,2023-07-06 02:05:28,2023-07-06 02:05:28
504,5,4,4,2023-07-06 02:05:28,2023-07-06 02:05:28
505,5,5,5,2023-07-06 02:05:28,2023-07-06 02:05:28
506,5,6,6,2023-07-06 02:05:28,2023-07-06 02:05:28
507,5,7,7,2023-07-06 02:05:28,2023-07-06 02:05:28
508,5,8,8,2023-07-06 02:05:28,2023-07-06 02:05:28
509,5,9,9,2023-07-06 02:05:28,2023-07-06 02:05:28
510,5,10,10,2023-07-06 02:05:28,2023-07-06 02:05:28
511,5,11,11,2023-07-06 02:05:28,2023-07-06 02:05:28
512,5,12,12,2023-07-06 02:05:28,2023-07-06 02:05:28
513,5,13,13,2023-07-06 02:05:28,2023-07-06 02:05:28
514,5,14,14,2023-07-06 02:05:28,2023-07-06 02:05:28
515,5,15,15,2023-07-06 02:05:28,2023-07-06 02:05:28
516,5,16,16,2023-07-06 02:05:28,2023-07-06 02:05:28
517,5,17,17,2023-07-06 02:05:28,2023-07-06 02:05:28
518,5,18,18,2023-07-06 02:05:28,2023-07-06 02:05:28
519,5,19,19,2023-07-06 02:05:28,2023-07-06 02:05:28
520,5,20,20,2023-07-06 02:05:28,2023-07-06 02:05:28
601,6,1,5,2023-07-06 02:05:28,2023-07-06 02:05:28
602,6,2,10,2023-07-06 02:05:28,2023-07-06 02:05:28
603,6,3,15,2023-07-06 02:05:28,2023-07-06 02:05:28
604,6,4,20,2023-07-06 02:05:28,2023-07-06 02:05:28
605,6,5,25,2023-07-06 02:05:28,2023-07-06 02:05:28
606,6,6,30,2023-07-06 02:05:28,2023-07-06 02:05:28
607,6,7,35,2023-07-06 02:05:28,2023-07-06 02:05:28
608,6,8,40,2023-07-06 02:05:28,2023-07-06 02:05:28
609,6,9,45,2023-07-06 02:05:28,2023-07-06 02:05:28
610,6,10,50,2023-07-06 02:05:28,2023-07-06 02:05:28
611,6,11,55,2023-07-06 02:05:28,2023-07-06 02:05:28
612,6,12,60,2023-07-06 02:05:28,2023-07-06 02:05:28
613,6,13,65,2023-07-06 02:05:28,2023-07-06 02:05:28
614,6,14,70,2023-07-06 02:05:28,2023-07-06 02:05:28
