id,budokai_ranking_gift_set_id,description,item_type,item_id,quantity,card_exp_init,created_at,updated_at
1,1,【死線を超えた覚醒】超サイヤ人孫悟空 × 2,Card,1003500,2,0,2024-03-22 02:20:08,2024-03-22 02:20:08
2,1,【無限の可能性】ウーブ × 3,Card,1002030,3,0,2024-03-22 02:20:08,2024-03-22 02:20:08
3,1,【さらなる高みへ】孫悟空 × 3,Card,1003140,3,0,2024-03-22 02:20:08,2024-03-22 02:20:08
4,1,【覚醒メダル】 全137個,AwakeningItem,19,1,0,2024-03-22 02:20:08,2024-03-22 02:20:08
5,1,【修業アイテム】全50個、仙豆 × 10,AwakeningItem,20,1,0,2024-03-22 02:20:08,2024-03-22 02:20:08
6,1,【覚醒メダル】キビト × 5,AwakeningItem,14,5,0,2024-03-22 02:20:08,2024-03-22 02:20:08
7,1,【覚醒メダル】西の界王 × 5,AwakeningItem,15,5,0,2024-03-22 02:20:08,2024-03-22 02:20:08
8,1,【覚醒メダル】南の界王 × 5,AwakeningItem,16,5,0,2024-03-22 02:20:08,2024-03-22 02:20:08
9,1,【覚醒メダル】東の界王 × 5,AwakeningItem,17,5,0,2024-03-22 02:20:08,2024-03-22 02:20:08
10,1,【覚醒メダル】北の界王 × 5,AwakeningItem,18,5,0,2024-03-22 02:20:08,2024-03-22 02:20:08
11,1,【覚醒メダル】神様 × 5,AwakeningItem,9,5,0,2024-03-22 02:20:08,2024-03-22 02:20:08
12,1,【覚醒メダル】最長老 × 5,AwakeningItem,10,5,0,2024-03-22 02:20:08,2024-03-22 02:20:08
13,1,【覚醒メダル】バビディ × 5,AwakeningItem,11,5,0,2024-03-22 02:20:08,2024-03-22 02:20:08
14,1,【覚醒メダル】ビビディ × 5,AwakeningItem,12,5,0,2024-03-22 02:20:08,2024-03-22 02:20:08
15,1,【覚醒メダル】カリン × 5,AwakeningItem,13,5,0,2024-03-22 02:20:08,2024-03-22 02:20:08
16,1,【覚醒メダル】ミスター・ポポ × 5,AwakeningItem,4,5,0,2024-03-22 02:20:08,2024-03-22 02:20:08
17,1,【覚醒メダル】鶴仙人 × 5,AwakeningItem,5,5,0,2024-03-22 02:20:08,2024-03-22 02:20:08
18,1,【覚醒メダル】亀仙人 × 5,AwakeningItem,6,5,0,2024-03-22 02:20:08,2024-03-22 02:20:08
19,1,【覚醒メダル】武泰斗 × 5,AwakeningItem,7,5,0,2024-03-22 02:20:08,2024-03-22 02:20:08
20,1,【覚醒メダル】孫悟飯(じいちゃん) × 5,AwakeningItem,8,5,0,2024-03-22 02:20:08,2024-03-22 02:20:08
21,1,【覚醒メダル】グレゴリー × 20,AwakeningItem,1,20,0,2024-03-22 02:20:08,2024-03-22 02:20:08
22,1,【覚醒メダル】バブルス × 20,AwakeningItem,2,20,0,2024-03-22 02:20:08,2024-03-22 02:20:08
23,1,【覚醒メダル】ドクターゲロ × 20,AwakeningItem,3,20,0,2024-03-22 02:20:08,2024-03-22 02:20:08
24,1,ゼットソード[速] × 5,TrainingItem,900,5,0,2024-03-22 02:20:08,2024-03-22 02:20:08
25,1,ゼットソード[技] × 5,TrainingItem,901,5,0,2024-03-22 02:20:08,2024-03-22 02:20:08
26,1,ゼットソード[知] × 5,TrainingItem,902,5,0,2024-03-22 02:20:08,2024-03-22 02:20:08
27,1,ゼットソード[力] × 5,TrainingItem,903,5,0,2024-03-22 02:20:08,2024-03-22 02:20:08
28,1,ゼットソード[体] × 5,TrainingItem,904,5,0,2024-03-22 02:20:08,2024-03-22 02:20:08
29,1,オモリ(10t)[速] × 5,TrainingItem,800,5,0,2024-03-22 02:20:08,2024-03-22 02:20:08
30,1,オモリ(10t)[技] × 5,TrainingItem,801,5,0,2024-03-22 02:20:08,2024-03-22 02:20:08
31,1,オモリ(10t)[知] × 5,TrainingItem,802,5,0,2024-03-22 02:20:08,2024-03-22 02:20:08
32,1,オモリ(10t)[力] × 5,TrainingItem,803,5,0,2024-03-22 02:20:08,2024-03-22 02:20:08
33,1,オモリ(10t)[体] × 5,TrainingItem,804,5,0,2024-03-22 02:20:08,2024-03-22 02:20:08
34,1,仙豆 × 10,SupportItem,6,10,0,2024-03-22 02:20:08,2024-03-22 02:20:08
35,2,【死線を超えた覚醒】超サイヤ人孫悟空,Card,1003500,1,0,2024-03-22 02:20:08,2024-03-22 02:20:08
36,2,【無限の可能性】ウーブ × 3,Card,1002030,3,0,2024-03-22 02:20:08,2024-03-22 02:20:08
37,2,【覚醒メダル】全137個,AwakeningItem,19,1,0,2024-03-22 02:20:08,2024-03-22 02:20:08
38,2,【修業アイテム】全50個,AwakeningItem,20,1,0,2024-03-22 02:20:08,2024-03-22 02:20:08
