id,area_id,type,conditions,comment,created_at,updated_at
1,140,AreaCondition::Potential,"{""is_releaseable"": true}",月曜：潜在能力イベ,2021-11-17 00:23:10,2021-11-17 00:23:10
2,141,AreaCondition::Potential,"{""is_releaseable"": true}",火曜：潜在能力イベ,2021-11-17 00:23:10,2021-11-17 00:23:10
3,142,AreaCondition::Potential,"{""is_releaseable"": true}",水曜：潜在能力イベ,2021-11-17 00:23:10,2021-11-17 00:23:10
4,143,AreaCondition::Potential,"{""is_releaseable"": true}",木曜：潜在能力イベ,2021-11-17 00:23:10,2021-11-17 00:23:10
5,144,AreaCondition::Potential,"{""is_releaseable"": true}",金曜：潜在能力イベ,2021-11-17 00:23:10,2021-11-17 00:23:10
6,146,AreaCondition::Potential,"{""is_releaseable"": true}",全曜日：潜在能力イベ,2021-11-17 00:23:10,2021-11-17 00:23:10
7,149,AreaCondition::Potential,"{""is_releaseable"": true}",全曜日：潜在能力イベ,2021-11-17 00:23:10,2021-11-17 00:23:10
8,225,AreaCondition::Potential,"{""is_releaseable"": true}",月曜：潜在能力イベ,2021-11-17 00:23:10,2021-11-17 00:23:10
9,226,AreaCondition::Potential,"{""is_releaseable"": true}",火曜：潜在能力イベ,2021-11-17 00:23:10,2021-11-17 00:23:10
10,227,AreaCondition::Potential,"{""is_releaseable"": true}",水曜：潜在能力イベ,2021-11-17 00:23:10,2021-11-17 00:23:10
11,228,AreaCondition::Potential,"{""is_releaseable"": true}",木曜：潜在能力イベ,2021-11-17 00:23:10,2021-11-17 00:23:10
12,229,AreaCondition::Potential,"{""is_releaseable"": true}",金曜：潜在能力イベ,2021-11-17 00:23:10,2021-11-17 00:23:10
13,231,AreaCondition::Potential,"{""is_releaseable"": true}",全曜日：潜在能力イベ,2021-11-17 00:23:10,2021-11-17 00:23:10
