id,name,kana,created_at,updated_at
1,超サイヤ人孫悟空,すーぱーさいやじんそんごくう,2024-05-02 02:03:22,2024-05-02 02:03:22
2,超サイヤ人ベジータ,すーぱーさいやじんべじーた,2024-05-02 02:03:22,2024-05-02 02:03:22
3,孫悟空,そんごくう,2024-05-02 02:03:22,2024-05-02 02:03:22
4,ベジータ,べじーた,2024-05-02 02:03:22,2024-05-02 02:03:22
5,フリーザ(第一形態),ふりーざ(だいいちけいたい),2024-05-02 02:03:22,2024-05-02 02:03:22
6,セル(第一形態),せる(だいいちけいたい),2024-05-02 02:03:22,2024-05-02 02:03:22
7,孫悟飯(幼年期),そんごはん(ようねんき),2024-05-02 02:03:22,2024-05-02 02:03:22
8,トランクス(青年期),とらんくす(せいねんき),2024-05-02 02:03:22,2024-05-02 02:03:22
9,クリリン,くりりん,2024-05-02 02:03:22,2024-05-02 02:03:22
10,ピッコロ,ぴっころ,2024-05-02 02:03:22,2024-05-02 02:03:22
11,天津飯,てんしんはん,2024-05-02 02:03:22,2024-05-02 02:03:22
12,餃子,ちゃおず,2024-05-02 02:03:22,2024-05-02 02:03:22
13,ヤムチャ,やむちゃ,2024-05-02 02:03:22,2024-05-02 02:03:22
14,ラディッツ,らでぃっつ,2024-05-02 02:03:22,2024-05-02 02:03:22
15,ナッパ,なっぱ,2024-05-02 02:03:22,2024-05-02 02:03:22
16,ザーボン,ざーぼん,2024-05-02 02:03:22,2024-05-02 02:03:22
17,ギニュー,ぎにゅー,2024-05-02 02:03:22,2024-05-02 02:03:22
18,人造人間19号,じんぞうにんげん19ごう,2024-05-02 02:03:22,2024-05-02 02:03:22
19,ドクター・ゲロ,どくたー・げろ,2024-05-02 02:03:22,2024-05-02 02:03:22
20,人造人間17号,じんぞうにんげん17ごう,2024-05-02 02:03:22,2024-05-02 02:03:22
21,人造人間18号,じんぞうにんげん18ごう,2024-05-02 02:03:22,2024-05-02 02:03:22
22,人造人間16号,じんぞうにんげん16ごう,2024-05-02 02:03:22,2024-05-02 02:03:22
23,亀仙人,かめせんにん,2024-05-02 02:03:22,2024-05-02 02:03:22
24,桃白白,たおぱいぱい,2024-05-02 02:03:22,2024-05-02 02:03:22
25,合体ピラフマシン,がったいぴらふましん,2024-05-02 02:03:22,2024-05-02 02:03:22
26,シェン,しぇん,2024-05-02 02:03:22,2024-05-02 02:03:22
27,タンバリン,たんばりん,2024-05-02 02:03:22,2024-05-02 02:03:22
28,シンバル,しんばる,2024-05-02 02:03:22,2024-05-02 02:03:22
29,ドラム,どらむ,2024-05-02 02:03:22,2024-05-02 02:03:22
30,チチ,ちち,2024-05-02 02:03:22,2024-05-02 02:03:22
31,ドドリア,どどりあ,2024-05-02 02:03:22,2024-05-02 02:03:22
32,リクーム,りくーむ,2024-05-02 02:03:22,2024-05-02 02:03:22
33,グルド,ぐるど,2024-05-02 02:03:22,2024-05-02 02:03:22
34,バータ,ばーた,2024-05-02 02:03:22,2024-05-02 02:03:22
35,ジース,じーす,2024-05-02 02:03:22,2024-05-02 02:03:22
36,ヤジロベー,やじろべー,2024-05-02 02:03:22,2024-05-02 02:03:22
37,ネイル,ねいる,2024-05-02 02:03:22,2024-05-02 02:03:22
38,ミスター・サタン,みすたー・さたん,2024-05-02 02:03:22,2024-05-02 02:03:22
39,ビーデル,びーでる,2024-05-02 02:03:22,2024-05-02 02:03:22
40,セルジュニア,せるじゅにあ,2024-05-02 02:03:22,2024-05-02 02:03:22
41,スポポビッチ,すぽぽびっち,2024-05-02 02:03:22,2024-05-02 02:03:22
42,ヤムー,やむー,2024-05-02 02:03:22,2024-05-02 02:03:22
43,ヤコン,やこん,2024-05-02 02:03:22,2024-05-02 02:03:22
44,プイプイ,ぷいぷい,2024-05-02 02:03:22,2024-05-02 02:03:22
45,アプール,あぷーる,2024-05-02 02:03:22,2024-05-02 02:03:22
46,キュイ,きゅい,2024-05-02 02:03:22,2024-05-02 02:03:22
47,バビディの部下,ばびでぃのぶか,2024-05-02 02:03:22,2024-05-02 02:03:22
48,プンター,ぷんたー,2024-05-02 02:03:22,2024-05-02 02:03:22
49,ジュエール,じゅえーる,2024-05-02 02:03:22,2024-05-02 02:03:22
50,キーラ,きーら,2024-05-02 02:03:22,2024-05-02 02:03:22
51,海賊ロボ,かいぞくろぼ,2024-05-02 02:03:22,2024-05-02 02:03:22
52,栽培マン,さいばいまん,2024-05-02 02:03:22,2024-05-02 02:03:22
53,フリーザ兵,ふりーざへい,2024-05-02 02:03:22,2024-05-02 02:03:22
54,RR軍兵,RRぐんへい,2024-05-02 02:03:22,2024-05-02 02:03:22
55,鶴仙人,つるせんにん,2024-05-02 02:03:22,2024-05-02 02:03:22
56,トランクス(ゼノ),とらんくす(ぜの),2024-05-02 02:03:22,2024-05-02 02:03:22
57,超サイヤ人孫悟飯(少年期),すーぱーさいやじんそんごはん(しょうねんき),2024-05-02 02:03:22,2024-05-02 02:03:22
