id,potential_square_id,prev_potential_square_id,created_at,updated_at
1,1000005,,2016-11-29 03:06:45,2018-01-27 00:14:28
2,1000181,,2016-11-29 03:06:45,2018-01-27 00:14:28
3,1000242,,2016-11-29 03:06:45,2017-07-28 02:18:18
4,1000085,,2016-11-29 03:06:45,2017-07-28 02:18:18
5,1000002,1000056.0,2016-11-29 03:06:45,2018-02-20 02:15:42
6,1000056,1000002.0,2016-11-29 03:06:45,2018-02-20 02:15:42
7,1000002,1000067.0,2016-11-29 03:06:45,2018-01-27 00:14:28
8,1000067,1000002.0,2016-11-29 03:06:45,2018-01-27 00:14:28
9,1000002,1000018.0,2016-11-29 03:06:45,2018-02-20 02:15:42
10,1000018,1000002.0,2016-11-29 03:06:45,2018-02-20 02:15:42
11,1000004,1000227.0,2016-11-29 03:06:45,2018-01-27 00:14:28
12,1000227,1000004.0,2016-11-29 03:06:45,2018-01-27 00:14:28
13,1000004,1000212.0,2016-11-29 03:06:45,2018-01-27 00:14:28
14,1000212,1000004.0,2016-11-29 03:06:45,2018-01-27 00:14:28
15,1000005,1000011.0,2016-11-29 03:06:45,2016-11-29 03:06:45
16,1000011,1000005.0,2016-11-29 03:06:45,2016-11-29 03:06:45
17,1000006,1000010.0,2016-11-29 03:06:45,2016-11-29 03:06:45
18,1000010,1000006.0,2016-11-29 03:06:45,2016-11-29 03:06:45
19,1000007,1000010.0,2016-11-29 03:06:45,2016-11-29 03:06:45
20,1000010,1000007.0,2016-11-29 03:06:45,2016-11-29 03:06:45
21,1000009,1000008.0,2016-11-29 03:06:45,2018-02-20 02:15:42
22,1000008,1000009.0,2016-11-29 03:06:45,2018-02-20 02:15:42
23,1000009,1000012.0,2016-11-29 03:06:45,2018-02-20 02:15:42
24,1000012,1000009.0,2016-11-29 03:06:45,2018-02-20 02:15:42
25,1000011,1000014.0,2016-11-29 03:06:45,2016-11-29 03:06:45
26,1000014,1000011.0,2016-11-29 03:06:45,2016-11-29 03:06:45
27,1000012,1000006.0,2016-11-29 03:06:45,2016-11-29 03:06:45
28,1000006,1000012.0,2016-11-29 03:06:45,2016-11-29 03:06:45
29,1000012,1000015.0,2016-11-29 03:06:45,2016-11-29 03:06:45
30,1000015,1000012.0,2016-11-29 03:06:45,2016-11-29 03:06:45
31,1000013,1000018.0,2016-11-29 03:06:45,2016-11-29 03:06:45
32,1000018,1000013.0,2016-11-29 03:06:45,2016-11-29 03:06:45
33,1000014,1000007.0,2016-11-29 03:06:45,2016-11-29 03:06:45
34,1000007,1000014.0,2016-11-29 03:06:45,2016-11-29 03:06:45
35,1000016,1000024.0,2016-11-29 03:06:45,2016-11-29 03:06:45
36,1000024,1000016.0,2016-11-29 03:06:45,2016-11-29 03:06:45
37,1000017,1000037.0,2016-11-29 03:06:45,2018-02-20 02:15:42
38,1000037,1000017.0,2016-11-29 03:06:45,2018-02-20 02:15:42
39,1000017,1000020.0,2016-11-29 03:06:45,2018-02-20 02:15:42
40,1000020,1000017.0,2016-11-29 03:06:45,2018-02-20 02:15:42
41,1000018,1000022.0,2016-11-29 03:06:45,2016-11-29 03:06:45
42,1000022,1000018.0,2016-11-29 03:06:45,2016-11-29 03:06:45
43,1000019,1000025.0,2016-11-29 03:06:45,2018-02-20 02:15:42
44,1000025,1000019.0,2016-11-29 03:06:45,2018-02-20 02:15:42
45,1000019,1000038.0,2016-11-29 03:06:45,2018-02-20 02:15:42
46,1000038,1000019.0,2016-11-29 03:06:45,2018-02-20 02:15:42
47,1000020,1000023.0,2016-11-29 03:06:45,2016-11-29 03:06:45
