id,enemy_round_skill_set_id,enemy_round_skill_id,created_at,updated_at
1,1,1,2024-04-25 02:02:32,2024-04-25 02:02:32
2,1,2,2024-04-25 02:02:32,2024-04-25 02:02:32
3,1,3,2024-04-25 02:02:32,2024-04-25 02:02:32
4,1,4,2024-04-25 02:02:32,2024-04-25 02:02:32
5,1,5,2024-04-25 02:02:32,2024-04-25 02:02:32
6,1,6,2024-04-25 02:02:32,2024-04-25 02:02:32
10,10,10,2024-04-25 02:02:32,2024-04-25 02:02:32
11,10,11,2024-04-25 02:02:32,2024-04-25 02:02:32
12,10,12,2024-04-25 02:02:32,2024-04-25 02:02:32
13,10,13,2024-04-25 02:02:32,2024-04-25 02:02:32
20,20,20,2024-04-25 02:02:32,2024-04-25 02:02:32
21,20,21,2024-04-25 02:02:32,2024-04-25 02:02:32
30,30,30,2024-04-25 02:02:32,2024-04-25 02:02:32
31,30,31,2024-04-25 02:02:32,2024-04-25 02:02:32
