id,sound_effect_set_id,sound_effect_id,start_offset_millisecond,created_at,updated_at
1,1,1018,1000,2018-01-27 00:16:48,2018-01-27 00:16:48
2,1,1035,2000,2018-01-27 00:16:48,2018-01-27 00:16:48
3,1,1035,3000,2018-01-27 00:16:48,2018-01-27 00:16:48
4,1,1018,4000,2018-01-27 00:16:48,2018-01-27 00:16:48
5,1,1035,5000,2018-01-27 00:16:48,2018-01-27 00:16:48
6,1,1036,6000,2018-01-27 00:16:48,2018-01-27 00:16:48
7,1,1036,6000,2018-01-27 00:16:48,2018-01-27 00:16:48
8,1,1026,7000,2018-01-27 00:16:48,2018-01-27 00:16:48
9,2,0,0,2018-01-27 00:16:48,2018-01-27 00:16:48
10,3,1018,1000,2018-01-27 00:16:48,2018-01-27 00:16:48
11,3,1035,2000,2018-01-27 00:16:48,2018-01-27 00:16:48
12,3,1035,3000,2018-01-27 00:16:48,2018-01-27 00:16:48
13,3,1036,4000,2018-01-27 00:16:48,2018-01-27 00:16:48
14,3,1035,5000,2018-01-27 00:16:48,2018-01-27 00:16:48
15,3,1036,5500,2018-01-27 00:16:48,2018-01-27 00:16:48
16,3,1018,6000,2018-01-27 00:16:48,2018-01-27 00:16:48
17,3,40,7000,2018-01-27 00:16:48,2018-01-27 00:16:48
18,4,0,0,2018-01-27 00:16:48,2018-01-27 00:16:48
19,5,1035,500,2018-03-18 02:13:48,2018-03-18 02:13:48
20,5,9,2000,2018-03-18 02:13:48,2018-03-18 02:13:48
21,5,3,3500,2018-03-18 02:13:48,2018-03-18 02:13:48
22,5,1018,4100,2018-03-18 02:13:48,2018-03-18 02:13:48
23,5,8,5000,2018-03-18 02:13:48,2018-03-18 02:13:48
24,5,13,6800,2018-03-18 02:13:48,2018-03-18 02:13:48
25,6,1018,500,2018-03-31 14:16:18,2018-03-31 14:16:18
26,6,1041,2000,2018-03-31 14:16:18,2018-03-31 14:16:18
27,6,19,3000,2018-03-31 14:16:18,2018-03-31 14:16:18
28,6,20,3800,2018-03-31 14:16:18,2018-03-31 14:16:18
29,6,1060,5000,2018-03-31 14:16:18,2018-03-31 14:16:18
30,7,9,200,2018-03-31 14:16:18,2018-03-31 14:16:18
31,8,1018,250,2018-04-25 01:52:46,2018-04-25 01:52:46
32,8,1030,1250,2018-04-25 01:52:46,2018-04-25 01:52:46
33,8,1035,2000,2018-04-25 01:52:46,2018-04-25 01:52:46
34,8,15,3200,2018-04-25 01:52:46,2018-04-25 01:52:46
35,8,3,4800,2018-04-25 01:52:46,2018-04-25 01:52:46
36,9,1018,250,2018-07-30 02:07:55,2018-07-30 02:07:55
37,9,1015,1100,2018-07-30 02:07:55,2018-07-30 02:07:55
38,9,1064,1400,2018-07-30 02:07:55,2018-07-30 02:07:55
39,9,31,1900,2018-07-30 02:07:55,2018-07-30 02:07:55
40,9,1070,3300,2018-07-30 02:07:55,2018-07-30 02:07:55
41,9,9,4200,2018-07-30 02:07:55,2018-07-30 02:07:55
42,9,8,5300,2018-07-30 02:07:55,2018-07-30 02:07:55
43,9,1068,6900,2018-07-30 02:07:55,2018-07-30 02:07:55
44,10,17,660,2018-08-27 02:09:38,2018-08-27 02:09:38
45,10,1035,1330,2018-08-27 02:09:38,2018-08-27 02:09:38
46,10,9,1930,2018-08-27 02:09:38,2018-08-27 02:09:38
47,10,1018,2700,2018-08-27 02:09:38,2018-08-27 02:09:38
48,10,3,3560,2018-08-27 02:09:38,2018-08-27 02:09:38
49,11,1047,250,2018-08-31 00:09:29,2018-08-31 00:09:29
50,11,1018,1100,2018-08-31 00:09:29,2018-08-31 00:09:29
51,11,1035,1650,2018-08-31 00:09:29,2018-08-31 00:09:29
52,12,1050,250,2018-08-31 00:09:29,2018-08-31 00:09:29
53,12,1018,1100,2018-08-31 00:09:29,2018-08-31 00:09:29
54,12,1035,1650,2018-08-31 00:09:29,2018-08-31 00:09:29
55,13,1049,250,2018-08-31 00:09:29,2018-08-31 00:09:29
56,13,1018,750,2018-08-31 00:09:29,2018-08-31 00:09:29
57,13,1060,1650,2018-08-31 00:09:29,2018-08-31 00:09:29
58,13,1035,2200,2018-08-31 00:09:29,2018-08-31 00:09:29
59,14,1018,250,2018-08-31 00:09:29,2018-08-31 00:09:29
60,14,1035,1100,2018-08-31 00:09:29,2018-08-31 00:09:29
61,14,17,2150,2018-08-31 00:09:29,2018-08-31 00:09:29
62,14,1040,3350,2018-08-31 00:09:29,2018-08-31 00:09:29
63,14,1026,4350,2018-08-31 00:09:29,2018-08-31 00:09:29
64,14,40,5500,2018-08-31 00:09:29,2018-08-31 00:09:29
65,15,1047,250,2018-08-31 00:09:29,2018-08-31 00:09:29
