id,sd_map_id,position_x,position_y,symbol_item_type,symbol_item_id,background_image_id,created_at,updated_at
1,1,-7,7,TrainingItem,100,2,2024-05-20 01:35:46,2024-05-20 01:35:46
2,1,7,7,Point::Zeni,13,4,2024-05-20 01:35:46,2024-05-20 01:35:46
3,1,-7,-7,AwakeningItem,1,5,2024-05-20 01:35:46,2024-05-20 01:35:46
4,1,7,-7,PotentialItem,1,3,2024-05-20 01:35:46,2024-05-20 01:35:46
5,2,-7,7,TrainingItem,100,2,2024-05-20 01:35:46,2024-05-20 01:35:46
6,2,7,7,Point::Zeni,13,4,2024-05-20 01:35:46,2024-05-20 01:35:46
7,2,-7,-7,AwakeningItem,1,5,2024-05-20 01:35:46,2024-05-20 01:35:46
8,2,7,-7,PotentialItem,1,3,2024-05-20 01:35:46,2024-05-20 01:35:46
9,3,-7,7,TrainingItem,100,2,2024-05-20 01:35:46,2024-05-20 01:35:46
10,3,7,7,Point::Zeni,13,4,2024-05-20 01:35:46,2024-05-20 01:35:46
11,3,-7,-7,AwakeningItem,1,5,2024-05-20 01:35:46,2024-05-20 01:35:46
12,3,7,-7,PotentialItem,1,3,2024-05-20 01:35:46,2024-05-20 01:35:46
13,4,-7,7,TrainingItem,100,2,2024-05-20 01:35:46,2024-05-20 01:35:46
14,4,7,7,Point::Zeni,13,4,2024-05-20 01:35:46,2024-05-20 01:35:46
15,4,-7,-7,AwakeningItem,1,5,2024-05-20 01:35:46,2024-05-20 01:35:46
16,4,7,-7,PotentialItem,1,3,2024-05-20 01:35:46,2024-05-20 01:35:46
17,5,-7,7,TrainingItem,100,2,2024-05-20 01:35:46,2024-05-20 01:35:46
18,5,7,7,Point::Zeni,13,4,2024-05-20 01:35:46,2024-05-20 01:35:46
19,5,-7,-7,AwakeningItem,1,5,2024-05-20 01:35:46,2024-05-20 01:35:46
20,5,7,-7,PotentialItem,1,3,2024-05-20 01:35:46,2024-05-20 01:35:46
21,6,-7,7,TrainingItem,100,2,2024-05-20 01:35:46,2024-05-20 01:35:46
22,6,7,7,Point::Zeni,13,4,2024-05-20 01:35:46,2024-05-20 01:35:46
23,6,-7,-7,AwakeningItem,1,5,2024-05-20 01:35:46,2024-05-20 01:35:46
24,6,7,-7,PotentialItem,1,3,2024-05-20 01:35:46,2024-05-20 01:35:46
25,7,-7,7,TrainingItem,100,2,2024-05-20 01:35:46,2024-05-20 01:35:46
26,7,7,7,Point::Zeni,13,4,2024-05-20 01:35:46,2024-05-20 01:35:46
27,7,-7,-7,AwakeningItem,1,5,2024-05-20 01:35:46,2024-05-20 01:35:46
28,7,7,-7,PotentialItem,1,3,2024-05-20 01:35:46,2024-05-20 01:35:46
29,8,-7,7,TrainingItem,100,2,2024-05-20 01:35:46,2024-05-20 01:35:46
30,8,7,7,Point::Zeni,13,4,2024-05-20 01:35:46,2024-05-20 01:35:46
31,8,-7,-7,AwakeningItem,1,5,2024-05-20 01:35:46,2024-05-20 01:35:46
32,8,7,-7,PotentialItem,1,3,2024-05-20 01:35:46,2024-05-20 01:35:46
33,8,0,0,SD::Pack,100,1,2024-05-20 01:35:46,2024-05-20 01:35:46
34,9,-7,7,TrainingItem,100,2,2024-05-20 01:35:46,2024-05-20 01:35:46
35,9,7,7,Point::Zeni,13,4,2024-05-20 01:35:46,2024-05-20 01:35:46
36,9,-7,-7,AwakeningItem,1,5,2024-05-20 01:35:46,2024-05-20 01:35:46
37,9,7,-7,PotentialItem,1,3,2024-05-20 01:35:46,2024-05-20 01:35:46
38,9,0,0,SD::Pack,100,1,2024-05-20 01:35:46,2024-05-20 01:35:46
39,10,-7,7,TrainingItem,100,2,2024-05-20 01:35:46,2024-05-20 01:35:46
40,10,7,7,Point::Zeni,13,4,2024-05-20 01:35:46,2024-05-20 01:35:46
41,10,-7,-7,AwakeningItem,1,5,2024-05-20 01:35:46,2024-05-20 01:35:46
42,10,7,-7,PotentialItem,1,3,2024-05-20 01:35:46,2024-05-20 01:35:46
43,10,0,0,SD::Pack,201,1,2024-05-20 01:35:46,2024-05-20 01:35:46
44,11,-7,7,TrainingItem,100,2,2024-05-20 01:35:46,2024-05-20 01:35:46
45,11,7,7,Point::Zeni,13,4,2024-05-20 01:35:46,2024-05-20 01:35:46
46,11,-7,-7,AwakeningItem,1,5,2024-05-20 01:35:46,2024-05-20 01:35:46
47,11,7,-7,PotentialItem,1,3,2024-05-20 01:35:46,2024-05-20 01:35:46
48,11,0,0,SD::Pack,201,1,2024-05-20 01:35:46,2024-05-20 01:35:46
49,12,-7,7,TrainingItem,100,2,2024-05-20 01:35:46,2024-05-20 01:35:46
50,12,7,7,Point::Zeni,13,4,2024-05-20 01:35:46,2024-05-20 01:35:46
51,12,-7,-7,AwakeningItem,1,5,2024-05-20 01:35:46,2024-05-20 01:35:46
52,12,7,-7,PotentialItem,1,3,2024-05-20 01:35:46,2024-05-20 01:35:46
53,12,0,0,SD::Pack,301,1,2024-05-20 01:35:46,2024-05-20 01:35:46
54,13,-7,7,TrainingItem,100,2,2024-05-20 01:35:46,2024-05-20 01:35:46
55,13,7,7,Point::Zeni,13,4,2024-05-20 01:35:46,2024-05-20 01:35:46
56,13,-7,-7,AwakeningItem,1,5,2024-05-20 01:35:46,2024-05-20 01:35:46
57,13,7,-7,PotentialItem,1,3,2024-05-20 01:35:46,2024-05-20 01:35:46
58,13,0,0,SD::Pack,301,1,2024-05-20 01:35:46,2024-05-20 01:35:46
59,14,-7,7,TrainingItem,100,2,2024-05-20 01:35:46,2024-05-20 01:35:46
60,14,7,7,Point::Zeni,13,4,2024-05-20 01:35:46,2024-05-20 01:35:46
61,14,-7,-7,AwakeningItem,1,5,2024-05-20 01:35:46,2024-05-20 01:35:46
62,14,7,-7,PotentialItem,1,3,2024-05-20 01:35:46,2024-05-20 01:35:46
63,14,0,0,SD::Pack,401,1,2024-05-20 01:35:46,2024-05-20 01:35:46
64,15,-7,7,TrainingItem,100,2,2024-05-20 01:35:46,2024-05-20 01:35:46
65,15,7,7,Point::Zeni,13,4,2024-05-20 01:35:46,2024-05-20 01:35:46
66,15,-7,-7,AwakeningItem,1,5,2024-05-20 01:35:46,2024-05-20 01:35:46
67,15,7,-7,PotentialItem,1,3,2024-05-20 01:35:46,2024-05-20 01:35:46
68,15,0,0,SD::Pack,401,1,2024-05-20 01:35:46,2024-05-20 01:35:46
69,16,-7,7,TrainingItem,100,2,2024-05-20 01:35:46,2024-05-20 01:35:46
70,16,7,7,Point::Zeni,13,4,2024-05-20 01:35:46,2024-05-20 01:35:46
71,16,-7,-7,AwakeningItem,1,5,2024-05-20 01:35:46,2024-05-20 01:35:46
72,16,7,-7,PotentialItem,1,3,2024-05-20 01:35:46,2024-05-20 01:35:46
73,16,0,0,SD::Pack,501,1,2024-05-20 01:35:46,2024-05-20 01:35:46
74,17,-7,7,TrainingItem,100,2,2024-05-20 01:35:46,2024-05-20 01:35:46
75,17,7,7,Point::Zeni,13,4,2024-05-20 01:35:46,2024-05-20 01:35:46
76,17,-7,-7,AwakeningItem,1,5,2024-05-20 01:35:46,2024-05-20 01:35:46
77,17,7,-7,PotentialItem,1,3,2024-05-20 01:35:46,2024-05-20 01:35:46
78,17,0,0,SD::Pack,501,1,2024-05-20 01:35:46,2024-05-20 01:35:46
79,18,-7,7,TrainingItem,100,2,2024-05-20 01:35:46,2024-05-20 01:35:46
80,18,7,7,Point::Zeni,13,4,2024-05-20 01:35:46,2024-05-20 01:35:46
81,18,-7,-7,AwakeningItem,1,5,2024-05-20 01:35:46,2024-05-20 01:35:46
82,18,7,-7,PotentialItem,1,3,2024-05-20 01:35:46,2024-05-20 01:35:46
83,18,0,0,SD::Pack,601,1,2024-05-20 01:35:46,2024-05-20 01:35:46
84,19,-7,7,TrainingItem,100,2,2024-05-20 01:35:46,2024-05-20 01:35:46
85,19,7,7,Point::Zeni,13,4,2024-05-20 01:35:46,2024-05-20 01:35:46
86,19,-7,-7,AwakeningItem,1,5,2024-05-20 01:35:46,2024-05-20 01:35:46
87,19,7,-7,PotentialItem,1,3,2024-05-20 01:35:46,2024-05-20 01:35:46
88,19,0,0,SD::Pack,601,1,2024-05-20 01:35:46,2024-05-20 01:35:46
89,20,-7,7,TrainingItem,100,2,2024-05-20 01:35:46,2024-05-20 01:35:46
90,20,7,7,Point::Zeni,13,4,2024-05-20 01:35:46,2024-05-20 01:35:46
91,20,-7,-7,AwakeningItem,1,5,2024-05-20 01:35:46,2024-05-20 01:35:46
92,20,7,-7,PotentialItem,1,3,2024-05-20 01:35:46,2024-05-20 01:35:46
93,20,0,0,SD::Pack,701,1,2024-05-20 01:35:46,2024-05-20 01:35:46
94,21,-7,7,TrainingItem,100,2,2024-05-20 01:35:46,2024-05-20 01:35:46
95,21,7,7,Point::Zeni,13,4,2024-05-20 01:35:46,2024-05-20 01:35:46
96,21,-7,-7,AwakeningItem,1,5,2024-05-20 01:35:46,2024-05-20 01:35:46
97,21,7,-7,PotentialItem,1,3,2024-05-20 01:35:46,2024-05-20 01:35:46
98,21,0,0,SD::Pack,701,1,2024-05-20 01:35:46,2024-05-20 01:35:46
99,22,-7,7,TrainingItem,100,2,2024-05-20 01:35:46,2024-05-20 01:35:46
100,22,7,7,Point::Zeni,13,4,2024-05-20 01:35:46,2024-05-20 01:35:46
101,22,-7,-7,AwakeningItem,1,5,2024-05-20 01:35:46,2024-05-20 01:35:46
102,22,7,-7,PotentialItem,1,3,2024-05-20 01:35:46,2024-05-20 01:35:46
103,22,0,0,SD::Pack,801,1,2024-05-20 01:35:46,2024-05-20 01:35:46
104,23,-7,7,TrainingItem,100,2,2024-05-20 01:35:46,2024-05-20 01:35:46
105,23,7,7,Point::Zeni,13,4,2024-05-20 01:35:46,2024-05-20 01:35:46
106,23,-7,-7,AwakeningItem,1,5,2024-05-20 01:35:46,2024-05-20 01:35:46
107,23,7,-7,PotentialItem,1,3,2024-05-20 01:35:46,2024-05-20 01:35:46
108,23,0,0,SD::Pack,801,1,2024-05-20 01:35:46,2024-05-20 01:35:46
109,24,-7,7,TrainingItem,100,2,2024-05-20 01:35:46,2024-05-20 01:35:46
110,24,7,7,Point::Zeni,13,4,2024-05-20 01:35:46,2024-05-20 01:35:46
111,24,-7,-7,AwakeningItem,1,5,2024-05-20 01:35:46,2024-05-20 01:35:46
112,24,7,-7,PotentialItem,1,3,2024-05-20 01:35:46,2024-05-20 01:35:46
113,24,0,0,SD::Pack,901,1,2024-05-20 01:35:46,2024-05-20 01:35:46
114,25,-7,7,TrainingItem,100,2,2024-05-20 01:35:46,2024-05-20 01:35:46
115,25,7,7,Point::Zeni,13,4,2024-05-20 01:35:46,2024-05-20 01:35:46
116,25,-7,-7,AwakeningItem,1,5,2024-05-20 01:35:46,2024-05-20 01:35:46
117,25,7,-7,PotentialItem,1,3,2024-05-20 01:35:46,2024-05-20 01:35:46
118,25,0,0,SD::Pack,901,1,2024-05-20 01:35:46,2024-05-20 01:35:46
119,26,-7,7,TrainingItem,100,2,2024-05-20 01:35:46,2024-05-20 01:35:46
120,26,7,7,Point::Zeni,13,4,2024-05-20 01:35:46,2024-05-20 01:35:46
121,26,-7,-7,AwakeningItem,1,5,2024-05-20 01:35:46,2024-05-20 01:35:46
122,26,7,-7,PotentialItem,1,3,2024-05-20 01:35:46,2024-05-20 01:35:46
123,26,0,0,SD::Pack,1001,1,2024-05-20 01:35:46,2024-05-20 01:35:46
124,27,-7,7,TrainingItem,100,2,2024-05-20 01:35:46,2024-05-20 01:35:46
125,27,7,7,Point::Zeni,13,4,2024-05-20 01:35:46,2024-05-20 01:35:46
126,27,-7,-7,AwakeningItem,1,5,2024-05-20 01:35:46,2024-05-20 01:35:46
127,27,7,-7,PotentialItem,1,3,2024-05-20 01:35:46,2024-05-20 01:35:46
128,27,0,0,SD::Pack,1001,1,2024-05-20 01:35:46,2024-05-20 01:35:46
129,28,-7,7,TrainingItem,100,2,2024-05-20 01:35:46,2024-05-20 01:35:46
130,28,7,7,Point::Zeni,13,4,2024-05-20 01:35:46,2024-05-20 01:35:46
131,28,-7,-7,AwakeningItem,1,5,2024-05-20 01:35:46,2024-05-20 01:35:46
132,28,7,-7,PotentialItem,1,3,2024-05-20 01:35:46,2024-05-20 01:35:46
133,28,0,0,SD::Pack,1101,1,2024-05-20 01:35:46,2024-05-20 01:35:46
134,29,-7,7,TrainingItem,100,2,2024-05-20 01:35:46,2024-05-20 01:35:46
135,29,7,7,Point::Zeni,13,4,2024-05-20 01:35:46,2024-05-20 01:35:46
136,29,-7,-7,AwakeningItem,1,5,2024-05-20 01:35:46,2024-05-20 01:35:46
137,29,7,-7,PotentialItem,1,3,2024-05-20 01:35:46,2024-05-20 01:35:46
138,29,0,0,SD::Pack,1101,1,2024-05-20 01:35:46,2024-05-20 01:35:46
139,30,-7,7,TrainingItem,100,2,2024-05-20 01:35:46,2024-05-20 01:35:46
140,30,7,7,Point::Zeni,13,4,2024-05-20 01:35:46,2024-05-20 01:35:46
141,30,-7,-7,AwakeningItem,1,5,2024-05-20 01:35:46,2024-05-20 01:35:46
142,30,7,-7,PotentialItem,1,3,2024-05-20 01:35:46,2024-05-20 01:35:46
143,30,0,0,SD::Pack,1201,1,2024-05-20 01:35:46,2024-05-20 01:35:46
