id,enemy_skill_id,link_skill_id,created_at,updated_at
100,1,1000,2024-03-01 02:11:47,2024-03-01 02:11:47
200,2,1001,2024-03-01 02:11:47,2024-03-01 02:11:47
300,3,1003,2024-03-01 02:11:47,2024-03-01 02:11:47
600,6,50,2024-03-01 02:11:47,2024-03-01 02:11:47
700,7,29,2024-03-01 02:11:47,2024-03-01 02:11:47
1200,12,1004,2024-03-01 02:11:47,2024-03-01 02:11:47
20000,200,109,2024-03-01 02:11:47,2024-03-01 02:11:47
30000,300,1000,2024-03-01 02:11:47,2024-03-01 02:11:47
65000,650,103,2024-03-01 02:11:47,2024-03-01 02:11:47
70000,700,95,2024-03-01 02:11:47,2024-03-01 02:11:47
71000,710,95,2024-03-01 02:11:47,2024-03-01 02:11:47
72000,720,95,2024-03-01 02:11:47,2024-03-01 02:11:47
96000,96001,125,2024-03-01 02:11:47,2024-03-01 02:11:47
96001,96008,125,2024-03-01 02:11:47,2024-03-01 02:11:47
96002,96014,125,2024-03-01 02:11:47,2024-03-01 02:11:47
96003,96017,125,2024-03-01 02:11:47,2024-03-01 02:11:47
100000,100001,125,2024-03-01 02:11:47,2024-03-01 02:11:47
100001,100008,125,2024-03-01 02:11:47,2024-03-01 02:11:47
100002,100014,125,2024-03-01 02:11:47,2024-03-01 02:11:47
100003,100017,125,2024-03-01 02:11:47,2024-03-01 02:11:47
101000,101001,125,2024-03-01 02:11:47,2024-03-01 02:11:47
101001,101008,125,2024-03-01 02:11:47,2024-03-01 02:11:47
101002,101015,125,2024-03-01 02:11:47,2024-03-01 02:11:47
101003,101018,125,2024-03-01 02:11:47,2024-03-01 02:11:47
102001,102001,125,2024-03-01 02:11:47,2024-03-01 02:11:47
102002,102008,125,2024-03-01 02:11:47,2024-03-01 02:11:47
102003,102014,125,2024-03-01 02:11:47,2024-03-01 02:11:47
102004,102017,125,2024-03-01 02:11:47,2024-03-01 02:11:47
105000,105001,125,2024-03-01 02:11:47,2024-03-01 02:11:47
105001,105008,125,2024-03-01 02:11:47,2024-03-01 02:11:47
105002,105014,125,2024-03-01 02:11:47,2024-03-01 02:11:47
105003,105017,125,2024-03-01 02:11:47,2024-03-01 02:11:47
