id,budokai_id,order,ranking,created_at,updated_at
1,1,1,1〜100位,2024-03-22 02:20:08,2024-03-22 02:20:08
2,1,2,101〜1000位,2024-03-22 02:20:08,2024-03-22 02:20:08
3,1,3,1001〜2500位,2024-03-22 02:20:08,2024-03-22 02:20:08
4,1,4,2501〜5000位,2024-03-22 02:20:08,2024-03-22 02:20:08
5,1,5,5001〜10000位,2024-03-22 02:20:08,2024-03-22 02:20:08
6,1,6,10001〜20000位,2024-03-22 02:20:08,2024-03-22 02:20:08
7,1,7,20001〜30000位,2024-03-22 02:20:08,2024-03-22 02:20:08
8,1,8,30001〜40000位,2024-03-22 02:20:08,2024-03-22 02:20:08
9,1,9,40001〜50000位,2024-03-22 02:20:08,2024-03-22 02:20:08
10,1,10,50001〜75000位,2024-03-22 02:20:08,2024-03-22 02:20:08
11,1,11,75001〜100000位,2024-03-22 02:20:08,2024-03-22 02:20:08
12,1,12,3桁のゾロ目順位,2024-03-22 02:20:08,2024-03-22 02:20:08
13,1,13,4桁のゾロ目順位,2024-03-22 02:20:08,2024-03-22 02:20:08
14,1,14,5桁のゾロ目順位,2024-03-22 02:20:08,2024-03-22 02:20:08
15,2,1,1〜100位,2024-03-22 02:20:08,2024-03-22 02:20:08
16,2,2,101〜1000位,2024-03-22 02:20:08,2024-03-22 02:20:08
17,2,3,1001〜2500位,2024-03-22 02:20:08,2024-03-22 02:20:08
18,2,4,2501〜5000位,2024-03-22 02:20:08,2024-03-22 02:20:08
19,2,5,5001〜10000位,2024-03-22 02:20:08,2024-03-22 02:20:08
20,2,6,10001〜20000位,2024-03-22 02:20:08,2024-03-22 02:20:08
21,2,7,20001〜30000位,2024-03-22 02:20:08,2024-03-22 02:20:08
22,2,8,30001〜50000位,2024-03-22 02:20:08,2024-03-22 02:20:08
23,2,9,50001〜100000位,2024-03-22 02:20:08,2024-03-22 02:20:08
24,2,10,100001〜200000位,2024-03-22 02:20:08,2024-03-22 02:20:08
25,2,11,3桁のゾロ目順位,2024-03-22 02:20:08,2024-03-22 02:20:08
26,2,12,4桁のゾロ目順位,2024-03-22 02:20:08,2024-03-22 02:20:08
27,2,13,5桁のゾロ目順位,2024-03-22 02:20:08,2024-03-22 02:20:08
28,3,1,1〜100位,2024-03-22 02:20:08,2024-03-22 02:20:08
29,3,2,101〜1000位,2024-03-22 02:20:08,2024-03-22 02:20:08
30,3,3,1001〜2500位,2024-03-22 02:20:08,2024-03-22 02:20:08
31,3,4,2501〜5000位,2024-03-22 02:20:08,2024-03-22 02:20:08
32,3,5,5001〜10000位,2024-03-22 02:20:08,2024-03-22 02:20:08
33,3,6,10001〜20000位,2024-03-22 02:20:08,2024-03-22 02:20:08
34,3,7,20001〜30000位,2024-03-22 02:20:08,2024-03-22 02:20:08
35,3,8,30001〜50000位,2024-03-22 02:20:08,2024-03-22 02:20:08
36,3,9,50001〜75000位,2024-03-22 02:20:08,2024-03-22 02:20:08
37,3,10,75001〜100000位,2024-03-22 02:20:08,2024-03-22 02:20:08
38,3,11,100001〜200000位,2024-03-22 02:20:08,2024-03-22 02:20:08
39,3,12,3桁のゾロ目順位,2024-03-22 02:20:08,2024-03-22 02:20:08
40,3,13,4桁のゾロ目順位,2024-03-22 02:20:08,2024-03-22 02:20:08
41,3,14,5桁のゾロ目順位,2024-03-22 02:20:08,2024-03-22 02:20:08
42,4,1,1位,2024-03-22 02:20:08,2024-03-22 02:20:08
43,4,2,2位,2024-03-22 02:20:08,2024-03-22 02:20:08
44,4,3,3位,2024-03-22 02:20:08,2024-03-22 02:20:08
45,4,4,4〜10位,2024-03-22 02:20:08,2024-03-22 02:20:08
46,4,5,11〜100位,2024-03-22 02:20:08,2024-03-22 02:20:08
47,4,6,101〜1000位,2024-03-22 02:20:08,2024-03-22 02:20:08
48,4,7,1001〜2500位,2024-03-22 02:20:08,2024-03-22 02:20:08
49,4,8,2501〜5000位,2024-03-22 02:20:08,2024-03-22 02:20:08
50,4,9,5001〜10000位,2024-03-22 02:20:08,2024-03-22 02:20:08
51,4,10,10001〜20000位,2024-03-22 02:20:08,2024-03-22 02:20:08
52,4,11,20001〜30000位,2024-03-22 02:20:08,2024-03-22 02:20:08
53,4,12,30001〜50000位,2024-03-22 02:20:08,2024-03-22 02:20:08
54,4,13,50001〜75000位,2024-03-22 02:20:08,2024-03-22 02:20:08
55,4,14,75001〜100000位,2024-03-22 02:20:08,2024-03-22 02:20:08
56,4,15,100001〜200000位,2024-03-22 02:20:08,2024-03-22 02:20:08
57,4,16,3桁のゾロ目順位,2024-03-22 02:20:08,2024-03-22 02:20:08
58,4,17,4桁のゾロ目順位,2024-03-22 02:20:08,2024-03-22 02:20:08
59,4,18,5桁のゾロ目順位,2024-03-22 02:20:08,2024-03-22 02:20:08
60,5,1,1位,2024-03-22 02:20:08,2024-03-22 02:20:08
61,5,2,2位,2024-03-22 02:20:08,2024-03-22 02:20:08
62,5,3,3位,2024-03-22 02:20:08,2024-03-22 02:20:08
63,5,4,4〜10位,2024-03-22 02:20:08,2024-03-22 02:20:08
64,5,5,11〜100位,2024-03-22 02:20:08,2024-03-22 02:20:08
65,5,6,101〜1000位,2024-03-22 02:20:08,2024-03-22 02:20:08
66,5,7,1001〜2500位,2024-03-22 02:20:08,2024-03-22 02:20:08
67,5,8,2501〜5000位,2024-03-22 02:20:08,2024-03-22 02:20:08
68,5,9,5001〜10000位,2024-03-22 02:20:08,2024-03-22 02:20:08
69,5,10,10001〜20000位,2024-03-22 02:20:08,2024-03-22 02:20:08
70,5,11,20001〜30000位,2024-03-22 02:20:08,2024-03-22 02:20:08
71,5,12,30001〜50000位,2024-03-22 02:20:08,2024-03-22 02:20:08
72,5,13,50001〜75000位,2024-03-22 02:20:08,2024-03-22 02:20:08
73,5,14,75001〜100000位,2024-03-22 02:20:08,2024-03-22 02:20:08
74,5,15,100001〜200000位,2024-03-22 02:20:08,2024-03-22 02:20:08
75,5,16,3桁のゾロ目順位,2024-03-22 02:20:08,2024-03-22 02:20:08
76,5,17,4桁のゾロ目順位,2024-03-22 02:20:08,2024-03-22 02:20:08
77,5,18,5桁のゾロ目順位,2024-03-22 02:20:08,2024-03-22 02:20:08
78,6,1,1位,2024-03-22 02:20:08,2024-03-22 02:20:08
79,6,2,2位,2024-03-22 02:20:08,2024-03-22 02:20:08
80,6,3,3位,2024-03-22 02:20:08,2024-03-22 02:20:08
81,6,4,4〜10位,2024-03-22 02:20:08,2024-03-22 02:20:08
82,6,5,11〜100位,2024-03-22 02:20:08,2024-03-22 02:20:08
83,6,6,101〜1000位,2024-03-22 02:20:08,2024-03-22 02:20:08
84,6,7,1001〜2500位,2024-03-22 02:20:08,2024-03-22 02:20:08
