id,type,card_id,awaked_card_id,num,card_awakening_set_id,optimal_awakening_step,optimal_awakening_type,description,priority,open_at
1,CardAwakeningRoute::Zet,1000010,1000011,1,1,,0,,0,2010-04-01 00:00:00
2,CardAwakeningRoute::Zet,2000830,2000831,1,1,,0,,0,2010-04-01 00:00:00
3,CardAwakeningRoute::Zet,1000020,1000021,1,2,,0,,0,2010-04-01 00:00:00
4,CardAwakeningRoute::Zet,2000810,2000811,1,2,,0,,0,2010-04-01 00:00:00
5,CardAwakeningRoute::Zet,1000830,1000831,1,3,,0,,0,2010-04-01 00:00:00
6,CardAwakeningRoute::Zet,1000840,1000841,1,4,,0,,0,2010-04-01 00:00:00
7,CardAwakeningRoute::Zet,1001940,1001941,1,4,,0,,0,2010-04-01 00:00:00
8,CardAwakeningRoute::Zet,1000030,1000031,1,5,,0,,0,2010-04-01 00:00:00
9,CardAwakeningRoute::Zet,1000090,1000091,1,5,,0,,0,2010-04-01 00:00:00
10,CardAwakeningRoute::Zet,1000250,1000251,1,5,,0,,0,2010-04-01 00:00:00
11,CardAwakeningRoute::Zet,1000910,1000911,1,5,,0,,0,2010-04-01 00:00:00
12,CardAwakeningRoute::Zet,1001040,1001041,1,5,,0,,0,2010-04-01 00:00:00
13,CardAwakeningRoute::Zet,1001120,1001121,1,5,,0,,0,2010-04-01 00:00:00
14,CardAwakeningRoute::Zet,2000160,2000161,1,5,,0,,0,2010-04-01 00:00:00
15,CardAwakeningRoute::Zet,1000040,1000041,1,6,,0,,0,2010-04-01 00:00:00
16,CardAwakeningRoute::Zet,1000110,1000111,1,6,,0,,0,2010-04-01 00:00:00
17,CardAwakeningRoute::Zet,1000130,1000131,1,6,,0,,0,2010-04-01 00:00:00
18,CardAwakeningRoute::Zet,1000880,1000881,1,6,,0,,0,2010-04-01 00:00:00
19,CardAwakeningRoute::Zet,1000890,1000891,1,6,,0,,0,2010-04-01 00:00:00
20,CardAwakeningRoute::Zet,1000920,1000921,1,6,,0,,0,2010-04-01 00:00:00
21,CardAwakeningRoute::Zet,2000210,2000211,1,6,,0,,0,2010-04-01 00:00:00
22,CardAwakeningRoute::Zet,1002130,1002131,1,6,,0,,0,2010-04-01 00:00:00
23,CardAwakeningRoute::Zet,1000050,1000051,1,7,,0,,0,2010-04-01 00:00:00
24,CardAwakeningRoute::Zet,1000060,1000061,1,7,,0,,0,2010-04-01 00:00:00
25,CardAwakeningRoute::Zet,1000170,1000171,1,7,,0,,0,2010-04-01 00:00:00
26,CardAwakeningRoute::Zet,1000230,1000231,1,7,,0,,0,2010-04-01 00:00:00
27,CardAwakeningRoute::Zet,1001010,1001011,1,7,,0,,0,2010-04-01 00:00:00
28,CardAwakeningRoute::Zet,1001090,1001091,1,7,,0,,0,2010-04-01 00:00:00
29,CardAwakeningRoute::Zet,1001110,1001111,1,7,,0,,0,2010-04-01 00:00:00
30,CardAwakeningRoute::Zet,1001440,1001441,1,7,,0,,0,2010-04-01 00:00:00
31,CardAwakeningRoute::Zet,1001520,1001521,1,7,,0,,0,2010-04-01 00:00:00
32,CardAwakeningRoute::Zet,1000070,1000071,1,8,,0,,0,2010-04-01 00:00:00
33,CardAwakeningRoute::Zet,1000260,1000261,1,8,,0,,0,2010-04-01 00:00:00
34,CardAwakeningRoute::Zet,1000990,1000991,1,8,,0,,0,2010-04-01 00:00:00
35,CardAwakeningRoute::Zet,1001000,1001001,1,8,,0,,0,2010-04-01 00:00:00
36,CardAwakeningRoute::Zet,1001080,1001081,1,8,,0,,0,2010-04-01 00:00:00
37,CardAwakeningRoute::Zet,1002150,1002151,1,8,,0,,0,2010-04-01 00:00:00
38,CardAwakeningRoute::Zet,1000080,1000081,1,9,,0,,0,2010-04-01 00:00:00
39,CardAwakeningRoute::Zet,1000160,1000161,1,9,,0,,0,2010-04-01 00:00:00
40,CardAwakeningRoute::Zet,1000220,1000221,1,9,,0,,0,2010-04-01 00:00:00
41,CardAwakeningRoute::Zet,1001070,1001071,1,9,,0,,0,2010-04-01 00:00:00
42,CardAwakeningRoute::Zet,1001420,1001421,1,9,,0,,0,2010-04-01 00:00:00
43,CardAwakeningRoute::Zet,1001600,1001601,1,9,,0,,0,2010-04-01 00:00:00
44,CardAwakeningRoute::Zet,1001760,1001761,1,9,,0,,0,2010-04-01 00:00:00
45,CardAwakeningRoute::Zet,1000100,1000101,1,10,,0,,0,2010-04-01 00:00:00
46,CardAwakeningRoute::Zet,1000120,1000121,1,10,,0,,0,2010-04-01 00:00:00
47,CardAwakeningRoute::Zet,1000150,1000151,1,10,,0,,0,2010-04-01 00:00:00
48,CardAwakeningRoute::Zet,1000850,1000851,1,10,,0,,0,2010-04-01 00:00:00
49,CardAwakeningRoute::Zet,1000930,1000931,1,10,,0,,0,2010-04-01 00:00:00
50,CardAwakeningRoute::Zet,1001020,1001021,1,10,,0,,0,2010-04-01 00:00:00
51,CardAwakeningRoute::Zet,1001500,1001501,1,10,,0,,0,2010-04-01 00:00:00
52,CardAwakeningRoute::Zet,1000140,1000141,1,11,,0,,0,2010-04-01 00:00:00
53,CardAwakeningRoute::Zet,1000810,1000811,1,11,,0,,0,2010-04-01 00:00:00
54,CardAwakeningRoute::Zet,1000820,1000821,1,11,,0,,0,2010-04-01 00:00:00
55,CardAwakeningRoute::Zet,1000900,1000901,1,11,,0,,0,2010-04-01 00:00:00
56,CardAwakeningRoute::Zet,2000040,2000041,1,11,,0,,0,2010-04-01 00:00:00
57,CardAwakeningRoute::Zet,1001740,1001741,1,11,,0,,0,2010-04-01 00:00:00
58,CardAwakeningRoute::Zet,1002210,1002211,1,11,,0,,0,2010-04-01 00:00:00
59,CardAwakeningRoute::Zet,1002600,1002601,1,11,,0,,0,2010-04-01 00:00:00
60,CardAwakeningRoute::Zet,1002050,1002051,1,11,,0,,0,2010-04-01 00:00:00
61,CardAwakeningRoute::Zet,1000180,1000181,1,12,,0,,0,2010-04-01 00:00:00
62,CardAwakeningRoute::Zet,1000190,1000191,1,12,,0,,0,2010-04-01 00:00:00
63,CardAwakeningRoute::Zet,1000210,1000211,1,12,,0,,0,2010-04-01 00:00:00
64,CardAwakeningRoute::Zet,1000950,1000951,1,12,,0,,0,2010-04-01 00:00:00
65,CardAwakeningRoute::Zet,1000980,1000981,1,12,,0,,0,2010-04-01 00:00:00
66,CardAwakeningRoute::Zet,1001100,1001101,1,12,,0,,0,2010-04-01 00:00:00
67,CardAwakeningRoute::Zet,1001380,1001381,1,12,,0,,0,2010-04-01 00:00:00
68,CardAwakeningRoute::Zet,2000280,2000281,1,12,,0,,0,2010-04-01 00:00:00
69,CardAwakeningRoute::Zet,1000200,1000201,1,13,,0,,0,2010-04-01 00:00:00
70,CardAwakeningRoute::Zet,1000240,1000241,1,13,,0,,0,2010-04-01 00:00:00
