id,name,description,element,exp,rarity,zeni_to_use,selling_exchange_point
100,亀印の石[速],修業で使用すると1000以上の経験値を獲得できる,0,1000,0,100,1
101,亀印の石[技],修業で使用すると1000以上の経験値を獲得できる,1,1000,0,100,1
102,亀印の石[知],修業で使用すると1000以上の経験値を獲得できる,2,1000,0,100,1
103,亀印の石[力],修業で使用すると1000以上の経験値を獲得できる,3,1000,0,100,1
104,亀印の石[体],修業で使用すると1000以上の経験値を獲得できる,4,1000,0,100,1
200,亀の甲羅(20K)[速],修業で使用すると2000以上の経験値を獲得できる,0,2000,1,200,1
201,亀の甲羅(20K)[技],修業で使用すると2000以上の経験値を獲得できる,1,2000,1,200,1
202,亀の甲羅(20K)[知],修業で使用すると2000以上の経験値を獲得できる,2,2000,1,200,1
203,亀の甲羅(20K)[力],修業で使用すると2000以上の経験値を獲得できる,3,2000,1,200,1
204,亀の甲羅(20K)[体],修業で使用すると2000以上の経験値を獲得できる,4,2000,1,200,1
300,亀の甲羅(40K)[速],修業で使用すると4000以上の経験値を獲得できる,0,4000,1,400,1
301,亀の甲羅(40K)[技],修業で使用すると4000以上の経験値を獲得できる,1,4000,1,400,1
302,亀の甲羅(40K)[知],修業で使用すると4000以上の経験値を獲得できる,2,4000,1,400,1
303,亀の甲羅(40K)[力],修業で使用すると4000以上の経験値を獲得できる,3,4000,1,400,1
304,亀の甲羅(40K)[体],修業で使用すると4000以上の経験値を獲得できる,4,4000,1,400,1
400,超聖水[速],修業で使用すると8000以上の経験値を獲得できる,0,8000,2,800,2
401,超聖水[技],修業で使用すると8000以上の経験値を獲得できる,1,8000,2,800,2
402,超聖水[知],修業で使用すると8000以上の経験値を獲得できる,2,8000,2,800,2
403,超聖水[力],修業で使用すると8000以上の経験値を獲得できる,3,8000,2,800,2
404,超聖水[体],修業で使用すると8000以上の経験値を獲得できる,4,8000,2,800,2
500,重い道着[速],修業で使用すると10000以上の経験値を獲得できる,0,10000,2,1000,2
501,重い道着[技],修業で使用すると10000以上の経験値を獲得できる,1,10000,2,1000,2
502,重い道着[知],修業で使用すると10000以上の経験値を獲得できる,2,10000,2,1000,2
503,重い道着[力],修業で使用すると10000以上の経験値を獲得できる,3,10000,2,1000,2
504,重い道着[体],修業で使用すると10000以上の経験値を獲得できる,4,10000,2,1000,2
600,重いブーツ[速],修業で使用すると18000以上の経験値を獲得できる,0,18000,2,1800,4
601,重いブーツ[技],修業で使用すると18000以上の経験値を獲得できる,1,18000,2,1800,4
602,重いブーツ[知],修業で使用すると18000以上の経験値を獲得できる,2,18000,2,1800,4
603,重いブーツ[力],修業で使用すると18000以上の経験値を獲得できる,3,18000,2,1800,4
604,重いブーツ[体],修業で使用すると18000以上の経験値を獲得できる,4,18000,2,1800,4
700,オモリ(2t)[速],修業で使用すると25000以上の経験値を獲得できる,0,25000,3,2500,5
701,オモリ(2t)[技],修業で使用すると25000以上の経験値を獲得できる,1,25000,3,2500,5
702,オモリ(2t)[知],修業で使用すると25000以上の経験値を獲得できる,2,25000,3,2500,5
703,オモリ(2t)[力],修業で使用すると25000以上の経験値を獲得できる,3,25000,3,2500,5
704,オモリ(2t)[体],修業で使用すると25000以上の経験値を獲得できる,4,25000,3,2500,5
800,オモリ(10t)[速],修業で使用すると40000以上の経験値を獲得できる,0,40000,3,3500,8
