id,quest_id,difficulty,sugoroku_bgm_id,battle_bgm_id,boss_bgm_id,battle_background_id,act,eventkagi_num,user_exp,zeni,start_script_id,finish_script_id,first_focus_step,dice_id,sugoroku_map_puzzle_color_id,is_cpu_only,danger_line_hp,link_skill_lv_up_prob_rate,sugoroku_map_reward_group_id,cpu_friend_list_id,created_at,updated_at
10,1.0,0,1,6,7,7,1,0,1,1,0,0,14,2,1,0,0,0.05,,,2024-06-10 02:06:43,2024-06-10 02:06:43
110,,0,21,23,23,44,10,0,100,5000,0,0,0,6,1,0,0,0.5,4.0,,2024-06-10 02:06:43,2024-06-10 02:06:43
111,,0,21,23,23,44,10,0,200,5250,0,0,0,6,1,0,0,0.5,4.0,,2024-06-10 02:06:43,2024-06-10 02:06:43
112,,0,21,23,23,44,10,0,400,5500,0,0,0,6,1,0,0,0.5,4.0,,2024-06-10 02:06:43,2024-06-10 02:06:43
113,,0,21,23,23,44,10,0,500,6000,0,0,0,6,1,0,0,0.5,4.0,,2024-06-10 02:06:43,2024-06-10 02:06:43
120,,0,21,23,23,44,10,0,150,6000,0,0,0,6,1,0,0,0.5,4.0,,2024-06-10 02:06:43,2024-06-10 02:06:43
121,,0,21,23,23,44,10,0,300,6250,0,0,0,6,1,0,0,0.5,4.0,,2024-06-10 02:06:43,2024-06-10 02:06:43
122,,0,21,23,23,44,10,0,500,6500,0,0,0,6,1,0,0,0.5,4.0,,2024-06-10 02:06:43,2024-06-10 02:06:43
123,,0,21,23,23,44,10,0,600,7000,0,0,0,6,1,0,0,0.5,4.0,,2024-06-10 02:06:43,2024-06-10 02:06:43
130,,0,21,23,23,44,10,0,300,12000,0,0,0,6,1,0,0,0.5,4.0,,2024-06-10 02:06:43,2024-06-10 02:06:43
131,,0,21,23,23,44,10,0,675,12375,0,0,0,6,1,0,0,0.5,4.0,,2024-06-10 02:06:43,2024-06-10 02:06:43
132,,0,21,23,23,44,10,0,1200,12750,0,0,0,6,1,0,0,0.5,4.0,,2024-06-10 02:06:43,2024-06-10 02:06:43
133,,0,21,23,23,44,10,0,1650,13500,0,0,0,6,1,0,0,0.5,4.0,,2024-06-10 02:06:43,2024-06-10 02:06:43
140,,0,22,24,24,44,15,0,300,12000,0,0,0,6,1,0,0,0.75,6.0,,2024-06-10 02:06:43,2024-06-10 02:06:43
141,,0,22,24,24,44,15,0,675,12375,0,0,0,6,1,0,0,0.75,6.0,,2024-06-10 02:06:43,2024-06-10 02:06:43
142,,0,22,24,24,44,15,0,1200,12750,0,0,0,6,1,0,0,0.75,6.0,,2024-06-10 02:06:43,2024-06-10 02:06:43
143,,0,22,24,24,44,15,0,1650,13500,0,0,0,6,1,0,0,0.75,6.0,,2024-06-10 02:06:43,2024-06-10 02:06:43
150,,0,22,24,24,44,15,0,330,15000,0,0,0,6,1,0,0,0.75,6.0,,2024-06-10 02:06:43,2024-06-10 02:06:43
151,,0,22,24,24,44,15,0,705,16500,0,0,0,6,1,0,0,0.75,6.0,,2024-06-10 02:06:43,2024-06-10 02:06:43
152,,0,22,24,24,44,15,0,1260,18000,0,0,0,6,1,0,0,0.75,6.0,,2024-06-10 02:06:43,2024-06-10 02:06:43
153,,0,22,24,24,44,15,0,1680,21000,0,0,0,6,1,0,0,0.75,6.0,,2024-06-10 02:06:43,2024-06-10 02:06:43
160,,0,22,24,24,45,20,0,500,100000,0,0,0,6,1,0,0,1.0,9.0,,2024-06-10 02:06:43,2024-06-10 02:06:43
161,,0,22,24,24,45,20,0,1000,100000,0,0,0,6,1,0,0,1.0,9.0,,2024-06-10 02:06:43,2024-06-10 02:06:43
162,,0,22,24,24,45,20,0,1800,100000,0,0,0,6,1,0,0,1.0,9.0,,2024-06-10 02:06:43,2024-06-10 02:06:43
163,,0,22,24,24,45,20,0,2400,100000,0,0,0,6,1,0,0,1.0,9.0,,2024-06-10 02:06:43,2024-06-10 02:06:43
310,,0,21,23,23,44,10,0,100,5000,0,0,0,6,1,0,0,0.5,4.0,,2024-06-10 02:06:43,2024-06-10 02:06:43
311,,0,21,23,23,44,10,0,200,5250,0,0,0,6,1,0,0,0.5,4.0,,2024-06-10 02:06:43,2024-06-10 02:06:43
312,,0,21,23,23,44,10,0,400,5500,0,0,0,6,1,0,0,0.5,4.0,,2024-06-10 02:06:43,2024-06-10 02:06:43
313,,0,21,23,23,44,10,0,500,6000,0,0,0,6,1,0,0,0.5,4.0,,2024-06-10 02:06:43,2024-06-10 02:06:43
320,,0,22,24,24,44,15,0,1650,13500,0,0,0,6,1,0,0,0.75,6.0,,2024-06-10 02:06:43,2024-06-10 02:06:43
321,,0,22,24,24,44,15,0,1650,13500,0,0,0,6,1,0,0,0.75,6.0,,2024-06-10 02:06:43,2024-06-10 02:06:43
322,,0,22,24,24,44,15,0,1650,13500,0,0,0,6,1,0,0,0.75,6.0,,2024-06-10 02:06:43,2024-06-10 02:06:43
323,,0,22,24,24,44,15,0,1650,13500,0,0,0,6,1,0,0,0.75,6.0,,2024-06-10 02:06:43,2024-06-10 02:06:43
330,,0,22,24,24,44,15,0,1680,21000,0,0,0,6,1,0,0,0.75,6.0,,2024-06-10 02:06:43,2024-06-10 02:06:43
331,,0,22,24,24,44,15,0,1680,21000,0,0,0,6,1,0,0,0.75,6.0,,2024-06-10 02:06:43,2024-06-10 02:06:43
332,,0,22,24,24,44,15,0,1680,21000,0,0,0,6,1,0,0,0.75,6.0,,2024-06-10 02:06:43,2024-06-10 02:06:43
333,,0,22,24,24,44,15,0,1680,21000,0,0,0,6,1,0,0,0.75,6.0,,2024-06-10 02:06:43,2024-06-10 02:06:43
340,,0,22,24,24,45,20,0,2400,100000,0,0,0,6,1,0,0,1.0,9.0,,2024-06-10 02:06:43,2024-06-10 02:06:43
341,,0,22,24,24,45,20,0,2400,100000,0,0,0,6,1,0,0,1.0,9.0,,2024-06-10 02:06:43,2024-06-10 02:06:43
342,,0,22,24,24,45,20,0,2400,100000,0,0,0,6,1,0,0,1.0,9.0,,2024-06-10 02:06:43,2024-06-10 02:06:43
343,,0,22,24,24,45,20,0,2400,100000,0,0,0,6,1,0,0,1.0,9.0,,2024-06-10 02:06:43,2024-06-10 02:06:43
410,,0,21,23,23,44,10,0,100,5000,0,0,0,6,1,0,0,0.5,4.0,,2024-06-10 02:06:43,2024-06-10 02:06:43
411,,0,21,23,23,44,10,0,200,5250,0,0,0,6,1,0,0,0.5,4.0,,2024-06-10 02:06:43,2024-06-10 02:06:43
