id,chain_battle_mission_id,item_id,item_type,quantity,card_exp_init,description,gift_description,created_at,updated_at
1000,1,2001,TreasureItem,20,0,結束の印×20,チェインバトルに1回出撃しよう,2024-01-11 00:34:50,2024-01-11 00:34:50
1001,2,2001,TreasureItem,20,0,結束の印×20,チェインバトルに2回出撃しよう,2024-01-11 00:34:50,2024-01-11 00:34:50
1002,3,2001,TreasureItem,20,0,結束の印×20,チェインバトルに3回出撃しよう,2024-01-11 00:34:50,2024-01-11 00:34:50
1003,4,2001,TreasureItem,20,0,結束の印×20,チェインバトルに4回出撃しよう,2024-01-11 00:34:50,2024-01-11 00:34:50
1004,5,2001,TreasureItem,20,0,結束の印×20,チェインバトルに5回出撃しよう,2024-01-11 00:34:50,2024-01-11 00:34:50
1005,6,2001,TreasureItem,10,0,結束の印×10,NICE！を1回送信しよう,2024-01-11 00:34:50,2024-01-11 00:34:50
1006,7,2001,TreasureItem,20,0,結束の印×20,サポーターを編成しよう,2024-01-11 00:34:50,2024-01-11 00:34:50
1007,8,2001,TreasureItem,80,0,結束の印×80,チェインバトルに15回出撃しよう,2024-01-11 00:34:50,2024-01-11 00:34:50
1008,9,2001,TreasureItem,100,0,結束の印×100,チェインバトルに20回出撃しよう,2024-01-11 00:34:50,2024-01-11 00:34:50
1009,10,11,Point::Stone,1,0,龍石×1,チェインバトルを30回出撃しよう,2024-01-11 00:34:50,2024-01-11 00:34:50
1010,10,2001,TreasureItem,150,0,結束の印×150,チェインバトルを30回出撃しよう,2024-01-11 00:34:50,2024-01-11 00:34:50
1011,11,1003970,Card,1,0,[不思議な儀式]老界王神×1,期間中合計10億以上のダメージ,2024-01-11 00:34:50,2024-01-11 00:34:50
1012,11,11,Point::Stone,2,0,龍石×2,期間中合計10億以上のダメージ,2024-01-11 00:34:50,2024-01-11 00:34:50
1013,11,2001,TreasureItem,100,0,結束の印×100,期間中合計10億以上のダメージ,2024-01-11 00:34:50,2024-01-11 00:34:50
1014,12,1,CardStickerItem,1,0,スペシャルステッカー×1,期間中合計15億以上のダメージ,2024-01-11 00:34:50,2024-01-11 00:34:50
1015,12,11,Point::Stone,3,0,龍石×3,期間中合計15億以上のダメージ,2024-01-11 00:34:50,2024-01-11 00:34:50
1016,12,2001,TreasureItem,150,0,結束の印×150,期間中合計15億以上のダメージ,2024-01-11 00:34:50,2024-01-11 00:34:50
1017,13,2001,TreasureItem,80,0,結束の印×80,1回のバトルで1千万以上のダメージ,2024-01-11 00:34:50,2024-01-11 00:34:50
1018,14,2001,TreasureItem,100,0,結束の印×100,1回のバトルで2千万以上のダメージ,2024-01-11 00:34:50,2024-01-11 00:34:50
1019,15,1003970,Card,1,0,[不思議な儀式]老界王神×1,1回のバトルで3千万以上のダメージ,2024-01-11 00:34:50,2024-01-11 00:34:50
1020,15,11,Point::Stone,2,0,龍石×2,1回のバトルで3千万以上のダメージ,2024-01-11 00:34:50,2024-01-11 00:34:50
1021,15,2001,TreasureItem,120,0,結束の印×120,1回のバトルで3千万以上のダメージ,2024-01-11 00:34:50,2024-01-11 00:34:50
