id,name,jacket_image_path,jacket_thumbnail_path,priority,open_at,close_at,created_at,updated_at
1,ドッカンバトル,images/jukebox/juke_album_big_99999.png,images/jukebox/juke_album_small_99999.png,1,2022-11-16 04:00:00,2030-12-31 23:59:59,2024-07-17 02:07:18,2024-07-17 02:07:18
2,襲い来る脅威！戦闘民族サイヤ人,images/jukebox/juke_album_big_901.png,images/jukebox/juke_album_small_901.png,901,2022-11-17 08:00:00,2030-12-31 23:59:59,2024-07-17 02:07:18,2024-07-17 02:07:18
3,暴虐非道の銀河戦士,images/jukebox/juke_album_big_562.png,images/jukebox/juke_album_small_562.png,562,2022-12-20 08:00:00,2030-12-31 23:59:59,2024-07-17 02:07:18,2024-07-17 02:07:18
4,ドラゴンボールオープニングメドレー,images/jukebox/juke_album_big_244.png,images/jukebox/juke_album_small_244.png,244,2023-02-15 08:00:00,2030-12-31 23:59:59,2024-07-17 02:07:18,2024-07-17 02:07:18
5,蒼炎に燃える合体,images/jukebox/juke_album_big_519.png,images/jukebox/juke_album_small_519.png,519,2023-02-24 08:00:00,2030-12-31 23:59:59,2024-07-17 02:07:18,2024-07-17 02:07:18
6,全てを照らす最強の光臨,images/jukebox/juke_album_big_549.png,images/jukebox/juke_album_small_549.png,549,2023-02-24 08:00:00,2030-12-31 23:59:59,2024-07-17 02:07:18,2024-07-17 02:07:18
7,第7宇宙の破壊神,images/jukebox/juke_album_big_511.png,images/jukebox/juke_album_small_511.png,511,2023-03-27 08:00:00,2030-12-31 23:59:59,2024-07-17 02:07:18,2024-07-17 02:07:18
8,熱闘悟空伝,images/jukebox/juke_album_big_712.png,images/jukebox/juke_album_small_712.png,712,2023-05-16 08:00:00,2030-12-31 23:59:59,2024-07-17 02:07:18,2024-07-17 02:07:18
9,天下無敵!!希望の英雄,images/jukebox/juke_album_big_513.png,images/jukebox/juke_album_small_513.png,513,2023-04-18 08:00:00,2030-12-31 23:59:59,2024-07-17 02:07:18,2024-07-17 02:07:18
10,闇をさすらう宇宙の壊し屋,images/jukebox/juke_album_big_539.png,images/jukebox/juke_album_small_539.png,539,2023-06-20 08:00:00,2030-12-31 23:59:59,2024-07-17 02:07:18,2024-07-17 02:07:18
11,絶望を呼ぶ邪悪龍,images/jukebox/juke_album_big_517.png,images/jukebox/juke_album_small_517.png,517,2023-07-20 08:00:00,2030-12-31 23:59:59,2024-07-17 02:07:18,2024-07-17 02:07:18
12,未来を守るサイヤの親子,images/jukebox/juke_album_big_579.png,images/jukebox/juke_album_small_579.png,579,2023-09-08 08:00:00,2030-12-31 23:59:59,2024-07-17 02:07:18,2024-07-17 02:07:18
13,魔人ブウのお菓子なイタズラ！,images/jukebox/juke_album_big_152.png,images/jukebox/juke_album_small_152.png,152,2023-10-26 08:00:00,2030-12-31 23:59:59,2024-07-17 02:07:18,2024-07-17 02:07:18
14,限界を超えて！超フルパワー決戦,images/jukebox/juke_album_big_586.png,images/jukebox/juke_album_small_586.png,586,2023-11-22 06:00:00,2030-12-31 23:59:59,2024-07-17 02:07:18,2024-07-17 02:07:18
15,怒りの戦士!!超サイヤ人,images/jukebox/juke_album_big_553.png,images/jukebox/juke_album_small_553.png,553,2023-12-28 08:00:00,2030-12-31 23:59:59,2024-07-17 02:07:18,2024-07-17 02:07:18
16,地獄より舞い戻る最凶最悪,images/jukebox/juke_album_big_533.png,images/jukebox/juke_album_small_533.png,533,2024-02-11 08:00:00,2030-12-31 23:59:59,2024-07-17 02:07:18,2024-07-17 02:07:18
17,立ちはだかる絶対的強者,images/jukebox/juke_album_big_540.png,images/jukebox/juke_album_small_540.png,540,2024-02-22 08:00:00,2030-12-31 23:59:59,2024-07-17 02:07:18,2024-07-17 02:07:18
18,究極の完全体への道,images/jukebox/juke_album_big_577.png,images/jukebox/juke_album_small_577.png,577,2024-03-21 08:00:00,2030-12-31 23:59:59,2024-07-17 02:07:18,2024-07-17 02:07:18
19,目覚めし究極の力,images/jukebox/juke_album_big_508.png,images/jukebox/juke_album_small_508.png,508,2024-04-18 08:00:00,2030-12-31 23:59:59,2024-07-17 02:07:18,2024-07-17 02:07:18
21,神越降臨!!身勝手の極意,images/jukebox/juke_album_big_538.png,images/jukebox/juke_album_small_538.png,538,2024-06-06 08:00:00,2030-12-31 23:59:59,2024-07-17 02:07:18,2024-07-17 02:07:18
22,夢と信念の守護者,images/jukebox/juke_album_big_543.png,images/jukebox/juke_album_small_543.png,543,2024-07-19 08:00:00,2030-12-31 23:59:59,2024-07-17 02:07:18,2024-07-17 02:07:18
