id,jukebox_album_id,bgm_filename,sample_bgm_filename,title,description,point,priority,open_at,close_at,created_at,updated_at
1,1,bgm_006,bgm_006,バトル_01,バトル_01,0,1,2022-11-16 04:00:00,2030-12-31 23:59:59,2024-05-29 02:28:04,2024-05-29 02:28:04
2,1,bgm_001,bgm_001,マップ_01,マップ_01,1000,1,2022-11-17 08:00:00,2030-12-31 23:59:59,2024-05-29 02:28:04,2024-05-29 02:28:04
3,1,bgm_007,bgm_007,バトル_02,バトル_02,1000,1,2022-12-20 08:00:00,2030-12-31 23:59:59,2024-05-29 02:28:04,2024-05-29 02:28:04
4,1,bgm_002,bgm_002,マップ_02,マップ_02,500,1,2023-02-24 08:00:00,2030-12-31 23:59:59,2024-05-29 02:28:04,2024-05-29 02:28:04
5,1,bgm_029,bgm_029,バトル_03,バトル_03,500,1,2023-02-24 08:00:00,2030-12-31 23:59:59,2024-05-29 02:28:04,2024-05-29 02:28:04
6,1,bgm_003,bgm_003,マップ_03,マップ_03,1000,1,2023-03-27 08:00:00,2030-12-31 23:59:59,2024-05-29 02:28:04,2024-05-29 02:28:04
7,1,bgm_031,bgm_031,バトル_04,バトル_04,1000,1,2023-04-18 08:00:00,2030-12-31 23:59:59,2024-05-29 02:28:04,2024-05-29 02:28:04
8,1,bgm_004,bgm_004,マップ_04,マップ_04,1000,1,2023-05-16 08:00:00,2030-12-31 23:59:59,2024-05-29 02:28:04,2024-05-29 02:28:04
9,1,bgm_032,bgm_032,バトル_05,バトル_05,1000,1,2023-06-20 08:00:00,2030-12-31 23:59:59,2024-05-29 02:28:04,2024-05-29 02:28:04
10,1,bgm_005,bgm_005,マップ_05,マップ_05,1000,1,2023-07-20 08:00:00,2030-12-31 23:59:59,2024-05-29 02:28:04,2024-05-29 02:28:04
11,1,bgm_018,bgm_018,マップ_06,マップ_06,1000,1,2023-09-08 08:00:00,2030-12-31 23:59:59,2024-05-29 02:28:04,2024-05-29 02:28:04
12,1,bgm_035,bgm_035,マップ_07,マップ_07,1000,1,2023-10-26 08:00:00,2030-12-31 23:59:59,2024-05-29 02:28:04,2024-05-29 02:28:04
13,1,bgm_039,bgm_039,マップ_08,マップ_08,1000,1,2023-12-28 08:00:00,2030-12-31 23:59:59,2024-05-29 02:28:04,2024-05-29 02:28:04
14,1,bgm_062,bgm_062,マップ_09,マップ_09,1000,1,2024-02-11 08:00:00,2030-12-31 23:59:59,2024-05-29 02:28:04,2024-05-29 02:28:04
15,1,bgm_063,bgm_063,マップ_10	,マップ_10	,1000,1,2024-02-22 08:00:00,2030-12-31 23:59:59,2024-05-29 02:28:04,2024-05-29 02:28:04
16,1,bgm_064,bgm_064,マップ_11,マップ_11,1000,1,2024-03-21 08:00:00,2030-12-31 23:59:59,2024-05-29 02:28:04,2024-05-29 02:28:04
