id,name,description,rarity,max_per_quest,max_per_quest_extended,efficacy_type1,efficacy_type2,target_type,calc_option,turn,eff1_value1,eff1_value2,eff1_value3,efficacy_values1,eff2_value1,eff2_value2,eff2_value3,efficacy_values2,ingame_type,selling_exchange_point
1,回復ドリンク,HPが2500回復する,0,1,2,4,0,1,0,1,2500,0,0,,0,0,0,,0,1
2,スーパー回復ドリンク,HPが6000回復する,0,1,2,4,0,1,0,1,6000,0,0,,0,0,0,,0,1
3,ウルトラ回復ドリンク,HPが10000回復する,1,1,2,4,0,1,0,1,10000,0,0,,0,0,0,,0,1
4,アルティメット回復ドリンク,HPが15000回復する,1,1,2,4,0,1,0,1,15000,0,0,,0,0,0,,0,1
5,カリンの薬草,味方全員の状態異常をなおす,2,1,2,22,0,2,0,1,0,0,0,,0,0,0,,0,3
6,仙豆,HPが全回復し、味方全員の状態異常をなおす,3,1,2,21,0,2,0,1,0,0,0,,0,0,0,,0,5
1000,デンデ,HPが全回復し、味方全員の状態異常をなおす,3,1,2,21,0,2,0,1,0,0,0,,0,0,0,,1,5
1002,カルゴ,HPが25%回復する,1,1,2,4,0,1,2,1,25,0,0,,0,0,0,,1,1
1100,ウーロン[速],変化の術で、緑の気の玉を青に変化させる。,1,1,2,51,0,1,0,1,1,0,0,,0,0,0,,1,1
1101,ウーロン[技],変化の術で、紫の気の玉を緑に変化させる。,1,1,2,51,0,1,0,1,2,1,0,,0,0,0,,1,1
1102,プーアル[知],変化の術で、橙の気の玉を紫に変化させる。,1,1,2,51,0,1,0,1,4,2,0,,0,0,0,,1,1
1103,プーアル[力],変化の術で、青の気の玉を赤に変化させる。,1,1,2,51,0,1,0,1,0,3,0,,0,0,0,,1,1
1104,プーアル[体],変化の術で、赤の気の玉を橙に変化させる。,1,1,2,51,0,1,0,1,3,4,0,,0,0,0,,1,1
1200,シュウ,攻撃キャラクターの気力を1プラスする,0,1,2,5,0,2,0,1,1,0,0,,0,0,0,,1,1
1201,ミスター・サタン,攻撃キャラクターの気力を1プラスする,0,1,2,5,0,2,0,1,1,0,0,,0,0,0,,1,1
1202,国王,3ターン全員の気力を1プラスする,2,1,2,5,0,2,0,3,1,0,0,,0,0,0,,1,3
1203,ランチ(正常),攻撃キャラクターの気力をランダムでプラスする,2,1,2,5,0,2,0,1,1,3,0,,0,0,0,,1,3
1400,天下一武道会アナウンサー[速],"1ターン速属性のATKが30%アップする
※連続で使用した場合、効果は重複しません",1,1,2,16,0,2,2,1,0,30,0,,0,0,0,,1,1
1401,天下一武道会アナウンサー[技],"1ターン技属性のATKが30%アップする
※連続で使用した場合、効果は重複しません",1,1,2,16,0,2,2,1,1,30,0,,0,0,0,,1,1
1402,天下一武道会アナウンサー[知],"1ターン知属性のATKが30%アップする
※連続で使用した場合、効果は重複しません",1,1,2,16,0,2,2,1,2,30,0,,0,0,0,,1,1
1403,天下一武道会アナウンサー[力],"1ターン力属性のATKが30%アップする
※連続で使用した場合、効果は重複しません",1,1,2,16,0,2,2,1,3,30,0,,0,0,0,,1,1
1404,天下一武道会アナウンサー[体],"1ターン体属性のATKが30%アップする
※連続で使用した場合、効果は重複しません",1,1,2,16,0,2,2,1,4,30,0,,0,0,0,,1,1
1502,ブルマ,"3ターンATKとDEFが20%アップする
※連続で使用した場合、効果は重複しません",2,1,2,3,0,2,2,3,20,20,0,,0,0,0,,1,3
1503,牛魔王,1ターン受けるダメージが25%軽減される,1,1,2,13,0,2,3,1,75,0,0,,0,0,0,,1,1
1505,占いババ,1ターン敵の攻撃を見切り、必殺技を封印する,3,1,2,48,0,4,0,1,0,0,0,,0,0,0,,1,5
1506,ビーデル[速],"1ターン速属性のDEFが30%アップする
※連続で使用した場合、効果は重複しません",1,1,2,17,0,2,2,1,0,30,0,,0,0,0,,1,1
1507,ビーデル[技],"1ターン技属性のDEFが30%アップする
※連続で使用した場合、効果は重複しません",1,1,2,17,0,2,2,1,1,30,0,,0,0,0,,1,1
1508,ビーデル[知],"1ターン知属性のDEFが30%アップする
※連続で使用した場合、効果は重複しません",1,1,2,17,0,2,2,1,2,30,0,,0,0,0,,1,1
1509,ビーデル[力],"1ターン力属性のDEFが30%アップする
※連続で使用した場合、効果は重複しません",1,1,2,17,0,2,2,1,3,30,0,,0,0,0,,1,1
1510,ビーデル[体],"1ターン体属性のDEFが30%アップする
※連続で使用した場合、効果は重複しません",1,1,2,17,0,2,2,1,4,30,0,,0,0,0,,1,1
1600,ムーリ,"敵全体のDEFが25%ダウンする
※連続で使用した場合、効果は重複しません",1,1,2,2,0,4,3,1,25,0,0,,0,0,0,,1,1
1603,ランファン,"敵全体のATKが25%ダウンする
※連続で使用した場合、効果は重複しません",1,1,2,1,0,4,3,1,25,0,0,,0,0,0,,1,1
1700,整列指示オバケ,"敵全体の攻撃ターンを1のばす
※連続で使用した場合、効果は重複しません",3,1,2,8,0,4,0,1,1,0,0,,0,0,0,,1,5
1701,閻魔大王,1ターン受けるダメージが50%軽減される,3,1,2,13,0,2,3,1,50,0,0,,0,0,0,,1,5
1800,旧型スカウター(緑),"次のターンから、敵の必殺技を2ターン見極める
※連続で使用した場合、効果は重複しません",0,1,2,101,0,2,0,2,0,0,0,,0,0,0,,1,1
1801,旧型スカウター(赤),"使用した次のターンから3ターンの間、
敵の必殺技を見極め、気力を2プラスする",1,1,2,101,5,2,0,3,0,0,0,,2,0,0,,1,2
1900,ネズミ,"2ターン敵全体のATKとDEFが40%ダウンする
※連続で使用した場合、効果は重複しません",3,1,2,3,0,4,3,2,40,40,0,,0,0,0,,1,5
1901,ウーロン(オバケ牛),"1ターン味方全体のATKが20%アップし、取得した
気玉ひとつにつき会心の発動確率が1%アップする
※連続で使用した場合、効果は重複しません",3,1,2,1,68,2,2,1,20,0,0,,63,4,1,,1,5
1902,兎人参化,"全ての気玉を人参に変化させる
1ターン取得気玉1個につきDEF15％UP(人参含む)
※人参の取得では気力がアップしません",3,1,2,105,60,2,2,1,4096,0,0,,15,0,0,,1,5
1903,ご先祖さまの道着,3ターン味方全体の気力を12プラスする,3,1,2,5,0,2,0,3,12,0,0,,0,0,0,,1,5
1904,バトルタンク,"ターゲットにしている敵1体の攻撃ターンを1のばし、
1ターンDEFを40%ダウンさせる
※連続で使用した場合、効果は重複しません",3,1,2,8,2,3,3,1,1,0,0,,40,0,0,,1,5
13001,ギャルのパンティ?,"1ターン味方全体の気力を3プラスする。
ギャルのパンティは1周年のまやかしだった...。 ",1,1,2,5,0,2,0,1,3,0,0,,0,0,0,,1,5
15201,ダーブラクッキー,"気玉をランダムで体気玉に変化させ、1ターン
取得した体気玉ひとつにつきATKが5%アップする
※連続で使用した場合、効果は重複しません",3,1,2,67,68,2,2,1,8175,16,0,,16,1,5,,1,5
21601,パオズザウルスのシッポ,"2ターン味方全体のATKが30%アップし、
取得した気玉ひとつにつきHPが2%回復する",3,1,2,1,68,2,2,2,30,0,0,,63,2,2,,1,5
30501,人造人間18号,"1ターン味方全体のATKが2500アップする
※連続で使用した場合、効果は重複しません",3,1,2,1,0,2,0,1,2500,0,0,,0,0,0,,1,2
30502,マーロン,"3ターン敵全体のATKが25%ダウンする
※連続で使用した場合、効果は重複しません",3,1,2,1,0,4,3,3,25,0,0,,0,0,0,,1,2
30503,ブルマ,"5ターン味方全体のATKが25%アップする
※連続で使用した場合、効果は重複しません",3,1,2,1,0,2,2,5,25,0,0,,0,0,0,,1,2
30504,ビーデル,"1ターン味方全体のATKとDEFが1500アップする
※連続で使用した場合、効果は重複しません",3,1,2,3,0,2,0,1,1500,1500,0,,0,0,0,,1,2
30505,ウイス,2ターン受けるダメージが40%軽減される,2,1,2,13,0,2,3,2,60,0,0,,0,0,0,,1,1
31401,ピラフ,1ターン敵の攻撃を見切り、必殺技を封印する,3,1,2,48,0,4,0,1,0,0,0,,0,0,0,,1,2
31402,シュウ,攻撃キャラクターの気力を3プラスする,3,1,2,5,0,2,0,1,3,0,0,,0,0,0,,1,2
31403,マイ,"1ターン敵全体のATKが30%ダウンする
※連続で使用した場合、効果は重複しません",3,1,2,1,0,4,3,1,30,0,0,,0,0,0,,1,2
31501,神精樹の実,3ターン味方全体の気力を3プラスする,2,1,2,5,0,2,0,3,3,0,0,,0,0,0,,1,1
31502,ハイヤードラゴン,2ターン受けるダメージが35%軽減される,3,1,2,13,0,2,3,2,65,0,0,,0,0,0,,1,2
32101,ブルマ(未来),"HPが70%回復し、
2ターンの間味方全体のATKが25%アップする",3,1,2,4,1,2,2,2,10,0,0,,25,0,0,,1,5
32102,人造人間8号,"HPが70%回復し、
2ターンの間味方全体のDEFが50%アップする",3,1,2,4,2,2,2,2,10,0,0,,50,0,0,,1,5
32301,蛇姫,"HPが55%回復し、
1ターン受けるダメージが30%軽減される",3,1,2,4,13,2,2,1,8,0,0,,70,0,0,,1,5
32601,シャモ,"2ターン敵全体のATKとDEFが30%ダウンする
※連続で使用した場合、効果は重複しません",3,1,2,3,0,4,3,2,30,30,0,,0,0,0,,1,5
32701,木の枝,1ターン味方全体の気力を3プラスする,1,1,2,5,0,2,0,1,3,0,0,,0,0,0,,1,2
