id,chain_battle_help_category_id,num,title,description,created_at,updated_at
1,1,,参加条件と参加可能なキャラクター,description: helps,2020-04-30 02:02:57,2020-04-30 02:02:57
2,1,,バトルエナジー,description: helps,2020-04-30 02:02:57,2020-04-30 02:02:57
3,1,,バトルキャラクター,description: helps,2020-04-30 02:02:57,2020-04-30 02:02:57
4,1,,チェインパワーとは,description: helps,2020-04-30 02:02:57,2020-04-30 02:02:57
5,1,,サポーター,description: helps,2020-04-30 02:02:57,2020-04-30 02:02:57
6,1,,コネクター,description: helps,2020-04-30 02:02:57,2020-04-30 02:02:57
7,1,,特攻キャラクター,description: helps,2020-04-30 02:02:57,2020-04-30 02:02:57
8,1,,ランキング,description: helps,2020-04-30 02:02:57,2020-04-30 02:02:57
9,1,,バトルログ,description: helps,2020-04-30 02:02:57,2020-04-30 02:02:57
10,1,,NICE,description: helps,2020-04-30 02:02:57,2020-04-30 02:02:57
11,2,,基本ルール,description: helps,2020-04-30 02:02:57,2020-04-30 02:02:57
12,2,,サポートバトル,description: helps,2020-04-30 02:02:57,2020-04-30 02:02:57
13,3,,ミッション,description: helps,2020-04-30 02:02:57,2020-04-30 02:02:57
14,3,,秘宝「結束の印」について,description: helps,2020-04-30 02:02:57,2020-04-30 02:02:57
15,3,,ランキング報酬,description: helps,2020-04-30 02:02:57,2020-04-30 02:02:57
