id,escalation_type,level,enemy_skill_id,created_at,updated_at
1,7,1,1000001,2017-11-08 10:30:56,2017-11-08 10:30:56
2,7,3,1000002,2017-11-08 10:30:56,2017-11-08 10:30:56
3,7,5,1000003,2017-11-08 10:30:56,2017-11-08 10:30:56
4,7,10,1000004,2017-11-08 10:30:56,2017-11-08 10:30:56
5,7,15,1000005,2017-11-08 10:30:56,2017-11-08 10:30:56
6,7,20,1000006,2017-11-08 10:30:56,2017-11-08 10:30:56
7,7,25,1000007,2017-11-08 10:30:56,2017-11-08 10:30:56
8,7,30,1000008,2017-11-08 10:30:56,2017-11-08 10:30:56
9,7,4,1000009,2017-11-08 10:30:56,2017-11-08 10:30:56
10,7,8,1000010,2017-11-08 10:30:56,2017-11-08 10:30:56
11,7,13,1000011,2017-11-08 10:30:56,2017-11-08 10:30:56
12,7,20,1000012,2017-11-08 10:30:56,2017-11-08 10:30:56
13,7,1,1000013,2017-11-08 10:30:56,2017-11-08 10:30:56
14,7,15,1000014,2017-11-08 10:30:56,2017-11-08 10:30:56
15,7,25,1000015,2017-11-08 10:30:57,2017-11-08 10:30:57
16,7,1,1000016,2017-11-08 10:30:57,2017-11-08 10:30:57
17,7,10,1000017,2017-11-08 10:30:57,2017-11-08 10:30:57
18,7,15,1000018,2017-11-08 10:30:57,2017-11-08 10:30:57
19,7,20,1000019,2017-11-08 10:30:57,2017-11-08 10:30:57
20,7,30,1000020,2017-11-08 10:30:57,2017-11-08 10:30:57
21,7,3,1000021,2017-11-08 10:30:57,2017-11-08 10:30:57
22,7,15,1000022,2017-11-08 10:30:57,2017-11-08 10:30:57
23,7,5,1000023,2017-11-08 10:30:57,2017-11-08 10:30:57
24,7,20,1000024,2017-11-08 10:30:57,2017-11-08 10:30:57
25,14,1,1000002,2017-11-28 04:30:58,2017-12-06 05:05:58
26,14,3,1000003,2017-11-28 04:30:58,2017-12-06 05:05:58
27,14,5,1000004,2017-11-28 04:30:58,2017-12-06 05:05:58
28,14,10,1000005,2017-11-28 04:30:58,2017-12-06 05:05:58
29,14,15,1000006,2017-11-28 04:30:58,2017-12-06 05:05:58
