id,name,description,exec_timing_type,turn,is_once,probability,causality_conditions,icon_type,target_type,target_value1,target_value2,target_value3,sub_target_type_set_id,efficacy_type,eff_value1,eff_value2,eff_value3,efficacy_values,calc_option
1,暴走,ATKとDEFが急上昇する,0,0,0,0,,1,0,0,0,0,0,1,290.0,900.0,100.0,,0
2,再生,HPが回復する,0,0,0,0,,2,0,0,0,0,0,2,184.0,4.0,100.0,,0
3,貫通,敵に与えるダメージが増加する,0,0,0,0,,0,0,0,0,0,0,3,200.0,,,,0
4,お菓子になっちゃえ！,気玉をお菓子に変化させる,1,0,0,80,,0,1,0,0,0,0,4,63.0,448.0,,,0
5,回復,HPを回復する,0,0,0,0,,2,0,0,0,0,0,2,100.0,,,,0
6,BOSSキャラ,敵に与えるダメージが増加する,0,0,0,0,,0,0,0,0,0,0,3,220.0,,,,0
7,超サイヤ人,敵に与えるダメージが増加する,0,0,0,0,,0,0,0,0,0,0,3,140.0,,,,0
8,空間歪曲,全ての気の玉をランダムに変化させる,1,0,0,80,,0,1,0,0,0,0,6,,,,,0
9,威圧,キャラクターの入れ替えをロックする,1,0,0,80,,0,11,55,30,15,0,5,,,,,0
10,威圧,キャラクターの入れ替えをロックする,1,0,0,90,,0,11,30,45,25,0,5,,,,,0
11,究極への覚醒,ダメージを大幅に軽減する,0,0,0,0,,1,0,0,0,0,0,7,75.0,,,,0
12,真なる力,ATKが急上昇する,0,0,0,0,,1,0,0,0,0,0,1,220.0,100.0,,,0
13,気の解放,全ての気の玉をランダムに変化させる,1,0,0,35,,0,1,0,0,0,0,6,,,,,0
100,破壊神の威厳,ダメージを大幅に軽減する,0,0,0,0,,1,0,0,0,0,0,7,70.0,,,,0
110,破壊神の威厳,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,35.0,,,,0
120,貫通,与えるダメージが増加する,0,0,0,0,,0,0,0,0,0,0,3,200.0,,,,0
200,バリヤー,ダメージを大幅に軽減する,0,0,0,0,,1,0,0,0,0,0,7,70.0,,,,0
300,暴走,ATKとDEFが急上昇する,0,0,0,0,,1,0,0,0,0,0,1,300.0,40000.0,100.0,,0
