id,script_name,cut_in_card_id,special_name_no,special_motion,lite_flicker_rate,energy_color,special_category_id,created_at,updated_at
1,sp0001,0,0,0,70,,1.0,2024-07-30 02:08:18,2024-07-30 02:08:18
2,sp0015,0,0,0,70,,1.0,2024-07-30 02:08:18,2024-07-30 02:08:18
3,sp0001,0,0,0,70,,1.0,2024-07-30 02:08:18,2024-07-30 02:08:18
4,sp0002,0,0,0,70,,1.0,2024-07-30 02:08:18,2024-07-30 02:08:18
5,sp0023,0,0,0,70,,1.0,2024-07-30 02:08:18,2024-07-30 02:08:18
6,sp0023,0,0,0,70,,1.0,2024-07-30 02:08:18,2024-07-30 02:08:18
7,sp0001,0,0,0,70,,1.0,2024-07-30 02:08:18,2024-07-30 02:08:18
8,sp0001,0,0,0,70,,1.0,2024-07-30 02:08:18,2024-07-30 02:08:18
9,sp0003,0,0,0,70,,1.0,2024-07-30 02:08:18,2024-07-30 02:08:18
10,sp1009,0,0,0,70,,3.0,2024-07-30 02:08:18,2024-07-30 02:08:18
11,sp0035,0,0,0,70,,1.0,2024-07-30 02:08:18,2024-07-30 02:08:18
12,sp0024,0,0,0,70,,1.0,2024-07-30 02:08:18,2024-07-30 02:08:18
13,sp0036,0,0,0,70,,1.0,2024-07-30 02:08:18,2024-07-30 02:08:18
14,sp0022,0,0,0,70,,1.0,2024-07-30 02:08:18,2024-07-30 02:08:18
15,sp1001,0,0,0,70,,2.0,2024-07-30 02:08:18,2024-07-30 02:08:18
16,sp0025,0,0,0,70,,1.0,2024-07-30 02:08:18,2024-07-30 02:08:18
17,sp0037,0,0,0,70,,,2024-07-30 02:08:18,2024-07-30 02:08:18
18,sp0004,0,0,0,70,,1.0,2024-07-30 02:08:18,2024-07-30 02:08:18
19,sp0029,0,0,0,70,,1.0,2024-07-30 02:08:18,2024-07-30 02:08:18
20,sp0026,0,0,0,70,,1.0,2024-07-30 02:08:18,2024-07-30 02:08:18
21,sp0031,0,0,0,70,,1.0,2024-07-30 02:08:18,2024-07-30 02:08:18
22,sp0033,0,0,0,70,,1.0,2024-07-30 02:08:18,2024-07-30 02:08:18
23,sp0034,0,0,0,70,,1.0,2024-07-30 02:08:18,2024-07-30 02:08:18
24,sp0038,0,0,0,70,,2.0,2024-07-30 02:08:18,2024-07-30 02:08:18
25,sp0001,0,0,0,70,,1.0,2024-07-30 02:08:18,2024-07-30 02:08:18
26,sp0022,0,0,0,70,,1.0,2024-07-30 02:08:18,2024-07-30 02:08:18
27,sp0003,0,0,0,70,,1.0,2024-07-30 02:08:18,2024-07-30 02:08:18
28,sp1009,0,0,0,70,,3.0,2024-07-30 02:08:18,2024-07-30 02:08:18
29,sp0035,0,0,0,70,,1.0,2024-07-30 02:08:18,2024-07-30 02:08:18
30,sp0024,0,0,0,70,,1.0,2024-07-30 02:08:18,2024-07-30 02:08:18
31,sp0036,0,0,0,70,,1.0,2024-07-30 02:08:18,2024-07-30 02:08:18
32,sp0022,0,0,0,70,,1.0,2024-07-30 02:08:18,2024-07-30 02:08:18
33,sp1001,0,0,0,70,,2.0,2024-07-30 02:08:18,2024-07-30 02:08:18
34,sp0025,0,0,0,70,,1.0,2024-07-30 02:08:18,2024-07-30 02:08:18
35,sp0037,0,0,0,70,,,2024-07-30 02:08:18,2024-07-30 02:08:18
36,sp0004,0,0,0,70,,1.0,2024-07-30 02:08:18,2024-07-30 02:08:18
37,sp0029,0,0,0,70,,1.0,2024-07-30 02:08:18,2024-07-30 02:08:18
38,sp0026,0,0,0,70,,1.0,2024-07-30 02:08:18,2024-07-30 02:08:18
39,sp0031,0,0,0,70,,1.0,2024-07-30 02:08:18,2024-07-30 02:08:18
40,sp0033,0,0,0,70,,1.0,2024-07-30 02:08:18,2024-07-30 02:08:18
41,sp0034,0,0,0,70,,1.0,2024-07-30 02:08:18,2024-07-30 02:08:18
42,sp0038,0,0,0,70,,2.0,2024-07-30 02:08:18,2024-07-30 02:08:18
43,sp0001,0,0,0,70,,1.0,2024-07-30 02:08:18,2024-07-30 02:08:18
44,sp0022,0,0,0,70,,1.0,2024-07-30 02:08:18,2024-07-30 02:08:18
45,sp0005,0,0,0,70,,,2024-07-30 02:08:18,2024-07-30 02:08:18
46,sp0007,0,0,0,70,,,2024-07-30 02:08:18,2024-07-30 02:08:18
47,sp0010,0,0,0,70,,1.0,2024-07-30 02:08:18,2024-07-30 02:08:18
48,sp0032,0,0,0,70,,,2024-07-30 02:08:18,2024-07-30 02:08:18
49,sp1011,0,0,0,70,,2.0,2024-07-30 02:08:18,2024-07-30 02:08:18
50,sp1002,0,0,0,70,,2.0,2024-07-30 02:08:18,2024-07-30 02:08:18
51,sp0041,0,0,0,70,,1.0,2024-07-30 02:08:18,2024-07-30 02:08:18
52,sp0009,0,0,0,70,,1.0,2024-07-30 02:08:18,2024-07-30 02:08:18
53,sp0042,0,0,0,70,,3.0,2024-07-30 02:08:18,2024-07-30 02:08:18
54,sp0030,0,0,0,70,,1.0,2024-07-30 02:08:18,2024-07-30 02:08:18
55,sp0016,0,0,0,70,,1.0,2024-07-30 02:08:18,2024-07-30 02:08:18
56,sp1010,0,0,0,70,,3.0,2024-07-30 02:08:18,2024-07-30 02:08:18
57,sp0043,0,0,0,70,,1.0,2024-07-30 02:08:18,2024-07-30 02:08:18
58,sp1003,0,0,0,70,,2.0,2024-07-30 02:08:18,2024-07-30 02:08:18
59,sp1004,0,0,0,70,,2.0,2024-07-30 02:08:18,2024-07-30 02:08:18
60,sp0001,0,0,0,70,,1.0,2024-07-30 02:08:18,2024-07-30 02:08:18
61,sp0018,0,0,0,70,,1.0,2024-07-30 02:08:18,2024-07-30 02:08:18
62,sp1012,0,0,0,70,,3.0,2024-07-30 02:08:18,2024-07-30 02:08:18
63,sp0046,0,0,0,70,,,2024-07-30 02:08:18,2024-07-30 02:08:18
64,sp1003,0,0,0,70,,2.0,2024-07-30 02:08:18,2024-07-30 02:08:18
65,sp1004,0,0,0,70,,2.0,2024-07-30 02:08:18,2024-07-30 02:08:18
66,sp0001,0,0,0,70,,1.0,2024-07-30 02:08:18,2024-07-30 02:08:18
67,sp0018,0,0,0,70,,1.0,2024-07-30 02:08:18,2024-07-30 02:08:18
68,sp1012,0,0,0,70,,3.0,2024-07-30 02:08:18,2024-07-30 02:08:18
69,sp0046,0,0,0,70,,,2024-07-30 02:08:18,2024-07-30 02:08:18
70,sp0039,0,0,0,70,,1.0,2024-07-30 02:08:18,2024-07-30 02:08:18
71,sp1083,0,0,0,70,,2.0,2024-07-30 02:08:18,2024-07-30 02:08:18
72,sp0040,0,0,0,70,,1.0,2024-07-30 02:08:18,2024-07-30 02:08:18
73,sp0017,0,0,0,70,,1.0,2024-07-30 02:08:18,2024-07-30 02:08:18
74,sp1005,0,0,0,70,,2.0,2024-07-30 02:08:18,2024-07-30 02:08:18
75,sp1006,0,0,0,70,,2.0,2024-07-30 02:08:18,2024-07-30 02:08:18
76,sp1007,0,0,0,70,,2.0,2024-07-30 02:08:18,2024-07-30 02:08:18
77,sp0047,0,0,0,70,,3.0,2024-07-30 02:08:18,2024-07-30 02:08:18
78,sp0044,0,0,0,70,,,2024-07-30 02:08:18,2024-07-30 02:08:18
79,sp0019,0,0,0,70,,1.0,2024-07-30 02:08:18,2024-07-30 02:08:18
80,sp0048,0,0,0,70,,3.0,2024-07-30 02:08:18,2024-07-30 02:08:18
81,sp0020,0,0,0,70,,1.0,2024-07-30 02:08:18,2024-07-30 02:08:18
82,sp1003,0,0,0,70,,2.0,2024-07-30 02:08:18,2024-07-30 02:08:18
83,sp0001,0,0,0,70,,1.0,2024-07-30 02:08:18,2024-07-30 02:08:18
84,sp0015,0,0,0,70,,1.0,2024-07-30 02:08:18,2024-07-30 02:08:18
85,sp0001,0,0,0,70,,1.0,2024-07-30 02:08:18,2024-07-30 02:08:18
86,sp0002,0,0,0,70,,1.0,2024-07-30 02:08:18,2024-07-30 02:08:18
87,sp0003,0,0,0,70,,1.0,2024-07-30 02:08:18,2024-07-30 02:08:18
88,sp1009,0,0,0,70,,3.0,2024-07-30 02:08:18,2024-07-30 02:08:18
89,sp0035,0,0,0,70,,1.0,2024-07-30 02:08:18,2024-07-30 02:08:18
90,sp0024,0,0,0,70,,1.0,2024-07-30 02:08:18,2024-07-30 02:08:18
91,sp0036,0,0,0,70,,1.0,2024-07-30 02:08:18,2024-07-30 02:08:18
92,sp0022,0,0,0,70,,1.0,2024-07-30 02:08:18,2024-07-30 02:08:18
93,sp1001,0,0,0,70,,2.0,2024-07-30 02:08:18,2024-07-30 02:08:18
94,sp0004,0,0,0,70,,1.0,2024-07-30 02:08:18,2024-07-30 02:08:18
95,sp0029,0,0,0,70,,1.0,2024-07-30 02:08:18,2024-07-30 02:08:18
96,sp0013,0,0,0,70,,1.0,2024-07-30 02:08:18,2024-07-30 02:08:18
97,sp0026,0,0,0,70,,1.0,2024-07-30 02:08:18,2024-07-30 02:08:18
98,sp0031,0,0,0,70,,1.0,2024-07-30 02:08:18,2024-07-30 02:08:18
99,sp0033,0,0,0,70,,1.0,2024-07-30 02:08:18,2024-07-30 02:08:18
100,sp0034,0,0,0,70,,1.0,2024-07-30 02:08:18,2024-07-30 02:08:18
101,sp0038,0,0,0,70,,2.0,2024-07-30 02:08:18,2024-07-30 02:08:18
102,sp0001,0,0,0,70,,1.0,2024-07-30 02:08:18,2024-07-30 02:08:18
103,sp0022,0,0,0,70,,1.0,2024-07-30 02:08:18,2024-07-30 02:08:18
