id,name,description,zeni,rarity,selling_exchange_point,event_jumpable
1,グレゴリー,安易に入手可能な、ありふれた覚醒素材,500,0,1,0
2,バブルス,安易に入手可能な、ありふれた覚醒素材,500,0,1,0
3,ドクター・ゲロ,安易に入手可能な、ありふれた覚醒素材,500,0,1,0
4,ミスター・ポポ,主に技属性の覚醒に必要な素材で、比較的安易に入手可能,5000,1,10,0
5,鶴仙人,主に知属性の覚醒に必要な素材で、比較的安易に入手可能,5000,1,10,0
6,亀仙人,主に力属性の覚醒に必要な素材で、比較的安易に入手可能,5000,1,10,0
7,武泰斗,主に体属性の覚醒に必要な素材で、比較的安易に入手可能,5000,1,10,0
8,孫悟飯(じいちゃん),主に速属性の覚醒に必要な素材で、比較的安易に入手可能,5000,1,10,0
9,神様,主に知属性の覚醒に必要な素材で、やや入手が困難,50000,2,40,0
10,最長老,主に体属性の覚醒に必要な素材で、やや入手が困難,50000,2,40,0
11,バビディ,主に技属性の覚醒に必要な素材で、やや入手が困難,50000,2,40,0
12,ビビディ,主に力属性の覚醒に必要な素材で、やや入手が困難,50000,2,40,0
13,カリン,主に速属性の覚醒に必要な素材で、やや入手が困難,50000,2,40,0
14,キビト,主に速属性の覚醒に必要な素材で、入手が困難,250000,3,100,0
15,西の界王,主に知属性の覚醒に必要な素材で、入手が困難,250000,3,100,0
16,南の界王,主に力属性の覚醒に必要な素材で、入手が困難,250000,3,100,0
17,東の界王,主に体属性の覚醒に必要な素材で、入手が困難,250000,3,100,0
18,北の界王,主に技属性の覚醒に必要な素材で、入手が困難,250000,3,100,0
19,東の界王神,極稀に手に入る、究極の覚醒素材,500000,3,2000,0
20,老界王神,極稀に手に入る、究極の覚醒素材,500000,3,2000,0
101,孫悟空,特定のキャラクターの覚醒に必要,50000,3,12,1
102,ドクター・ゲロ,特定のキャラクターの覚醒に必要,50000,3,12,1
103,人造人間19号,特定のキャラクターの覚醒に必要,50000,3,12,1
104,人造人間14号,特定のキャラクターの覚醒に必要,50000,3,12,1
105,人造人間15号,特定のキャラクターの覚醒に必要,50000,3,12,1
321,トランクス(青年期),"特定のキャラクターの覚醒に必要
ババの交換所で入手可能
秘宝「ふしぎな宝石(緑)」と交換することができる",50000,3,12,0
322,超サイヤ人トランクス(青年期)&超サイヤ人ブロリー,"特定のキャラクターの覚醒に必要
ババの交換所で入手可能
秘宝「ふしぎな宝石(緑)」と交換することができる",50000,3,12,0
1001,ウミガメ,特定のキャラクターの覚醒に必要,6000,3,12,1
1002,ブルマ,特定のキャラクターの覚醒に必要,6000,3,12,1
1391,ヤムチャ ,特定のキャラクターの覚醒に必要,320,3,12,1
3030,バーダック,特定のキャラクターの覚醒に必要,20000,3,12,1
3031,セリパ,特定のキャラクターの覚醒に必要,6000,3,12,1
3032,トテッポ,特定のキャラクターの覚醒に必要,6000,3,12,1
3033,パンブーキン,特定のキャラクターの覚醒に必要,6000,3,12,1
3034,トーマ,特定のキャラクターの覚醒に必要,6000,3,12,1
3035,フリーザ,特定のキャラクターの覚醒に必要,12000,3,12,1
3041,ウイス,"特定のキャラクターの覚醒に必要
ババの交換所で入手可能
交換ptと交換することができる",1000,3,12,1
3042,ブルマ,"特定のキャラクターの覚醒に必要
ババの交換所で入手可能
交換ptと交換することができる",500,3,12,1
3043,ジャコ,"特定のキャラクターの覚醒に必要
ババの交換所で入手可能
交換ptと交換することができる",15000,3,12,1
3044,ビルス,"特定のキャラクターの覚醒に必要
ババの交換所で入手可能
交換ptと交換することができる",8000,3,12,1
3045,ベジータ,"特定のキャラクターの覚醒に必要
ババの交換所で入手可能
交換ptと交換することができる",8000,3,12,1
3046,人造人間18号,"特定のキャラクターの覚醒に必要
ババの交換所で入手可能
交換ptと交換することができる",2000,3,12,1
3047,マーロン,"特定のキャラクターの覚醒に必要
ババの交換所で入手可能
交換ptと交換することができる",100,3,12,1
3048,フリーザ(第一形態),特定のキャラクターの覚醒に必要,3000,3,12,1
3049,フリーザ(第二形態),特定のキャラクターの覚醒に必要,3000,3,12,1
3050,フリーザ(第三形態),特定のキャラクターの覚醒に必要,3000,3,12,1
3051,フリーザ(最終形態),特定のキャラクターの覚醒に必要,50000,3,12,1
3052,ゴールデンフリーザ,特定のキャラクターの覚醒に必要,50000,3,12,1
3061,ザンギャ,特定のキャラクターの覚醒に必要,6000,3,12,1
3062,ゴクア,特定のキャラクターの覚醒に必要,6000,3,12,1
3063,ビドー,特定のキャラクターの覚醒に必要,6000,3,12,1
3064,ブージン,特定のキャラクターの覚醒に必要,6000,3,12,1
3065,ボージャック,特定のキャラクターの覚醒に必要,6000,3,12,1
3066,孫悟飯(少年期),特定のキャラクターの覚醒に必要,6000,3,12,1
3071,サウザー,特定のキャラクターの覚醒に必要,6000,3,12,1
3072,ドーレ,特定のキャラクターの覚醒に必要,6000,3,12,1
3073,ネイズ,特定のキャラクターの覚醒に必要,6000,3,12,1
3074,クウラ,特定のキャラクターの覚醒に必要,6000,3,12,1
3075,孫悟空,特定のキャラクターの覚醒に必要,6000,3,12,1
3081,ビーデル,特定のキャラクターの覚醒に必要,10000,3,12,1
3082,孫悟飯(青年期),特定のキャラクターの覚醒に必要,10000,3,12,1
3083,ミスター・サタン,特定のキャラクターの覚醒に必要,10000,3,12,1
3084,チチ,特定のキャラクターの覚醒に必要,10000,3,12,1
3085,ブルマ,特定のキャラクターの覚醒に必要,5000,3,12,1
3086,スポポビッチ,特定のキャラクターの覚醒に必要,10000,3,12,1
3087,ヤムー,特定のキャラクターの覚醒に必要,10000,3,12,1
3088,魔人ブウ(純粋悪),特定のキャラクターの覚醒に必要,20000,3,12,1
3089,魔人ブウ(悪),特定のキャラクターの覚醒に必要,20000,3,12,1
3141,ビルス,特定のキャラクターの覚醒に必要,6000,3,12,1
3142,ウイス,特定のキャラクターの覚醒に必要,6000,3,12,1
3143,孫悟天(幼年期),特定のキャラクターの覚醒に必要,6000,3,12,1
3144,トランクス(幼年期),特定のキャラクターの覚醒に必要,6000,3,12,1
3145,ビーデル,特定のキャラクターの覚醒に必要,6000,3,12,1
3146,アルティメット孫悟飯,特定のキャラクターの覚醒に必要,6000,3,12,1
3147,ベジータ,特定のキャラクターの覚醒に必要,6000,3,12,1
3151,神精樹の実,特定のキャラクターの覚醒に必要,5000,3,12,1
3181,メタルクウラ・コア,特定のキャラクターの覚醒に必要,6000,3,12,1
4031,フリーザポッド,特定のキャラクターの覚醒に必要,6000,3,12,1
5011,カカロット,特定のキャラクターの覚醒に必要,20000,3,12,1
5012,超サイヤ人ブロリー,特定のキャラクターの覚醒に必要,20000,3,12,1
5021,孫悟空,特定のキャラクターの覚醒に必要,20000,3,12,1
5022,セル(完全体),特定のキャラクターの覚醒に必要,20000,3,12,1
5031,孫悟空,特定のキャラクターの覚醒に必要,20000,3,12,1
5032,魔人ブウ(純粋),特定のキャラクターの覚醒に必要,20000,3,12,1
5041,四星球,特定のキャラクターの覚醒に必要,20000,3,12,1
5042,超サイヤ人孫悟空,特定のキャラクターの覚醒に必要,20000,3,12,1
5043,超サイヤ人3孫悟空,特定のキャラクターの覚醒に必要,20000,3,12,1
5051,超ゴジータ,特定のキャラクターの覚醒に必要,20000,3,12,1
5061,スーパージャネンバ,特定のキャラクターの覚醒に必要,20000,3,12,1
5062,ジャネンバ,特定のキャラクターの覚醒に必要,20000,3,12,1
5071,孫悟空,特定のキャラクターの覚醒に必要,20000,3,12,1
5072,フリーザ(フルパワー),特定のキャラクターの覚醒に必要,20000,3,12,1
5081,老界王神,特定のキャラクターの覚醒に必要,20000,3,12,1
5082,孫悟飯(青年期),特定のキャラクターの覚醒に必要,20000,3,12,1
5091,天津飯,特定のキャラクターの覚醒に必要,320,3,12,1
5092,栽培マン,特定のキャラクターの覚醒に必要,320,3,12,1
5101,超サイヤ人3ベジータ,特定のキャラクターの覚醒に必要,20000,3,12,1
5111,ビルス,特定のキャラクターの覚醒に必要,20000,3,12,1
5112,ビルス,特定のキャラクターの覚醒に必要,20000,3,12,1
5121,超ベジット,特定のキャラクターの覚醒に必要,20000,3,12,1
5122,超ベジット,特定のキャラクターの覚醒に必要,20000,3,12,1
5131,超サイヤ人3ゴテンクス,特定のキャラクターの覚醒に必要,20000,3,12,1
5132,超サイヤ人3ゴテンクス,特定のキャラクターの覚醒に必要,20000,3,12,1
5133,ゴテンクス,特定のキャラクターの覚醒に必要,20000,3,12,1
5141,超サイヤ人ゴッドSS孫悟空,特定のキャラクターの覚醒に必要,20000,3,12,1
5142,超サイヤ人ゴッドSS孫悟空(界王拳),特定のキャラクターの覚醒に必要,20000,3,12,1
5151,魔人ブウ(アルティメット悟飯吸収),特定のキャラクターの覚醒に必要,20000,3,12,1
5152,魔人ブウ(悪),特定のキャラクターの覚醒に必要,20000,3,12,1
5153,魔人ブウ(善),特定のキャラクターの覚醒に必要,20000,3,12,1
5154,魔人ブウ(ゴテンクス吸収),特定のキャラクターの覚醒に必要,20000,3,12,1
5161,ゴールデンフリーザ,特定のキャラクターの覚醒に必要,20000,3,12,1
5171,超一星龍,特定のキャラクターの覚醒に必要,20000,3,12,1
5172,超一星龍,特定のキャラクターの覚醒に必要,20000,3,12,1
5181,ゴクウブラック,特定のキャラクターの覚醒に必要,20000,3,12,1
5182,ゴクウブラック,特定のキャラクターの覚醒に必要,20000,3,12,1
5191,超サイヤ人ゴッドSSベジット,特定のキャラクターの覚醒に必要,20000,3,12,1
5192,超サイヤ人ゴッドSSベジット,特定のキャラクターの覚醒に必要,20000,3,12,1
5193,ベジット,特定のキャラクターの覚醒に必要,20000,3,12,1
5194,超サイヤ人ゴッドSS孫悟空&超サイヤ人ゴッドSSベジータ,特定のキャラクターの覚醒に必要,20000,3,12,1
5201,ゴクウブラック(超サイヤ人ロゼ),特定のキャラクターの覚醒に必要,20000,3,12,1
5202,ゴクウブラック(超サイヤ人ロゼ),特定のキャラクターの覚醒に必要,20000,3,12,1
5203,ゴクウブラック(超サイヤ人ロゼ),特定のキャラクターの覚醒に必要,20000,3,12,1
5211,則巻アラレ,特定のキャラクターの覚醒に必要,20000,3,12,1
5221,超サイヤ人トランクス(未来),特定のキャラクターの覚醒に必要,20000,3,12,1
5222,トランクス(青年期)(未来),特定のキャラクターの覚醒に必要,20000,3,12,1
5231,合体ザマス,特定のキャラクターの覚醒に必要,20000,3,12,1
