id,escalation_type,level,card_id,created_at,updated_at
1,5,1,1004220,2017-11-08 10:30:56,2017-11-08 10:30:56
2,5,15,1003210,2017-11-08 10:30:56,2017-11-08 10:30:56
3,12,1,2000641,2017-11-28 04:30:58,2017-12-20 06:41:42
4,12,15,9000041,2017-11-28 04:30:58,2017-12-20 06:41:42
5,19,1,9401361,2018-01-12 01:44:31,2018-01-12 01:44:31
6,19,6,9400511,2018-01-12 01:44:31,2018-01-12 01:44:31
7,19,11,1000361,2018-01-12 01:44:31,2018-01-12 01:44:31
8,19,16,9401531,2018-01-12 01:44:31,2018-01-12 01:44:31
9,19,21,9410221,2018-01-12 01:44:31,2018-01-12 01:44:31
10,26,1,1003321,2018-02-13 09:58:42,2018-02-13 09:58:42
11,26,15,1004251,2018-02-13 09:58:42,2018-02-13 09:58:42
18,40,1,1004361,2018-04-09 09:04:52,2018-04-09 09:04:52
19,40,6,1008941,2018-04-09 09:04:52,2018-04-09 09:04:52
20,40,11,1004351,2018-04-09 09:04:52,2018-04-09 09:04:52
21,40,16,1008931,2018-04-09 09:04:52,2018-04-09 09:04:52
22,40,21,1004341,2018-04-09 09:04:52,2018-04-09 09:04:52
23,40,26,1008921,2018-04-09 09:04:52,2018-04-09 09:04:52
24,47,1,1003301,2018-04-17 06:17:52,2018-04-17 06:17:52
25,47,15,1004651,2018-04-17 06:17:52,2018-04-17 06:17:52
26,54,1,1006681,2018-05-21 05:40:26,2018-05-21 05:40:26
27,54,15,1006701,2018-05-21 05:40:26,2018-05-21 05:40:26
28,61,1,9014531,2018-07-03 01:57:56,2018-08-09 03:02:27
29,61,21,9014511,2018-07-03 01:57:56,2018-08-09 03:02:27
30,68,1,1014671,2018-07-22 00:44:14,2018-07-22 00:44:14
31,68,15,1014681,2018-07-22 00:44:14,2018-07-22 00:44:14
37,82,1,1012711,2018-08-17 01:59:48,2018-08-17 01:59:48
38,82,11,1013481,2018-08-17 01:59:48,2018-08-17 01:59:48
39,82,21,1013941,2018-08-17 01:59:48,2018-08-17 01:59:48
40,82,31,9014701,2018-08-17 01:59:48,2018-08-17 01:59:48
41,82,41,9013961,2018-08-17 01:59:48,2018-08-17 01:59:48
42,89,1,1003771,2018-09-03 01:44:26,2018-09-03 01:44:26
43,89,15,1003311,2018-09-03 01:44:26,2018-09-03 01:44:26
44,96,1,1005631,2018-09-18 02:29:54,2018-09-18 02:29:54
45,96,15,1005301,2018-09-18 02:29:54,2018-09-18 02:29:54
46,103,1,1003071,2018-10-23 04:02:41,2018-10-23 04:02:41
47,103,15,1005731,2018-10-23 04:02:41,2018-10-23 04:02:41
48,110,1,1002801,2018-10-30 07:22:30,2018-10-30 07:22:30
49,110,15,1005051,2018-10-30 07:22:30,2018-10-30 07:22:30
50,117,1,9016061,2018-12-14 01:56:43,2018-12-14 01:56:43
51,117,15,9016131,2018-12-14 01:56:43,2018-12-15 02:43:34
52,124,1,1005271,2018-12-20 07:49:29,2018-12-20 07:49:29
53,124,15,1005281,2018-12-20 07:49:29,2018-12-20 07:49:29
54,131,1,1010351,2019-01-11 05:17:24,2019-01-11 05:17:24
55,131,15,1010361,2019-01-11 05:17:24,2019-01-11 05:17:24
56,138,1,1011331,2019-02-05 09:22:37,2019-02-05 09:22:37
57,138,15,1011341,2019-02-05 09:22:37,2019-02-05 09:22:37
58,145,1,1006411,2019-02-05 09:22:39,2019-02-05 09:22:39
59,145,11,1008711,2019-02-05 09:22:39,2019-02-05 09:22:39
60,145,21,1011311,2019-02-05 09:22:39,2019-02-05 09:22:39
61,145,31,1011321,2019-02-05 09:22:39,2019-02-05 09:22:39
62,145,41,9016471,2019-02-05 09:22:39,2019-02-13 06:49:01
63,152,1,1009761,2019-02-14 06:16:47,2019-02-14 06:16:47
64,152,6,1009541,2019-02-14 06:16:47,2019-02-14 06:16:47
65,152,11,9009701,2019-02-14 06:16:47,2019-02-28 02:31:33
66,152,16,9009711,2019-02-14 06:16:47,2019-02-28 02:31:33
67,152,21,9016701,2019-02-14 06:16:47,2019-02-28 05:37:46
68,159,1,1009711,2019-02-18 01:46:45,2019-02-18 01:46:45
69,159,21,9009711,2019-02-18 01:46:45,2019-02-28 02:31:33
70,166,1,1007931,2019-02-21 05:51:49,2019-02-21 05:51:49
71,166,15,1006211,2019-02-21 05:51:49,2019-02-21 05:51:49
