id,budokai_id,prev_budokai_id,prev_budokai_box_ranking_id,player_max_count,box_max_count,start_at,end_at,collecting_end_at,created_at,updated_at
1,15,14.0,,300,,2016-10-27 08:00:00,2016-10-31 12:59:59,2016-11-01 08:59:59,2024-06-17 02:02:13,2024-06-17 02:02:13
2,16,15.0,,300,,2016-12-22 08:00:00,2016-12-26 12:59:59,2016-12-27 08:59:59,2024-06-17 02:02:13,2024-06-17 02:02:13
171,17,,,0,4000.0,2017-02-10 08:00:00,2017-02-12 12:59:59,2017-02-13 08:59:59,2024-06-17 02:02:13,2024-06-17 02:02:13
181,18,,,0,4000.0,2017-04-21 08:00:00,2017-04-23 12:59:59,2017-04-24 08:59:59,2024-06-17 02:02:13,2024-06-17 02:02:13
191,19,,,0,3200.0,2017-05-26 08:00:00,2017-05-28 12:59:59,2017-05-30 08:59:59,2024-06-17 02:02:13,2024-06-17 02:02:13
201,20,,,0,2900.0,2017-06-23 08:00:00,2017-06-25 12:59:59,2017-06-27 08:59:59,2024-06-17 02:02:13,2024-06-17 02:02:13
211,21,,,0,3000.0,2017-09-22 08:00:00,2017-09-24 12:59:59,2017-09-26 08:59:59,2024-06-17 02:02:13,2024-06-17 02:02:13
221,22,,,0,2426.0,2010-12-08 08:00:00,2010-12-10 12:59:59,2010-12-12 08:59:59,2024-06-17 02:02:13,2024-06-17 02:02:13
231,23,,,0,2800.0,2018-04-06 08:00:00,2018-04-08 12:59:59,2018-04-10 08:59:59,2024-06-17 02:02:13,2024-06-17 02:02:13
241,24,,,0,2300.0,2018-06-22 08:00:00,2018-06-24 12:59:59,2018-06-26 08:59:59,2024-06-17 02:02:13,2024-06-17 02:02:13
251,25,,,0,2500.0,2018-08-10 08:00:00,2018-08-12 12:59:59,2018-08-14 08:59:59,2024-06-17 02:02:13,2024-06-17 02:02:13
261,26,,,0,2500.0,2018-10-19 08:00:00,2018-10-21 12:59:59,2018-10-23 08:59:59,2024-06-17 02:02:13,2024-06-17 02:02:13
271,27,,,0,2400.0,2018-12-07 08:00:00,2018-12-09 12:59:59,2018-12-11 08:59:59,2024-06-17 02:02:13,2024-06-17 02:02:13
281,28,,,0,3757.0,2019-01-25 08:00:00,2019-01-27 12:59:59,2019-01-29 08:59:59,2024-06-17 02:02:13,2024-06-17 02:02:13
291,29,,,0,3300.0,2019-03-15 08:00:00,2019-03-17 12:59:59,2019-03-19 08:59:59,2024-06-17 02:02:13,2024-06-17 02:02:13
