id,comment
10,速のBランク。
11,技のBランク。
12,知のBランク。
13,力のBランク。
14,体のBランク。
20,速のAランク。
21,技のAランク。
22,知のAランク。全てのベースとなるボード。
23,力のAランク。
24,体のAランク。
30,速のSランク。
31,技のSランク。
32,知のSランク。
33,力のSランク。
34,体のSランク。
120,速のAランク、特殊設定キャラクター用。
121,技のAランク、特殊設定キャラクター用。
122,知のAランク、特殊設定キャラクター用。
123,力のAランク、特殊設定キャラクター用。
124,体のAランク、特殊設定キャラクター用。
201,孫悟空Jr専用
202,ブルマ(少女期)専用
203,孫悟飯(幼年期)専用
204,バータ専用
205,グルド専用
206,ギニュー専用
207,ジース専用
208,リクーム専用
209,ピッコロ専用
210,トランクス(幼年期)&孫悟天(幼年期)&マーロン専用
211,ギル専用
212,ベジータJr.専用
213,孫悟空(DOKKAN武闘伝)専用
214,ベジータ(DOKKAN武闘伝)専用
215,フリーザ(第二形態)専用
216,ベジータ専用
217,孫悟空専用
218,ブロリー(幼年期)専用
219,ベジータ(幼年期)専用
220,トテッポ専用
221,トーマ専用
222,セリパ専用
223,バーダック専用
224,パンブーキン専用
225,ブルマ(少女期)専用
