id,enemy_round_skill_set_id,enemy_round_skill_id,created_at,updated_at
1,1,1,2024-06-03 02:00:06,2024-06-03 02:00:06
2,1,2,2024-06-03 02:00:06,2024-06-03 02:00:06
3,1,3,2024-06-03 02:00:06,2024-06-03 02:00:06
4,1,4,2024-06-03 02:00:06,2024-06-03 02:00:06
5,1,5,2024-06-03 02:00:06,2024-06-03 02:00:06
6,1,6,2024-06-03 02:00:06,2024-06-03 02:00:06
10,10,10,2024-06-03 02:00:06,2024-06-03 02:00:06
11,10,11,2024-06-03 02:00:06,2024-06-03 02:00:06
12,10,12,2024-06-03 02:00:06,2024-06-03 02:00:06
13,10,13,2024-06-03 02:00:06,2024-06-03 02:00:06
20,20,20,2024-06-03 02:00:06,2024-06-03 02:00:06
21,20,21,2024-06-03 02:00:06,2024-06-03 02:00:06
30,30,30,2024-06-03 02:00:06,2024-06-03 02:00:06
31,30,31,2024-06-03 02:00:06,2024-06-03 02:00:06
40,40,40,2024-06-03 02:00:06,2024-06-03 02:00:06
41,40,41,2024-06-03 02:00:06,2024-06-03 02:00:06
42,40,42,2024-06-03 02:00:06,2024-06-03 02:00:06
43,40,43,2024-06-03 02:00:06,2024-06-03 02:00:06
44,40,44,2024-06-03 02:00:06,2024-06-03 02:00:06
45,40,45,2024-06-03 02:00:06,2024-06-03 02:00:06
46,40,46,2024-06-03 02:00:06,2024-06-03 02:00:06
47,40,47,2024-06-03 02:00:06,2024-06-03 02:00:06
60,41,42,2024-06-03 02:00:06,2024-06-03 02:00:06
61,41,43,2024-06-03 02:00:06,2024-06-03 02:00:06
62,41,44,2024-06-03 02:00:06,2024-06-03 02:00:06
63,41,45,2024-06-03 02:00:06,2024-06-03 02:00:06
64,41,46,2024-06-03 02:00:06,2024-06-03 02:00:06
65,41,47,2024-06-03 02:00:06,2024-06-03 02:00:06
