id,sd_help_id,image_path,description
1,1,,"{size: 24}{outline: #FF0000, 2}{color: #FFFF00}▼シールとは{outline}{color}{size}
シールはシールデータを開封することで入手することが
できます。
初入手したシールはコレクションに登録されます。

所持しているシールはペッタンバトル内でのバトルに使用することができ、
{color : #FFFF00}一度バトルに使用されたシールは消滅します。{color} 
{color : #FFFF00}※使用されたシールがコレクションから消えることはありません。{color} 
{size: 24}{outline: #FF0000, 2}{color: #FFFF00}▼シールの表示内容{outline}{color}{size}"
2,1,images/help/sdb_help_001.png,"各シールの表には
「パワー」「二つ名」「キャラクター名」が表示されます
図鑑＞シール詳細からは各シールの表と裏を確認することができます。
シール詳細からは各シールの表と裏を確認することが
できます。

裏から確認できる情報は以下となります。
「属性」
「パワー」
「二つ名」
「キャラクター名」
「ドッカンバトル内での入手場所」
「シールナンバー」
これからも様々なシールが追加予定です。"
3,2,,"シールデータの入手方法は主に3つあります。
１.バトルをクリアすることでの入手
２.ペッタンバトル内への毎日のログインボーナス
３.特定ミッションのクリア"
4,2,images/help/sdb_help_002.png,"シールデータはペッタンバトル内に入った時に自動で
開封されます。
それ以外の場所では開封が行えませんのでご注意ください
シールデータからは、シールをランダムに1枚入手する
ことができます。"
5,3,,"{size: 24}{outline: #FF0000, 2}{color: #FFFF00}▼コレクションとは{outline}{color}{size}
コレクションとは獲得したシールを
記録するものになります。
入手したシールはコレクションに自動登録されます。
{color : #FFFF00}※自動登録されたシール情報はそのシールを消費しても
コレクションから削除されることはありません。{color} "
6,3,images/help/sdb_help_003.png,"コレクションは「弾」ごとに分かれています。
「弾」はこれからも追加され続けます。

シールの詳細はアイコンをタップすることで確認できます
コレクションからは登録されたシールアイコンをタップ
することで以下の情報を確認することができます。
「属性」
「レアリティ」
「パワー」
「二つ名」
「キャラクター名」
「ドッカンバトル内での入手場所」
「シールナンバー」

既に入手経験のあるものはシールが表示され、
入手経験のないものはシールナンバーが表示されます。"
7,3,images/help/sdb_help_004.png,"シールの収集率は達成度から確認することができます。
全てのシールを集めたコレクションはCOMPLETE！
が表示されます。"
8,4,,"{size: 24}{outline: #FF0000, 2}{color: #FFFF00}▼バトルについて{outline}{color}{size}
フィールド選択マップに配置されている敵シールに対して
味方のシールを任意の数配置することで、
バトルを行うことができます。

バトルでは相手を一度に倒しきる必要はありません。
バトルを終えた場合、
敵は前のバトル終了までの状態を引き継ぎます。

バトルを引き継ぐ方法としては、以下があります。
・行われているバトルをリタイアする
・バトルに敗北する
{color : #FFFF00}※フィールドからフィールド選択マップに
戻ってしまった場合、
バトルの状態は引き継がれませんのでご注意ください。{color} 

{size: 24}{outline: #FF0000, 2}{color: #FFFF00}▼バトル方法{outline}{color}{size}
1ステージに一度に配置することの出来るシールは
最大5枚となります。
バトルに使用したシールは勝敗に関わらず
バトル終了後、消滅します。
バトル中攻撃を終えたシールは、グレーアウトした状態で
表示されます。"
9,4,images/help/sdb_help_005_2.png,"戦闘時間が0になったら、バトル確認からリザルトを
確認することができます。
敗北した場合、敵は前のバトルの状態を引き継ぎます。
バトルの終了時間はステージ画面/バトル詳細確認画面
から確認可能です。

敵の強さは、以下4つの難易度に分けられます。
「SUPER」「Z-HARD」「HARD」「NORMAL」
これら難易度ごとに敵の強さが分かれているので、
挑戦の際に参考にしてください。
敵HPは編成されている敵シールキャラクターの合計が
上部バーに表示されます。

{size: 24}{outline: #FF0000, 2}{color: #FFFF00}▼オーバーダメージ{outline}{color}{size}
編成シールキャラクターの合計パワーが敵の
合計HPを上回る場合、
オーバーダメージが発生します。
{color : #FFFF00}ただし、オーバーダメージのみで敵を倒して
しまう場合敵のHPは1時間分が残ります。{outline}{color}{size}"
10,5,,"バトルを終了する方法は以下2つがあります。
1.全てのシールの攻撃を終えて、バトル結果を見る
2.バトル詳細確認画面にあるリタイアをタップし、
　現在行われているバトルを終了する"
