id,type,currency_id,additional_value
1,PotentialEvent::Hp,,90
2,PotentialEvent::Atk,,100
3,PotentialEvent::Defense,,100
4,PotentialEvent::Hp,,20
5,PotentialEvent::Atk,,10
6,PotentialEvent::Defense,,20
7,PotentialEvent::Skill,4.0,1
8,PotentialEvent::Hp,,30
9,PotentialEvent::Atk,,15
10,PotentialEvent::Defense,,30
11,PotentialEvent::Hp,,50
12,PotentialEvent::Atk,,25
13,PotentialEvent::Defense,,50
14,PotentialEvent::Atk,,35
15,PotentialEvent::Skill,3.0,5
16,PotentialEvent::Skill,5.0,1
17,PotentialEvent::Skill,6.0,1
18,PotentialEvent::Skill,7.0,1
19,PotentialEvent::Hp,,200
20,PotentialEvent::Select,1.0,0
21,PotentialEvent::Skill,1.0,3
22,PotentialEvent::Skill,2.0,3
23,PotentialEvent::Select,2.0,0
24,PotentialEvent::Skill,3.0,3
25,PotentialEvent::Select,3.0,0
26,PotentialEvent::Hp,,70
27,PotentialEvent::Defense,,70
28,PotentialEvent::Atk,,50
29,PotentialEvent::Select,4.0,0
30,PotentialEvent::Skill,4.0,5
31,PotentialEvent::Skill,6.0,5
32,PotentialEvent::Hp,,100
33,PotentialEvent::Defense,,200
34,PotentialEvent::Select,5.0,0
35,PotentialEvent::Skill,5.0,5
36,PotentialEvent::Skill,7.0,5
37,PotentialEvent::Select,6.0,0
38,PotentialEvent::Defense,,600
39,PotentialEvent::Skill,1.0,5
40,PotentialEvent::Atk,,500
41,PotentialEvent::Skill,2.0,5
42,PotentialEvent::Hp,,500
43,PotentialEvent::Hp,,600
44,PotentialEvent::Hp,,54
45,PotentialEvent::Atk,,60
46,PotentialEvent::Defense,,60
47,PotentialEvent::Hp,,12
48,PotentialEvent::Atk,,6
49,PotentialEvent::Defense,,12
50,PotentialEvent::Hp,,18
51,PotentialEvent::Atk,,9
52,PotentialEvent::Defense,,18
53,PotentialEvent::Atk,,21
54,PotentialEvent::Hp,,120
55,PotentialEvent::Hp,,42
56,PotentialEvent::Defense,,42
57,PotentialEvent::Atk,,30
58,PotentialEvent::Hp,,60
59,PotentialEvent::Defense,,120
60,PotentialEvent::Defense,,360
61,PotentialEvent::Atk,,300
62,PotentialEvent::Hp,,360
63,PotentialEvent::Hp,,126
64,PotentialEvent::Atk,,140
65,PotentialEvent::Defense,,140
66,PotentialEvent::Hp,,28
67,PotentialEvent::Atk,,14
68,PotentialEvent::Defense,,28
69,PotentialEvent::Atk,,49
70,PotentialEvent::Hp,,280
71,PotentialEvent::Hp,,98
72,PotentialEvent::Defense,,98
73,PotentialEvent::Atk,,70
74,PotentialEvent::Hp,,140
75,PotentialEvent::Defense,,280
76,PotentialEvent::Defense,,840
77,PotentialEvent::Atk,,700
78,PotentialEvent::Hp,,840
79,PotentialEvent::Hp,,72
80,PotentialEvent::Atk,,80
81,PotentialEvent::Defense,,80
82,PotentialEvent::Hp,,16
83,PotentialEvent::Atk,,8
84,PotentialEvent::Defense,,16
85,PotentialEvent::Hp,,24
86,PotentialEvent::Atk,,12
87,PotentialEvent::Defense,,24
88,PotentialEvent::Hp,,40
89,PotentialEvent::Atk,,20
90,PotentialEvent::Defense,,40
91,PotentialEvent::Atk,,28
92,PotentialEvent::Hp,,160
93,PotentialEvent::Hp,,56
94,PotentialEvent::Defense,,56
95,PotentialEvent::Atk,,40
96,PotentialEvent::Hp,,80
97,PotentialEvent::Defense,,160
98,PotentialEvent::Select,7.0,0
99,PotentialEvent::Select,8.0,0
100,PotentialEvent::Skill,1.0,2
101,PotentialEvent::Skill,2.0,2
102,PotentialEvent::Select,9.0,0
103,PotentialEvent::Skill,1.0,4
104,PotentialEvent::Skill,2.0,4
105,PotentialEvent::Skill,3.0,4
106,PotentialEvent::Select,10.0,0
107,PotentialEvent::Skill,3.0,2
108,PotentialEvent::Select,11.0,0
109,PotentialEvent::Skill,1.0,1
110,PotentialEvent::Skill,3.0,1
111,PotentialEvent::Select,12.0,0
112,PotentialEvent::Skill,2.0,1
113,PotentialEvent::Skill,7.0,2
114,PotentialEvent::Select,13.0,0
115,PotentialEvent::Select,14.0,0
116,PotentialEvent::Select,15.0,0
117,PotentialEvent::Skill,6.0,2
118,PotentialEvent::Select,16.0,0
119,PotentialEvent::Select,17.0,0
120,PotentialEvent::Select,18.0,0
121,PotentialEvent::Select,19.0,0
122,PotentialEvent::Select,20.0,0
123,PotentialEvent::Skill,4.0,3
124,PotentialEvent::Skill,5.0,3
125,PotentialEvent::Select,21.0,0
126,PotentialEvent::Skill,6.0,3
127,PotentialEvent::Skill,7.0,3
128,PotentialEvent::Select,22.0,0
129,PotentialEvent::Select,23.0,0
130,PotentialEvent::Select,24.0,0
131,PotentialEvent::Skill,5.0,2
132,PotentialEvent::Select,25.0,0
133,PotentialEvent::Skill,4.0,2
