id,comment
1,"素材ID=3:20個, 素材ID=8:10個, 素材ID=13:1個"
2,素材ID=3:5個
3,素材ID=3:10個
4,"素材ID=3:10個, 素材ID=8:5個"
5,"素材ID=3:10個, 素材ID=8:10個, 素材ID=13:1個"
6,"素材ID=3:50個, 素材ID=8:25個, 素材ID=13:3個"
7,"素材ID=3:20個, 素材ID=8:15個, 素材ID=13:2個"
8,"素材ID=3:30個, 素材ID=8:15個, 素材ID=13:3個"
9,"必殺技Lv2以上, 素材ID=3:10個, 素材ID=8:5個"
10,"必殺技Lv2以上, 素材ID=3:10個, 素材ID=8:10個"
11,"必殺技Lv6以上, 素材ID=3:10個, 素材ID=8:10個, 素材ID=13:1個"
12,"必殺技Lv6以上, 素材ID=3:10個, 素材ID=8:10個"
13,"必殺技Lv4以上, 素材ID=3:10個, 素材ID=8:10個"
14,"必殺技Lv2以上, 素材ID=3:10個"
15,"必殺技Lv4以上, 素材ID=3:10個, 素材ID=8:5個"
16,"必殺技Lv4以上, 素材ID=3:10個, 素材ID=8:10個, 素材ID=13:1個"
17,"必殺技Lv6以上, 素材ID=3:15個, 素材ID=8:15個, 素材ID=13:2個"
18,"必殺技Lv8以上, 素材ID=3:15個, 素材ID=8:15個, 素材ID=13:2個"
19,"必殺技Lv10以上, 素材ID=3:15個, 素材ID=8:15個, 素材ID=13:2個"
20,"必殺技Lv8以上, 素材ID=3:10個, 素材ID=8:10個, 素材ID=13:1個"
21,"必殺技Lv10以上, 素材ID=3:10個, 素材ID=8:10個, 素材ID=13:1個"
22,"必殺技Lv10以上, 素材ID=3:30個, 素材ID=8:20個, 素材ID=13:3個"
23,"必殺技Lv10以上, 素材ID=3:50個, 素材ID=8:25個, 素材ID=13:3個"
24,"素材ID=1:10個, 素材ID=6:5個, 素材ID=11:1個"
25,素材ID=1:10個
26,"素材ID=1:20個, 素材ID=6:10個, 素材ID=11:1個"
27,"素材ID=1:10個, 素材ID=6:5個"
28,"素材ID=1:20個, 素材ID=6:10個, 素材ID=11:5個"
29,"必殺技Lv2以上, 素材ID=1:10個, 素材ID=6:5個"
30,"必殺技Lv6以上, 素材ID=1:10個, 素材ID=6:5個, 素材ID=11:1個"
31,"必殺技Lv6以上, 素材ID=1:10個, 素材ID=6:5個"
32,"必殺技Lv4以上, 素材ID=1:10個, 素材ID=6:5個"
33,"必殺技Lv2以上, 素材ID=1:10個"
34,"必殺技Lv4以上, 素材ID=1:10個, 素材ID=6:5個, 素材ID=11:1個"
35,"必殺技Lv1以上, 素材ID=1:20個, 素材ID=6:10個, 素材ID=11:1個"
36,"必殺技Lv8以上, 素材ID=1:10個, 素材ID=6:5個, 素材ID=11:1個"
37,"必殺技Lv10以上, 素材ID=1:10個, 素材ID=6:5個, 素材ID=11:1個"
38,"必殺技Lv10以上, 素材ID=1:20個, 素材ID=6:10個, 素材ID=11:5個"
39,素材ID=1:5個
40,"素材ID=1:10個, 素材ID=6:10個, 素材ID=11:1個"
41,"素材ID=1:20個, 素材ID=6:15個, 素材ID=11:2個"
42,"素材ID=1:30個, 素材ID=6:15個, 素材ID=11:3個"
43,"必殺技Lv2以上, 素材ID=1:10個, 素材ID=6:10個"
44,"必殺技Lv6以上, 素材ID=1:10個, 素材ID=6:10個, 素材ID=11:1個"
45,"必殺技Lv6以上, 素材ID=1:10個, 素材ID=6:10個"
46,"必殺技Lv4以上, 素材ID=1:10個, 素材ID=6:10個"
47,"必殺技Lv4以上, 素材ID=1:10個, 素材ID=6:10個, 素材ID=11:1個"
48,"必殺技Lv6以上, 素材ID=1:15個, 素材ID=6:15個, 素材ID=11:2個"
49,"必殺技Lv8以上, 素材ID=1:15個, 素材ID=6:15個, 素材ID=11:2個"
50,"必殺技Lv10以上, 素材ID=1:15個, 素材ID=6:15個, 素材ID=11:2個"
51,"必殺技Lv8以上, 素材ID=1:10個, 素材ID=6:10個, 素材ID=11:1個"
52,"必殺技Lv10以上, 素材ID=1:10個, 素材ID=6:10個, 素材ID=11:1個"
53,"必殺技Lv10以上, 素材ID=1:30個, 素材ID=6:20個, 素材ID=11:3個"
54,"素材ID=1:50個, 素材ID=6:25個, 素材ID=11:3個"
55,"素材ID=2:20個, 素材ID=7:10個, 素材ID=12:1個"
56,素材ID=2:5個
57,素材ID=2:10個
58,"素材ID=2:10個, 素材ID=7:5個"
59,"素材ID=2:10個, 素材ID=7:10個, 素材ID=12:1個"
60,"素材ID=2:50個, 素材ID=7:25個, 素材ID=12:3個"
61,"素材ID=2:20個, 素材ID=7:15個, 素材ID=12:2個"
62,"素材ID=2:30個, 素材ID=7:15個, 素材ID=12:3個"
63,"必殺技Lv2以上, 素材ID=2:10個, 素材ID=7:5個"
64,"必殺技Lv2以上, 素材ID=2:10個, 素材ID=7:10個"
65,"必殺技Lv6以上, 素材ID=2:10個, 素材ID=7:10個, 素材ID=12:1個"
66,"必殺技Lv6以上, 素材ID=2:10個, 素材ID=7:10個"
67,"必殺技Lv4以上, 素材ID=2:10個, 素材ID=7:10個"
68,"必殺技Lv2以上, 素材ID=2:10個"
69,"必殺技Lv4以上, 素材ID=2:10個, 素材ID=7:5個"
70,"必殺技Lv4以上, 素材ID=2:10個, 素材ID=7:10個, 素材ID=12:1個"
71,"必殺技Lv8以上, 素材ID=2:10個, 素材ID=7:10個, 素材ID=12:1個"
72,"必殺技Lv10以上, 素材ID=2:15個, 素材ID=7:15個, 素材ID=12:2個"
73,"必殺技Lv10以上, 素材ID=2:10個, 素材ID=7:10個, 素材ID=12:1個"
74,"必殺技Lv10以上, 素材ID=2:30個, 素材ID=7:20個, 素材ID=12:3個"
75,"必殺技Lv6以上, 素材ID=2:15個, 素材ID=7:15個, 素材ID=12:2個"
76,"必殺技Lv8以上, 素材ID=2:15個, 素材ID=7:15個, 素材ID=12:2個"
77,"必殺技Lv10以上, 素材ID=2:50個, 素材ID=7:25個, 素材ID=12:3個"
78,"素材ID=4:20個, 素材ID=9:10個, 素材ID=14:1個"
79,素材ID=4:5個
80,素材ID=4:10個
81,"素材ID=4:10個, 素材ID=9:5個"
82,"素材ID=4:10個, 素材ID=9:10個, 素材ID=14:1個"
83,"素材ID=4:50個, 素材ID=9:25個, 素材ID=14:3個"
84,"素材ID=4:20個, 素材ID=9:15個, 素材ID=14:2個"
85,"素材ID=4:30個, 素材ID=9:15個, 素材ID=14:3個"
86,"必殺技Lv2以上, 素材ID=4:10個, 素材ID=9:5個"
87,"必殺技Lv2以上, 素材ID=4:10個, 素材ID=9:10個"
88,"必殺技Lv6以上, 素材ID=4:10個, 素材ID=9:10個, 素材ID=14:1個"
89,"必殺技Lv6以上, 素材ID=4:10個, 素材ID=9:10個"
