id,name,description,created_at,updated_at
0,初期設定,デッキ編成中のキャラクター表示,2024-07-17 02:10:07,2024-07-17 02:10:07
1,超戦士たち,壁紙機能の実装記念,2024-07-17 02:10:07,2024-07-17 02:10:07
2,セルゲーム開催宣言,"サタンのワールド瓦割りバトル
実施記念",2024-07-17 02:10:07,2024-07-17 02:10:07
3,発進！超孫悟飯,"激闘!! DOKKAN超絶チャレンジバトル
ミッション達成報酬",2024-07-17 02:10:07,2024-07-17 02:10:07
4,悟空一家のクリスマスプレゼント,「メリークリスマスキャンペーン」実施記念,2024-07-17 02:10:07,2024-07-17 02:10:07
6,4周年 タイトル画面,壁紙投票キャンペーン実施記念,2024-07-17 02:10:07,2024-07-17 02:10:07
7,白熱必至の大激闘,"ナイショのお願い！ドラゴンボール探し
キャンペーンミッション達成報酬",2024-07-17 02:10:07,2024-07-17 02:10:07
8,超絶怒涛の大勝負,"とどけ希望の光！がんばれトランクス
キャンペーンミッション達成報酬",2024-07-17 02:10:07,2024-07-17 02:10:07
9,地球まるごと！闘気爆発キャンペーン タイトル画面,魔の迷宮を脱出せよ！全世界協力キャンペーンミッション達成報酬,2024-07-17 02:10:07,2024-07-17 02:10:07
10,地球まるごと！奇蹟全開キャンペーン タイトル画面,作るぜでっかい元気玉！全世界協力CPミッション達成報酬,2024-07-17 02:10:07,2024-07-17 02:10:07
11,孫悟空と仲間たち,地球まるごとキャンペーン超感謝報酬,2024-07-17 02:10:07,2024-07-17 02:10:07
12,ベジータ一家のクリスマスパーティー,「聖クリスマスキャンペーン」実施記念,2024-07-17 02:10:07,2024-07-17 02:10:07
15,6周年 タイトル画面,「激突×団結！6周年超絶DOKKAN謝祭」実施記念,2024-07-17 02:10:07,2024-07-17 02:10:07
16,限界突破のラストサバイバル,"迫りくる障壁！決死のサバイバル！
全ユーザー協力キャンペーン達成報酬",2024-07-17 02:10:07,2024-07-17 02:10:07
17,熱戦・烈戦・超激戦,悟空にパワーを！サイヤの日記念協力キャンペーン達成報酬,2024-07-17 02:10:07,2024-07-17 02:10:07
18,DOKKAN OF THE DEAD,2021年エイプリルフール記念,2024-07-17 02:10:07,2024-07-17 02:10:07
19,バーダックの怒り,"敵陣を切り開け！
全世界対決キャンペーン達成報酬",2024-07-17 02:10:07,2024-07-17 02:10:07
20,ナメック星の超決戦,"最凶フリーザ！！ナメック星最後の決戦
全世界協力キャンペーン達成報酬",2024-07-17 02:10:07,2024-07-17 02:10:07
21,超ゴジータVSスーパージャネンバ,壁紙投票キャンペーン実施記念,2024-07-17 02:10:07,2024-07-17 02:10:07
22,映画「ドラゴンボール超 ブロリー」KV,壁紙投票キャンペーン実施記念,2024-07-17 02:10:07,2024-07-17 02:10:07
23,悟空とベジータの挑戦,壁紙投票キャンペーン実施記念,2024-07-17 02:10:07,2024-07-17 02:10:07
24,悟空とチチのウェディング,物語イベント「燃えろ!!結婚・決戦・大団円」ミッション達成報酬,2024-07-17 02:10:07,2024-07-17 02:10:07
25,7周年 タイトル画面,「無限大の究極バトル！7周年特大DOKKAN謝祭」実施記念,2024-07-17 02:10:07,2024-07-17 02:10:07
26,DOKKAN EXERCISE,2022年エイプリルフール記念,2024-07-17 02:10:07,2024-07-17 02:10:07
27,とよたろう先生描き下ろし魔人ベジータ,2022年サイヤの日記念ログインボーナス,2024-07-17 02:10:07,2024-07-17 02:10:07
28,悟空親子の修業,2022年「悟飯・悟空・悟天」の日記念,2024-07-17 02:10:07,2024-07-17 02:10:07
29,地球まるごと！宇宙最強キャンペーン タイトル画面,"クウラから地球を守れ！
全世界協力キャンペーンミッション達成報酬",2024-07-17 02:10:07,2024-07-17 02:10:07
30,地球まるごと！宇宙最強キャンペーン 第2弾 タイトル画面,"ビッグゲテスターを破壊せよ！
全世界協力キャンペーンミッション達成報酬",2024-07-17 02:10:07,2024-07-17 02:10:07
31,トランクスと悟天の雪だるま,「寒さに負けるな！冬のDOKKANキャンペーン」 実施記念,2024-07-17 02:10:07,2024-07-17 02:10:07
32,集う超戦士たち,"特別編イベント「ドラゴンボールオープニングメドレー」
ミッション達成報酬",2024-07-17 02:10:07,2024-07-17 02:10:07
33,8周年 タイトル画面,8周年第３弾感謝報酬,2024-07-17 02:10:07,2024-07-17 02:10:07
34,映画「ドラゴンボール超 スーパーヒーロー」第二弾ビジュアル,"チャレンジイベント
「究極のレッドゾーン レッドリボン軍編」制覇報酬",2024-07-17 02:10:07,2024-07-17 02:10:07
35,DOKKAN FISHING,2023年エイプリルフール記念,2024-07-17 02:10:07,2024-07-17 02:10:07
36,龍虎相討つ！,"「目指せてっぺん！GWキャンペーン」
実施記念",2024-07-17 02:10:07,2024-07-17 02:10:07
37,地球まるごと！時空超越キャンペーン 第1弾 タイトル画面,"立ち上がれレジスタンス！
全ユーザー協力キャンペーン第1弾達成報酬",2024-07-17 02:10:07,2024-07-17 02:10:07
38,地球まるごと！時空超越キャンペーン 第3弾 タイトル画面,"立ち上がれレジスタンス！
全ユーザー協力キャンペーン第3弾達成報酬",2024-07-17 02:10:07,2024-07-17 02:10:07
39,映画『SAND LAND』日本公開記念VJコラボ壁紙,"映画『SAND LAND（サンドランド）』日本公開記念
コラボミッション達成報酬",2024-07-17 02:10:07,2024-07-17 02:10:07
40,北の大地の冒険,「アツさを解き放て！冬のDOKKANキャンペーン」 実施記念,2024-07-17 02:10:07,2024-07-17 02:10:07
41,ドラゴンボール ザ ブレイカーズ 1st Anniversary！,ドラゴンボール ザ ブレイカーズ 1周年記念,2024-07-17 02:10:07,2024-07-17 02:10:07
42,9周年第1弾タイトル画面,「究極を超えろ！9周年極大DOKKAN謝祭」実施記念,2024-07-17 02:10:07,2024-07-17 02:10:07
43,9周年第2弾タイトル画面,"チャレンジイベント
「目覚める恐怖！セルマックス」ミッション報酬",2024-07-17 02:10:07,2024-07-17 02:10:07
44,DOKKAN CITY,2024年エイプリルフール記念,2024-07-17 02:10:07,2024-07-17 02:10:07
45,ゲーム『SAND LAND』コラボ記念壁紙,ゲーム『SAND LAND』コラボ記念ミッション達成報酬,2024-07-17 02:10:07,2024-07-17 02:10:07
46,星に願いを！七夕キャンペーンタイトル画面,"チャレンジイベント
「バトルスペクタクル 宇宙サバイバル編」制覇報酬",2024-07-17 02:10:07,2024-07-17 02:10:07
