id,title,description,weight,image_name,start_at,end_at
1,ランクアップ,ランクアップするとACTやコスト上限があがりますよ。,10,,2021-10-05 08:00:00,2021-11-14 00:00:00
2,フレンド,"冒険を開始するときにフレンドで選択したキャラクターも
リーダースキルが自動発動しますよ！",10,,2024-01-29 04:00:00,2030-01-01 00:00:00
3,リーダースキル,"チーム編成でリーダーにしたキャラクターは
リーダースキルが自動発動します。",10,,2024-01-29 04:00:00,2030-01-01 00:00:00
4,属性,"有利な属性で攻撃すれば敵に大ダメージを
与えることができますが、
不利な属性では逆にガードされてしまいますよ。",10,,2024-01-29 04:00:00,2030-01-01 00:00:00
5,チーム編成,"戦闘力の高いキャラクターを入れるだけでなく
属性のバランスを考えて、
もう一度チーム編成を見直してみましょう！",10,,2024-01-29 04:00:00,2030-01-01 00:00:00
6,リンクスキル,"攻撃する順番によってリンクスキルが発動しますよ。
強力な武器になりますので活用していきましょう！",10,,2024-01-29 04:00:00,2030-01-01 00:00:00
7,気の玉,"気の量は多いに越したことはないですよ。
どんどんためていきましょう。",10,,2024-01-29 04:00:00,2030-01-01 00:00:00
8,必殺技,"気力が多くたまると必殺技が発動します。
ガンガン狙っていきましょう。",10,tips_image_01,2021-10-05 08:00:00,2021-11-14 00:00:00
9,連続ログインボーナス,"毎日ゲームにログインするとゼニーやアイテムが貰えますよ。
7日連続ログインしてボーナスも頂いちゃいましょう。",10,,2024-01-29 04:00:00,2030-01-01 00:00:00
10,通算ログインボーナス,"1日1回ログインして
通算ログインボーナスを頂いちゃいましょう。",10,,2024-01-29 04:00:00,2030-01-01 00:00:00
11,覚醒,"覚醒アイテムは1種類だけでも
必要数に達すれば覚醒することができますよ。
大幅にステータスが上がるので覚醒できるか確認しましょう！",10,,2021-10-05 08:00:00,2021-11-14 00:00:00
12,修業,"同じ絵柄のキャラクターもしくは同名のキャラクターで
修業すると必殺技レベルがあがります！
レアリティが高いと成功率もアップしますよ！",10,,2024-01-29 04:00:00,2030-01-01 00:00:00
13,ターゲット,"敵をタッチすると、その敵を最優先で攻撃できますよ。
相性のいい属性の敵を狙っていきましょう。",10,tips_image_02,2021-10-05 08:00:00,2021-11-14 00:00:00
14,友情ガシャ,"貯めた友情ptでガシャが出来ますよ！
どんどんフレンドを増やしましょう！",10,,2024-01-29 04:00:00,2030-01-01 00:00:00
15,同属性修業ボーナス,"同じ属性のキャラクターで修業すると
通常よりも獲得経験値が増えますよ。",10,,2024-01-29 04:00:00,2030-01-01 00:00:00
16,お気に入り,"大切なキャラクターは誤って売却しないように、
お気に入り登録しておきましょう。",10,tips_image_03,2024-01-29 04:00:00,2030-01-01 00:00:00
17,削除しないで！,"アプリを削除するとデータが消えてしまいますよ！
メニューから「データ連携・バックアップ」をしておきましょう！",10,,2024-01-29 04:00:00,2030-01-01 00:00:00
18,ガード,"敵からの攻撃の直前に有利な属性の味方を置くと
ガードすることができますよ！
敵からのダメージを大幅に減らすことができます。",10,tips_image_04,2021-10-05 08:00:00,2021-11-14 00:00:00
19,ドッカンモード,"Dokkanゲージが貯まった状態で必殺技を使うと
ドッカンモードが発動します！
タイミングよくタップして、大ダメージを与えましょう！",10,tips_image_05,2024-01-29 04:00:00,2030-01-01 00:00:00
20,ヘルプ,"困ったときはヘルプを確認しましょう！
メニューから確認できますよ！",10,,2024-01-29 04:00:00,2030-01-01 00:00:00
21,ドラゴンボール,"ドラゴンボールを7つ集めるといいことが起きますよ！ 
見つけたら積極的に手に入れましょう！
叶えられる願いはぜひその目で確かめて見てください！",10,,2024-01-29 04:00:00,2030-01-01 00:00:00
22,友情pt,"フレンドと一緒に冒険すると、
ゲストを選んだ時よりも友情ptが多く貰えますよ！",10,,2024-01-29 04:00:00,2030-01-01 00:00:00
23,サポートアイテム,"敵が強くなってきたらサポートアイテムを有効活用しましょう！
様々な効果のアイテムがあるので試してみてください。",10,,2024-01-29 04:00:00,2030-01-01 00:00:00
24,必殺技,"自分の属性と同じ色の気の玉は通常の2倍の気がたまります。
必殺技をうちたい時は狙ってみましょう！",10,tips_image_06,2021-10-05 08:00:00,2021-11-14 00:00:00
25,ドラゴンレーダー,"神龍の画面で見つかっていないドラゴンボールをタップすると
どのステージに落ちているのか分かりますよ！",10,,2024-01-29 04:00:00,2030-01-01 00:00:00
