id,name,effect_description,condition_description,exec_limit,compiled_causality_conditions,special_view_id,costume_special_view_id,bgm_id
1,スタンバイに移行する,"5ターンの間、スタンバイし、
チームの味方の取得気玉1個につき
チャージカウントが1増加する","バトル開始から4ターン目以降発動可能
(1回のみ)",1,"[""&"", [""not"", [""type"", 53, [0]]], [""type"", 5, [3]]]",11520,0,241
2,スタンバイに移行する,"5ターンの間、スタンバイし、
チームの味方の取得気玉1個につき
チャージカウントが1増加する","バトル開始から4ターン目以降発動可能
(1回のみ)",1,"[""&"", [""not"", [""type"", 53, [0]]], [""type"", 5, [3]]]",11520,0,241
3,スタンバイに移行する,"5ターンの間、スタンバイし、
チームの味方の取得気玉1個につき
チャージカウントが1増加する","自身のHP50%以下で発動可能、
またはバトル開始から4ターン目以降、
バトル中自身が4回以上攻撃すると発動可能
(1回のみ)",1,"[""|"", [""&"", [""not"", [""type"", 53, [0]]], [""type"", 2, [50]]], [""&"", [""not"", [""type"", 53, [0]]], [""type"", 5, [3]], [""type"", 44, [2, 4]]]]",11583,0,232
4,スタンバイに移行する,"5ターンの間、スタンバイし、
チームの味方の取得気玉1個につき
チャージカウントが1増加する","自身のHP50%以下で発動可能、
またはバトル開始から4ターン目以降、
バトル中自身が4回以上攻撃すると発動可能
(1回のみ)",1,"[""|"", [""&"", [""not"", [""type"", 53, [0]]], [""type"", 2, [50]]], [""&"", [""not"", [""type"", 53, [0]]], [""type"", 5, [3]], [""type"", 44, [2, 4]]]]",11583,0,232
5,スタンバイに移行する,5ターンの間、スタンバイする,"自身のHP50%以下で発動可能、
またはバトル開始から4ターン目以降、
バトル中自身が4回以上攻撃を受けると発動可能
(1回のみ)",1,"[""|"", [""&"", [""not"", [""type"", 53, [1]]], [""not"", [""type"", 54]], [""type"", 2, [50]]], [""&"", [""not"", [""type"", 53, [1]]], [""not"", [""type"", 54]], [""type"", 5, [3]], [""type"", 44, [3, 4]]]]",11584,0,235
6,スタンバイに移行する,5ターンの間、スタンバイする,"自身のHP50%以下で発動可能、
またはバトル開始から4ターン目以降、
バトル中自身が4回以上攻撃を受けると発動可能
(1回のみ)",1,"[""|"", [""&"", [""not"", [""type"", 53, [1]]], [""not"", [""type"", 54]], [""type"", 2, [50]]], [""&"", [""not"", [""type"", 53, [1]]], [""not"", [""type"", 54]], [""type"", 5, [3]], [""type"", 44, [3, 4]]]]",11584,0,235
7,スタンバイに移行する,4ターンの間、スタンバイする,"自身の登場から6ターン目以降、
HP59%以下のとき発動可能
(1回のみ)",1,"[""&"", [""not"", [""type"", 53, [1]]], [""not"", [""type"", 54]], [""type"", 55, [5]], [""type"", 2, [59]]]",12042,0,266
8,スタンバイに移行する,4ターンの間、スタンバイする,"自身の登場から6ターン目以降、
HP59%以下のとき発動可能
(1回のみ)",1,"[""&"", [""not"", [""type"", 53, [1]]], [""not"", [""type"", 54]], [""type"", 55, [5]], [""type"", 2, [59]]]",12042,0,266
9,スタンバイに移行する,"4ターンの間、スタンバイし、
チームの味方の取得知気玉か虹気玉1個につき
チャージカウントが2増加、
知気玉以外の取得属性気玉1個につき
チャージカウントが1増加する","バトル中自身が5回以上攻撃を受けると
発動可能(1回のみ)",1,"[""&"", [""not"", [""type"", 53, [0]]], [""type"", 44, [3, 5]]]",12252,0,277
10,スタンバイに移行する,"4ターンの間、スタンバイし、
チームの味方の取得知気玉か虹気玉1個につき
チャージカウントが2増加、
知気玉以外の取得属性気玉1個につき
チャージカウントが1増加する","バトル中自身が5回以上攻撃を受けると
発動可能(1回のみ)",1,"[""&"", [""not"", [""type"", 53, [0]]], [""type"", 44, [3, 5]]]",12252,0,277
11,スタンバイに移行する,"4ターンの間、スタンバイし、
チームの味方が攻撃するたび
チャージカウントが1増加する","自身の登場から5ターン目以降発動可能
(1回のみ)",1,"[""&"", [""not"", [""type"", 53, [0]]], [""type"", 55, [4]]]",12542,0,293
12,スタンバイに移行する,"4ターンの間、スタンバイし、
チームの味方が攻撃するたび
チャージカウントが1増加する","自身の登場から5ターン目以降発動可能
(1回のみ)",1,"[""&"", [""not"", [""type"", 53, [0]]], [""type"", 55, [4]]]",12542,0,293
13,スタンバイに移行する,"5ターンの間、スタンバイし、
チームの味方の取得気玉1個につき
チャージカウントが1増加する","バトル開始から4ターン目以降発動可能
(1回のみ)",1,"[""&"", [""not"", [""type"", 53, [0]]], [""type"", 5, [3]]]",11520,0,241
14,スタンバイに移行する,"5ターンの間、スタンバイし、
チームの味方の取得気玉1個につき
チャージカウントが1増加する","バトル開始から4ターン目以降発動可能
(1回のみ)",1,"[""&"", [""not"", [""type"", 53, [0]]], [""type"", 5, [3]]]",11520,0,241
15,スタンバイに移行する,5ターンの間、スタンバイする,"バトル開始から3ターン目以降、
HPが70%以下で発動可能、
またはバトル開始から6ターン目以降
発動可能(1回のみ)",1,"[""|"", [""&"", [""not"", [""type"", 53, [2]]], [""type"", 5, [2]], [""type"", 2, [70]]], [""&"", [""not"", [""type"", 53, [2]]], [""type"", 5, [5]]]]",13333,0,324
16,スタンバイに移行する,5ターンの間、スタンバイする,"バトル開始から3ターン目以降、
HPが70%以下で発動可能、
またはバトル開始から6ターン目以降
発動可能(1回のみ)",1,"[""|"", [""&"", [""not"", [""type"", 53, [2]]], [""type"", 5, [2]], [""type"", 2, [70]]], [""&"", [""not"", [""type"", 53, [2]]], [""type"", 5, [5]]]]",13333,0,324
17,スタンバイに移行する,"4ターンの間、スタンバイし、
チームの味方が攻撃するたび
チャージカウントが1増加する","自身のHP70%以下で発動可能、
またはバトル中自身が3回以上攻撃をすると
発動可能(1回のみ)",1,"[""|"", [""&"", [""not"", [""type"", 53, [0]]], [""type"", 2, [70]]], [""&"", [""not"", [""type"", 53, [0]]], [""type"", 44, [2, 3]]]]",13720,0,337
18,スタンバイに移行する,"4ターンの間、スタンバイし、
チームの味方が攻撃するたび
チャージカウントが1増加する","自身のHP70%以下で発動可能、
またはバトル中自身が3回以上攻撃をすると
発動可能(1回のみ)",1,"[""|"", [""&"", [""not"", [""type"", 53, [0]]], [""type"", 2, [70]]], [""&"", [""not"", [""type"", 53, [0]]], [""type"", 44, [2, 3]]]]",13720,0,337
19,スタンバイに移行する,"5ターンの間、スタンバイし、
チームの味方の取得気玉1個につき
チャージカウントが1増加する","自身の登場から3ターン目以降発動可能
(1回のみ)",1,"[""&"", [""not"", [""type"", 53, [0]]], [""type"", 55, [2]]]",14600,0,368
20,スタンバイに移行する,"5ターンの間、スタンバイし、
チームの味方の取得気玉1個につき
チャージカウントが1増加する","自身の登場から3ターン目以降発動可能
(1回のみ)",1,"[""&"", [""not"", [""type"", 53, [0]]], [""type"", 55, [2]]]",14600,0,368
