id,selection_table_id,event_id
1,1,21
2,1,22
3,2,22
4,2,24
5,3,21
6,3,24
7,4,30
8,4,31
9,5,35
10,5,36
11,6,21
12,6,22
13,6,24
14,7,39
15,7,41
16,7,15
17,8,100
18,8,101
19,9,103
20,9,104
21,9,105
22,10,101
23,10,107
24,11,109
25,11,110
26,12,112
27,12,110
28,13,30
29,13,35
30,14,100
31,14,107
32,15,103
33,15,105
34,16,103
35,16,104
36,17,30
37,17,36
38,18,100
39,18,101
40,18,107
41,19,109
42,19,112
43,20,123
44,20,124
45,21,126
46,21,127
47,22,31
48,22,36
49,23,39
50,23,41
51,24,39
52,24,15
53,25,35
54,25,31
