id,help_category_id,num,title,description
1,1,1000,チーム編成,"冒険に連れて行くチームを編成することができます。

最大6人一組のチームを編成することができます。

編成したチームの総コストがコスト上限を超えていると冒険に行くことができません。
※コスト上限はプレイヤーのランクに応じて増加します。

キャラクターを編成していない枠には、緊急要員として栽培マンがバトルに参加することになります。"
2,1,990,修業,"修業を行うと、キャラクターは経験値を獲得します。
レベルを上げ、パラメータを強化させることができます。

修業は、以下のフローで行います。

１：修業をするキャラを選択（必須）
２：修業相手を選択（最低１体必須）
３：修業アイテムを選択（任意）
４：修業場所を選択（任意）

修業するキャラクターのレベルや使用するアイテムによって、必要なゼニーが変動します。

また、修業するキャラクターと修業相手が同じ（通り名とキャラクター名が同じ）場合、必殺技レベルが上昇したり、属性が同じ場合は獲得経験値にボーナスがつく場合があります。

修業に使用した修業相手、修業アイテム、荒野以外の修業場所は消費されるので注意しましょう。"
3,1,980,覚醒,"覚醒を行うとキャラクターの潜在能力を呼び覚まし、パラメータを上昇させることができます。

覚醒を行うには、キャラクター毎に決っている覚醒メダルとゼニーが必要です。

覚醒ではキャラクターに経験値入りませんが、レベルに関係なく行えるので、必要なアイテムが揃ったら迷わず覚醒させましょう。"
4,1,970,Z覚醒,"Z覚醒を行うと、キャラクターの真の潜在能力を呼び覚まし、パラメータを大幅に上昇させることができます。

またレアリティがアップし、属性もより強力なものに変化します。

Z覚醒は、

１：キャラクターのレベルが最大
２：必要な覚醒メダルを全て揃える

ことで行えます。

Z覚醒後は必殺技レベルも持ち越されますが、コストが上昇する場合もあるため、チームコスト不足にならないよう注意しましょう。
"
5,1,960,ドッカン覚醒,"ドッカン覚醒を行うと、より強力なキャラクターへとパワーアップすることができます。

ドッカン覚醒を行うには、Z覚醒したLv.MAXのキャラクターと、覚醒メダルとゼニーが必要になります。

ドッカン覚醒後はレベル1の状態になってしまいますが、再度Z覚醒することが可能になるため、さらなる成長が期待できます。

※ドッカン覚醒は全てのキャラクターが行えるわけではありません。
※必殺技レベルは、ドッカン覚醒前のものが引き継がれます。
※ドッカン覚醒したキャラクターを覚醒前の状態に戻すことはできません。"
6,1,950,リーダースキル,"そのキャラクターをリーダーに設定した際に発揮する特殊な能力です。

冒険に連れて行ったフレンドのリーダーも、リーダースキルを発動します。

リーダースキルはそのキャラクターが攻撃に参加していないターンでも効果を発揮します。"
7,1,940,パッシブスキル,"バトル中、特定の条件下において発揮する特殊な能力です。

発動条件はスキル毎に異なります。"
8,1,930,リンクスキル,"キャラクター毎に複数所持している特殊なスキルです。

バトル中の攻撃順選択時、同じリンクスキルを持ったキャラクターが隣同士に並ぶと必ず発動します。

発動効果は「キャラクター詳細」の「リンクスキル」より確認できます。
"
9,1,920,お気に入り,"キャラクターを「お気に入り」に登録してくと、誤って修業相手に使ったり売却しないようにすることができます。

キャラクター詳細画面の右上にある鍵のアイコンをタップすることで、お気に入りと解除が切り替えられます。

お気に入りに登録しているキャラクターは、キャラクター一覧でアイコンに鍵のマークが表示されます。"
10,2,910,冒険の進め方,"マップ上の敵を倒しながら進んでいき、ゴールにたどり着くことが目的です。

先に進むには画面下部の「丸い数字」をタップすると、選んだ数字の数だけ進みます。
※「丸い数字」はランダムに決まります。

途中、道が分岐している箇所では、進む方向を自分で選択する必要があります。

先に何があるのか注意して進みましょう。"
11,2,900,難易度の違い,"各ステージには「NORMAL」「HARD」「Z-HARD」の３つの難易度が存在します。

はじめはNORMALしか選べませんが、クリアすることで順に開放されます。

難易度の高いステージは手強い敵が出現しますが、その分経験値やゼニーなどの報酬に期待できます。"
12,2,890,各マスの特徴,"すごろく状になっているマップには、さまざまなマスが存在します。

基本的に赤を危険を、青は報酬を、黄色はハプニングを表しています。

マスの中には強制的に停止を強いられる「STOP」マスが存在します。"
13,2,880,ACT,"冒険に出発する際にはACT(行動力)を消費します。

消費するACTはステージ毎に決められています。

ACTは5分に1回復しますが、龍石を1つ消費して全回復することもできます。

※ランクアップすると最大ACTが上がることがあります。"
14,2,870,ドラゴンボール集め,"ステージには、ドラゴンボールが落ちていることがあります。

ドラゴンボールが落ちているステージは、「ホーム」＞「ドラゴンボール」画面で、未取得のドラゴンボールをタップすることで確認することができます。

取得するためにはそのマスに停まる必要があるので、マップを見渡し、考えながら先へ進みましょう。

また、ドラゴンボールは７つ集めると願いを叶えることができます。
どんな願いが叶えられるのかは、自分の目で確かめてみましょう。
※ドラゴンボールは願いを叶えない限り、配置が変わることはありません。"
15,2,860,あきらめる方法,"冒険中（バトル中）に画面右上にある「MENU」から「あきらめる」を選択すると、冒険を途中でやめることが出来ます。

バトル中に「あきらめる」をした場合、バトルでなく冒険自体のリタイアとなるのでご注意ください。

「あきらめる」を選択した場合、バトル勝利で得たキャラクター経験値以外のアイテムは全て破棄されます。"
16,3,850,勝敗とコンティニュー,
17,3,840,気の玉と気力,"バトル時、気の玉を消した数だけ気力ゲージが上昇し、攻撃力が決まります。

キャラクターの属性と同色の気力玉を消した場合のみ、通常の2倍上昇します。

※気力ゲージは蓄積されず、そのターンのみ有効となります。そのため、1回の攻撃で一定量貯める必要があります。

※キャラクターのスキルやステージのマスの効果によって予め上昇してる場合があります。"
18,3,830,属性とガード,"キャラクターはそれぞれ属性を持っています。相性は下記の通りです。

・力（赤）……体（橙）に強く、速（青）に弱い
・速（青）……力（赤）に強く、技（緑）に弱い
・技（緑）……速（青）に強く、知（紫）に弱い
・知（紫）……技（緑）に強く、体（橙）に弱い
・体（橙）……知（紫）に強く、力（赤）に弱い

有利な属性だとダメージが増加しますが、不利な属性に攻撃をするとガードが発動しダメージが軽減されます。

またキャラクターが「Ｚ覚醒」により進化すると、属性に「超」か「極」が付きます。（超力、極技など）
この属性になると有利属性への攻撃力が増し、弱点属性への耐久が強化されます。
※「超」同士、「極」同士の属性でバトルを行った場合は、上記５すくみと同等の優劣関係となります。
"
19,3,820,ターゲット,"バトル画面で、画面上部の敵アイコンをタッチすると攻撃対象を切り替えることができます。

属性の関係や先に倒しておくべきキャラクターなどを考慮し、戦略的に敵を攻撃しましょう。"
20,3,810,攻撃順と敵の攻撃,"攻撃順は、バトル画面下部に表示されており、左から順番に攻撃をしかけていきます。

まだ気の玉を選択前のキャラクターであれば、順番を入れ替えることができます。

敵は「直前に攻撃をしていたキャラクター」を狙って攻撃をしかけてきます。

敵の攻撃アイコンが表示されている場合、その直前にいるキャラクターが攻撃を受けることになるので、防御力の高いキャラクターを配置するなどして工夫してみましょう。"
21,3,800,必殺技,"気力ゲージが一定量貯めることができると、キャラクターは必殺技を発動させます。

必要な気力の量については、それぞれのキャラクター詳細画面で確認できます。"
22,3,790,ドッカンモード,"HPバーの下部にあるドッカンゲージを全て溜めたうえでキャラクターの必殺技が確定すると、ドッカンモードに突入します。

ドッカンモードは必殺技の攻撃力が増し、全ての敵に命中します。

ドッカンゲージは気力玉を消すことで溜まっていきます。
※ドッカンゲージはステージをまたぐとリセットされます。"
23,4,780,サポートアイテム,"サポートアイテムは冒険に持っていくことができます。

HPを回復したり攻撃力を上昇させるなど、様々な効果をもったアイテムが存在するので、各ステージに合ったアイテムを選択しましょう。

冒険に持ち込めるアイテムは、ドラゴンボールの願いによって最大6種類まで増やすことができます。

また、アイテムによって冒険に持ち込める数が決まっていたり、バトル中は使用できないなどの制限があるので注意しましょう。"
24,4,770,修業アイテム,"修業の際、修業アイテムを使用することで、経験値を多く獲得することができます。

1回の修業で最大5個まで同時に使用することができます。

修業アイテムは冒険やログインボーナスなどで獲得することができます。"
25,4,760,覚醒メダル,"キャラクターを覚醒させるために必要なアイテムです。

覚醒に必要なアイテムの種類や数はキャラクターによって異なります。

覚醒メダルは冒険やログインボーナスで獲得することができます。"
26,5,750,フレンド,"フレンドとなったプレーヤーを冒険の際に選択すると、フレンドptが多く獲得できます。

最大フレンド数はプレーヤーランクが上がると増加することがあります。

フレンドをたくさん増やして、より優位に冒険を進めましょう。"
27,5,740,友情pt,"友情ポイントがあれば、友情ガシャを回すことができます。

フレンドになっているプレーヤーと一緒に冒険にいくことで100ポイント、それ以外のプレーヤーの場合は50ポイントがもらえます。

ポイントがもらえるのは1プレーヤーにつき1日1回までとなり、同じプレーヤーを選択しつづけてもポイントは増えないので注意しましょう。"
