id,card_id,priority
1,1003211,1
2,1003311,1
3,1003761,1
4,1003801,1
5,1004251,1
6,1004651,1
7,1005001,1
8,1005031,1
9,1005051,1
10,1005281,1
11,1005301,1
13,1005731,1
14,1005741,1
15,1006671,1
16,1006691,1
17,1006701,1
18,1008091,1
19,1008921,1
20,1008931,1
21,1008941,1
22,1009701,1
23,1009711,1
24,1014511,1
25,1010361,1
26,1011341,1
27,1013161,1
28,1014681,0
30,1016101,1
31,1016121,0
32,1016581,1
33,1017161,1
34,1017241,1
35,1006211,0
36,1006791,0
37,1007181,0
38,1007391,0
39,1007461,0
40,1008631,0
41,1008711,0
42,1008821,0
43,1008851,0
44,1009091,0
45,1009331,0
46,1009351,0
47,1009431,0
48,1009581,0
49,1009591,0
50,1009641,0
51,1009791,0
52,1009831,0
53,1010261,0
54,1010851,0
55,1010871,0
56,1011061,0
57,1011171,0
58,1011301,0
59,1011321,0
60,1011781,0
61,1011801,0
62,1012031,0
63,1012381,0
64,1012741,0
65,1012761,1
66,1013541,0
68,1013571,1
70,1013831,0
72,1013861,0
73,1013941,1
74,1014131,0
75,1014761,0
80,1014821,0
85,1014911,0
86,1015051,0
90,1015371,1
92,1015471,0
94,1015671,0
95,1015971,0
97,1016001,0
99,1016511,0
104,1016571,0
105,1017081,0
108,1017121,0
111,1017181,0
114,1017491,0
115,1018271,0
116,1018121,0
117,1018191,0
118,1005581,0
119,1005401,0
120,1005391,0
121,1005551,0
122,1005541,0
123,1010791,0
124,1009911,0
125,1009901,0
126,1009891,0
127,1009931,0
128,1010801,0
129,1009921,0
130,1010491,0
131,1010481,0
132,1009861,0
133,1007191,0
134,1004881,0
135,1009501,0
136,1017741,0
137,1017661,0
139,1011191,0
140,1017411,0
141,1017421,0
142,1008581,1
143,1008561,0
144,1007611,1
145,1015891,0
146,1015901,0
147,1019341,1
148,1019141,1
149,1018541,1
150,1008741,1
151,1008751,1
152,1019631,1
153,1019591,1
154,1012701,1
155,1019741,1
156,1020151,1
157,1009111,1
158,1019871,1
159,1013731,1
160,1013411,1
161,1013421,1
162,1020181,1
163,1020191,1
164,1015421,1
165,1013881,1
166,1013911,1
167,1020091,0
169,1008131,1
170,1004391,1
171,1007121,1
172,1020621,1
173,1020771,1
174,1020811,1
175,1020501,1
177,1018501,1
178,1018411,1
179,1021451,1
180,1021441,1
181,1020991,1
182,1010291,1
183,1021051,1
184,1008611,1
185,1008621,1
186,1008541,1
187,1006661,1
188,1021331,1
189,1021291,1
190,1021491,1
191,1021501,1
192,1016461,1
193,1016491,1
194,1018931,1
195,1018951,1
196,1021641,1
197,1021541,1
198,1021701,1
199,1021691,1
200,1008071,1
201,1005661,1
202,1005671,1
203,1021671,1
204,1021811,1
205,1018721,1
206,1018701,1
207,1012421,1
208,1021921,1
209,1021941,1
210,1018221,1
211,1021101,1
212,1016301,1
213,1006331,1
214,1022221,1
215,1008551,1
216,1008571,1
217,1006741,1
218,1005751,1
219,1022651,1
224,1006771,1
225,1011371,1
226,1010941,1
227,1017721,1
228,1017681,1
229,1010331,1
230,1014141,1
231,1014151,1
232,1014161,1
233,1014171,1
234,1013011,1
235,1013031,1
236,1013051,1
237,1013071,1
238,1013091,1
239,1009781,1
240,1009771,1
241,1013211,1
242,1022881,1
243,1023001,1
244,1022831,1
245,1010811,1
246,1007681,1
247,1010781,1
250,1013431,1
251,1013531,1
252,1020391,1
253,1020401,1
257,1017931,1
258,1017951,1
259,1023111,1
260,1018561,1
261,1018521,1
262,1008871,1
263,1009511,1
264,1014741,1
265,1014661,1
267,1007741,1
268,1016751,1
269,1016731,1
270,1016781,1
271,1016771,1
272,1016741,1
273,1016761,1
274,1023361,1
276,1010561,1
277,1005801,1
278,1015201,1
279,1015591,1
280,1019491,1
281,1023691,1
282,1023701,1
283,1023641,1
284,1023711,1
285,1023671,1
286,1023661,1
287,1023651,1
288,1023681,1
289,1008421,1
290,1008431,1
291,1010571,1
292,1010581,1
293,1010831,1
294,1009251,1
295,1009261,1
296,1009241,1
297,1011851,1
298,1023461,1
299,1023491,1
300,1023911,1
301,1016031,1
302,1016051,1
303,1023931,1
304,1023951,1
305,1023771,1
306,1024021,1
307,1023981,1
308,1019091,1
309,1019171,1
310,1019221,1
311,1019201,1
312,1019241,1
313,1024061,1
314,1024011,1
315,1019851,1
316,1019901,1
317,1024291,1
318,1024381,1
319,1019861,1
320,1019881,1
321,1019891,1
322,1023631,1
323,1024441,1
324,1024271,1
326,1024041,1
327,1009731,1
328,1009741,1
329,1009721,1
330,1021081,1
331,1024031,1
332,1024991,1
333,1024091,1
334,1014191,1
335,1014181,1
336,1014461,1
337,1014061,1
339,1025131,1
340,1025141,1
341,1009101,1
342,1025111,1
343,1025211,1
344,1025161,1
345,1025171,1
346,1025181,1
347,1025191,1
348,1025201,1
349,1018061,1
350,1015311,1
351,1015291,1
352,1025151,1
353,1025071,1
354,1010991,1
355,1010971,1
356,1010981,1
357,1010951,1
358,1010961,1
359,1025511,1
360,1025531,1
361,1023161,1
362,1025471,1
363,1025091,1
364,1010301,1
365,1010311,1
366,1010321,1
367,1017281,1
368,1017301,1
369,1018301,1
370,1018321,1
371,1018331,1
372,1018341,1
373,1018361,1
374,1018461,1
375,1017261,1
376,1017371,1
377,1018401,1
378,1020891,1
379,1023331,1
380,1025801,1
381,1010251,1
382,1010271,1
383,1026051,1
384,1025601,1
385,1009941,1
386,1011151,1
387,1011391,1
388,1013321,1
389,1026331,1
390,1026201,1
391,1026341,1
392,1026351,1
393,1014111,1
394,1020171,1
395,1026251,1
396,1012331,1
397,1013601,1
