id,sound_effect_set_id,sound_effect_id,start_offset_millisecond
1,1,1018,1000
2,1,1035,2000
3,1,1035,3000
4,1,1018,4000
5,1,1035,5000
6,1,1036,6000
7,1,1036,6000
8,1,1026,7000
9,2,0,0
10,3,1018,1000
11,3,1035,2000
12,3,1035,3000
13,3,1036,4000
14,3,1035,5000
15,3,1036,5500
16,3,1018,6000
17,3,40,7000
18,4,0,0
19,5,1035,500
20,5,9,2000
21,5,3,3500
22,5,1018,4100
23,5,8,5000
24,5,13,6800
25,6,1018,500
26,6,1041,2000
27,6,19,3000
28,6,20,3800
29,6,1060,5000
30,7,9,200
31,8,1018,250
32,8,1030,1250
33,8,1035,2000
34,8,15,3200
35,8,3,4800
36,9,1018,250
37,9,1015,1100
38,9,1064,1400
39,9,31,1900
40,9,1070,3300
41,9,9,4200
42,9,8,5300
43,9,1068,6900
44,10,17,660
45,10,1035,1330
46,10,9,1930
47,10,1018,2700
48,10,3,3560
49,11,1047,250
50,11,1018,1100
51,11,1035,1650
52,12,1050,250
53,12,1018,1100
54,12,1035,1650
55,13,1049,250
56,13,1018,750
57,13,1060,1650
58,13,1035,2200
59,14,1018,250
60,14,1035,1100
61,14,17,2150
62,14,1040,3350
63,14,1026,4350
64,14,40,5500
65,15,1047,250
66,15,1018,1100
67,15,1035,1650
68,16,1050,250
69,16,1018,1100
70,16,1035,1650
71,17,1064,250
72,17,1018,750
73,17,1060,1650
74,17,1035,2200
75,18,1018,250
76,18,1035,1250
77,18,1049,2150
78,18,1040,3700
79,18,1042,4400
80,18,1068,5650
81,19,1018,300
82,19,44,1300
83,19,49,2060
84,19,49,2640
85,19,49,3220
86,19,8,3800
87,19,1072,4700
88,19,31,5400
89,19,17,6000
90,19,1035,7000
91,20,1018,300
92,20,44,1300
93,20,49,2060
94,20,49,2640
95,20,49,3220
96,20,8,3800
97,20,1072,4700
98,20,31,5400
99,20,17,6000
100,20,1035,7000
101,21,1018,300
102,21,44,1300
103,21,49,2060
104,21,49,2640
105,21,49,3220
106,21,8,3800
107,21,1072,4700
108,21,31,5400
109,21,17,6000
110,21,1060,7000
111,22,1018,466
112,22,1037,1500
113,22,1022,3033
114,22,1019,4300
115,22,3,5633
116,23,1044,0
117,23,1018,698
118,23,1018,2128
119,23,1072,2760
120,23,1067,4084
121,24,1044,0
122,24,1018,698
123,24,1018,2128
124,24,1072,2760
125,24,1024,4084
126,25,1018,531
127,25,24,1800
128,25,24,1920
129,25,24,2040
130,25,32,2160
131,25,44,2622
132,25,1073,3196
133,25,17,4049
134,25,40,5902
135,26,1047,250
136,26,1018,1100
137,26,1035,1650
138,27,1050,250
139,27,1018,1100
140,27,1035,1650
141,28,1049,250
142,28,1018,750
143,28,1060,1650
144,28,1035,2200
145,29,1018,250
146,29,1035,1100
147,29,17,2150
148,29,1040,3350
149,29,1026,4350
150,29,40,5500
151,31,1018,156
152,31,1042,508
153,31,32,1859
154,31,32,2922
155,31,1003,4110
156,31,1048,4330
157,31,1048,4510
158,31,1048,4690
159,31,1048,4870
160,31,1048,5050
161,31,17,5225
162,31,3,7138
163,32,1018,0
164,32,1035,1000
165,32,1004,1900
166,32,1021,2700
167,32,1036,3100
168,32,1036,3500
169,32,1036,3900
170,30,1018,66
171,30,1021,1328
172,30,1023,2589
173,30,17,3486
174,30,1036,6142
175,30,1036,6507
176,30,1036,6872
177,30,1036,7237
178,30,1036,7602
179,33,1008,0
180,33,1008,980
181,33,1023,1301
182,33,1018,1560
183,33,1064,2324
184,33,1042,3686
185,33,1021,4116
186,33,8,5780
187,33,3,6342
188,34,44,498
189,34,1035,1328
190,34,1018,2490
191,34,17,3519
192,34,8,4715
193,34,8,5379
194,34,1008,6109
195,34,3,7138
