id,budokai_id,priority,player_description,announcer_description,additional_hp_percent,max_hp_percent,additional_atk_percent,max_atk_percent,additional_def_percent,max_def_percent,additional_point_percent
221,15,1,頑張るぞー！,"ありがとうございました！
それでは
張り切ってまいりましょう!!",0,1900,0,100,0,150,50
222,15,2,いっちょやってみっか！,"元気があって良いですね！
それでは
張り切ってまいりましょう!!",100,1900,10,100,10,150,100
223,15,3,わくわくするぞ！！,"やる気満々の様子ですね!!
果たして誰が優勝するのか!?
全世界がこの大会に
注目しております!!",200,1900,15,100,120,150,150
224,15,4,さっさとかかってこい！,"すでに準備は
万全というところでしょうか!!
対戦相手もやるき満々の様子です!!",300,1900,20,100,30,150,200
225,15,5,お前の負けだ…ごくあっさりとな…,"おっと！「勝ち」を
宣告いたしました…いったい、
どんなスゴイ技がとびだすのでしょう！
全く予想もつきません!!",400,1900,25,100,50,150,250
226,15,6,悪いな…オレの勝ちだ,"なんと!!ここで
勝利宣言です!!対戦相手も
やる気十分!!白熱した試合が
繰り広げられそうです!!",500,1900,30,100,70,150,400
227,15,7,どいつから片付けてやるかな,"なんという自信!!
これには対戦相手も
ヒートアップしているようです!!!",700,1900,40,100,90,150,600
228,15,8,左手だけで戦ってあげましょう,"絶対の自信が伺えますね！
果たして世界の頂点に立つのは
誰なのか!?その答えはこの大会で
あきらかになります!!",900,1900,50,100,110,150,900
229,15,9,消えろ…ぶっとばされんうちにな！,"果たして今大会の
優勝者は誰になるのか!?全く想像も
つきません!!非常にハイレベルな
試合になりそうです!!",1400,1900,75,100,130,150,1400
230,15,10,さてと！フルパワーでいくかな！,"おーっと！ものすごい気迫だ！
それを受けて対戦相手も気合十分の
様子！どんな激しい闘いが見れるのか
楽しみになってまいりましたー!",1900,1900,100,100,150,150,1900
231,16,1,頑張るぞー！,"ありがとうございました！
それでは
張り切ってまいりましょう!!",0,1900,0,100,0,150,0
232,16,2,いっちょやってみっか！,"元気があって良いですね！
それでは
張り切ってまいりましょう!!",100,1900,10,100,10,150,100
233,16,3,わくわくするぞ！！,"やる気満々の様子ですね!!
果たして誰が優勝するのか!?
全世界がこの大会に
注目しております!!",200,1900,15,100,120,150,150
234,16,4,さっさとかかってこい！,"すでに準備は
万全というところでしょうか!!
対戦相手もやるき満々の様子です!!",300,1900,20,100,30,150,200
235,16,5,お前の負けだ…ごくあっさりとな…,"おっと！「勝ち」を
宣告いたしました…いったい、
どんなスゴイ技がとびだすのでしょう！
全く予想もつきません!!",400,1900,25,100,50,150,250
236,16,6,悪いな…オレの勝ちだ,"なんと!!ここで
勝利宣言です!!対戦相手も
やる気十分!!白熱した試合が
繰り広げられそうです!!",500,1900,30,100,70,150,400
237,16,7,どいつから片付けてやるかな,"なんという自信!!
これには対戦相手も
ヒートアップしているようです!!!",700,1900,40,100,90,150,600
238,16,8,左手だけで戦ってあげましょう,"絶対の自信が伺えますね！
果たして世界の頂点に立つのは
誰なのか!?その答えはこの大会で
あきらかになります!!",900,1900,50,100,110,150,900
239,16,9,消えろ…ぶっとばされんうちにな！,"果たして今大会の
優勝者は誰になるのか!?全く想像も
つきません!!非常にハイレベルな
試合になりそうです!!",1400,1900,75,100,130,150,1400
240,16,10,さてと！フルパワーでいくかな！,"おーっと！ものすごい気迫だ！
それを受けて対戦相手も気合十分の
様子！どんな激しい闘いが見れるのか
楽しみになってまいりましたー!",1900,1900,100,100,150,150,1900
1701,17,1,頑張るぞー！,"ありがとうございました！
それでは
張り切ってまいりましょう!!",0,1900,0,100,0,150,0
1702,17,2,いっちょやってみっか！,"元気があって良いですね！
それでは
張り切ってまいりましょう!!",100,1900,10,100,10,150,100
1703,17,3,わくわくするぞ！！,"やる気満々の様子ですね!!
果たして誰が優勝するのか!?
全世界がこの大会に
注目しております!!",200,1900,15,100,120,150,150
1704,17,4,さっさとかかってこい！,"すでに準備は
万全というところでしょうか!!
対戦相手もやるき満々の様子です!!",300,1900,20,100,30,150,200
1705,17,5,お前の負けだ…ごくあっさりとな…,"おっと！「勝ち」を
宣告いたしました…いったい、
どんなスゴイ技がとびだすのでしょう！
全く予想もつきません!!",400,1900,25,100,50,150,250
1706,17,6,悪いな…オレの勝ちだ,"なんと!!ここで
勝利宣言です!!対戦相手も
やる気十分!!白熱した試合が
繰り広げられそうです!!",500,1900,30,100,70,150,400
1707,17,7,どいつから片付けてやるかな,"なんという自信!!
これには対戦相手も
ヒートアップしているようです!!!",700,1900,40,100,90,150,600
1708,17,8,左手だけで戦ってあげましょう,"絶対の自信が伺えますね！
果たして世界の頂点に立つのは
誰なのか!?その答えはこの大会で
あきらかになります!!",900,1900,50,100,110,150,900
1709,17,9,消えろ…ぶっとばされんうちにな！,"果たして今大会の
優勝者は誰になるのか!?全く想像も
つきません!!非常にハイレベルな
試合になりそうです!!",1400,1900,75,100,130,150,1400
1710,17,10,さてと！フルパワーでいくかな！,"おーっと！ものすごい気迫だ！
それを受けて対戦相手も気合十分の
様子！どんな激しい闘いが見れるのか
楽しみになってまいりましたー!",1900,1900,100,100,150,150,1900
1801,18,1,頑張るぞー！,"ありがとうございました！
それでは
張り切ってまいりましょう!!",0,1900,0,100,0,150,0
1802,18,2,いっちょやってみっか！,"元気があって良いですね！
それでは
張り切ってまいりましょう!!",100,1900,10,100,10,150,100
1803,18,3,わくわくするぞ！！,"やる気満々の様子ですね!!
果たして誰が優勝するのか!?
全世界がこの大会に
注目しております!!",200,1900,15,100,120,150,150
1804,18,4,さっさとかかってこい！,"すでに準備は
万全というところでしょうか!!
対戦相手もやるき満々の様子です!!",300,1900,20,100,30,150,200
1805,18,5,お前の負けだ…ごくあっさりとな…,"おっと！「勝ち」を
宣告いたしました…いったい、
どんなスゴイ技がとびだすのでしょう！
全く予想もつきません!!",400,1900,25,100,50,150,250
1806,18,6,悪いな…オレの勝ちだ,"なんと!!ここで
勝利宣言です!!対戦相手も
やる気十分!!白熱した試合が
繰り広げられそうです!!",500,1900,30,100,70,150,400
1807,18,7,どいつから片付けてやるかな,"なんという自信!!
これには対戦相手も
ヒートアップしているようです!!!",700,1900,40,100,90,150,600
1808,18,8,左手だけで戦ってあげましょう,"絶対の自信が伺えますね！
果たして世界の頂点に立つのは
誰なのか!?その答えはこの大会で
あきらかになります!!",900,1900,50,100,110,150,900
1809,18,9,消えろ…ぶっとばされんうちにな！,"果たして今大会の
優勝者は誰になるのか!?全く想像も
つきません!!非常にハイレベルな
試合になりそうです!!",1400,1900,75,100,130,150,1400
1810,18,10,さてと！フルパワーでいくかな！,"おーっと！ものすごい気迫だ！
それを受けて対戦相手も気合十分の
様子！どんな激しい闘いが見れるのか
楽しみになってまいりましたー!",1900,1900,100,100,150,150,1900
1901,19,1,頑張るぞー！,"ありがとうございました！
それでは
張り切ってまいりましょう!!",0,1900,0,100,0,150,0
1902,19,2,いっちょやってみっか！,"元気があって良いですね！
それでは
張り切ってまいりましょう!!",100,1900,10,100,10,150,100
1903,19,3,わくわくするぞ！！,"やる気満々の様子ですね!!
果たして誰が優勝するのか!?
全世界がこの大会に
注目しております!!",200,1900,15,100,120,150,150
1904,19,4,さっさとかかってこい！,"すでに準備は
万全というところでしょうか!!
対戦相手もやるき満々の様子です!!",300,1900,20,100,30,150,200
1905,19,5,お前の負けだ…ごくあっさりとな…,"おっと！「勝ち」を
宣告いたしました…いったい、
どんなスゴイ技がとびだすのでしょう！
全く予想もつきません!!",400,1900,25,100,50,150,250
1906,19,6,悪いな…オレの勝ちだ,"なんと!!ここで
勝利宣言です!!対戦相手も
やる気十分!!白熱した試合が
繰り広げられそうです!!",500,1900,30,100,70,150,400
1907,19,7,どいつから片付けてやるかな,"なんという自信!!
これには対戦相手も
ヒートアップしているようです!!!",700,1900,40,100,90,150,600
1908,19,8,左手だけで戦ってあげましょう,"絶対の自信が伺えますね！
果たして世界の頂点に立つのは
誰なのか!?その答えはこの大会で
あきらかになります!!",900,1900,50,100,110,150,900
1909,19,9,消えろ…ぶっとばされんうちにな！,"果たして今大会の
優勝者は誰になるのか!?全く想像も
つきません!!非常にハイレベルな
試合になりそうです!!",1400,1900,75,100,130,150,1400
1910,19,10,さてと！フルパワーでいくかな！,"おーっと！ものすごい気迫だ！
それを受けて対戦相手も気合十分の
様子！どんな激しい闘いが見れるのか
楽しみになってまいりましたー!",1900,1900,100,100,150,150,1900
2001,20,1,頑張るぞー！,"ありがとうございました！
それでは
張り切ってまいりましょう!!",0,2900,0,200,0,300,0
2002,20,2,いっちょやってみっか！,"元気があって良いですね！
それでは
張り切ってまいりましょう!!",100,2900,10,200,10,300,100
2003,20,3,わくわくするぞ！！,"やる気満々の様子ですね!!
果たして誰が優勝するのか!?
全世界がこの大会に
注目しております!!",200,2900,15,200,20,300,150
2004,20,4,さっさとかかってこい！,"すでに準備は
万全というところでしょうか!!
対戦相手もやるき満々の様子です!!",300,2900,20,200,30,300,200
2005,20,5,お前の負けだ…ごくあっさりとな…,"おっと！「勝ち」を
宣告いたしました…いったい、
どんなスゴイ技がとびだすのでしょう！
全く予想もつきません!!",400,2900,25,200,50,300,250
2006,20,6,悪いな…オレの勝ちだ,"なんと!!ここで
勝利宣言です!!対戦相手も
やる気十分!!白熱した試合が
繰り広げられそうです!!",500,2900,30,200,70,300,400
2007,20,7,どいつから片付けてやるかな,"なんという自信!!
これには対戦相手も
ヒートアップしているようです!!!",700,2900,40,200,90,300,600
2008,20,8,左手だけで戦ってあげましょう,"絶対の自信が伺えますね！
果たして世界の頂点に立つのは
誰なのか!?その答えはこの大会で
あきらかになります!!",900,2900,50,200,110,300,900
2009,20,9,消えろ…ぶっとばされんうちにな！,"果たして今大会の
優勝者は誰になるのか!?全く想像も
つきません!!非常にハイレベルな
試合になりそうです!!",1400,2900,75,200,130,300,1400
2010,20,10,さてと！フルパワーでいくかな！,"おーっと！ものすごい気迫だ！
それを受けて対戦相手も気合十分の
様子！どんな激しい闘いが見れるのか
楽しみになってまいりましたー!",1900,2900,100,200,150,300,1900
2011,20,11,優勝する確率は120%かな！,"なんと！はやくも優勝宣言！
それを受けて対戦相手も
激しい闘志を燃やしている模様!!
熱い火花が散っております!!",2400,2900,150,200,200,300,2400
2012,20,12,やはり王者はこのわたしだ！,"おーっと！ものすごい自信だ！
ここにいる全員がそれを目指す中、
我こそが王者だと名乗り出ました！
白熱した試合になりそうです！",2900,2900,200,200,300,300,2900
2101,21,1,頑張るぞー！,"ありがとうございました！
それでは
張り切ってまいりましょう!!",0,2900,0,200,0,300,0
2102,21,2,いっちょやってみっか！,"元気があって良いですね！
それでは
張り切ってまいりましょう!!",100,2900,10,200,10,300,100
2103,21,3,わくわくするぞ！！,"やる気満々の様子ですね!!
果たして誰が優勝するのか!?
全世界がこの大会に
注目しております!!",200,2900,15,200,20,300,150
2104,21,4,さっさとかかってこい！,"すでに準備は
万全というところでしょうか!!
対戦相手もやるき満々の様子です!!",300,2900,20,200,30,300,200
2105,21,5,お前の負けだ…ごくあっさりとな…,"おっと！「勝ち」を
宣告いたしました…いったい、
どんなスゴイ技がとびだすのでしょう！
全く予想もつきません!!",400,2900,25,200,50,300,250
2106,21,6,悪いな…オレの勝ちだ,"なんと!!ここで
勝利宣言です!!対戦相手も
やる気十分!!白熱した試合が
繰り広げられそうです!!",500,2900,30,200,70,300,400
