id,type,amount
11,Point::Stone,1
12,Point::GashaPoint,1
13,Point::Zeni,1
14,Point::ExchangePoint,1
21,Point::Stone,2
31,Point::Stone,3
41,Point::Stone,4
51,Point::Stone,5
71,Point::Stone,7
101,Point::Stone,10
502,Point::GashaPoint,50
1002,Point::GashaPoint,100
2002,Point::GashaPoint,200
5002,Point::GashaPoint,500
5003,Point::Zeni,500
10002,Point::GashaPoint,1000
10003,Point::Zeni,1000
12003,Point::Zeni,1200
15003,Point::Zeni,1500
20002,Point::GashaPoint,2000
30002,Point::GashaPoint,3000
30003,Point::Zeni,3000
50002,Point::GashaPoint,5000
50003,Point::Zeni,5000
70003,Point::Zeni,7000
100002,Point::GashaPoint,10000
100003,Point::Zeni,10000
125003,Point::Zeni,12500
500003,Point::Zeni,50000
590003,Point::Zeni,59000
1000003,Point::Zeni,100000
10000003,Point::Zeni,1000000
