id,type,category,chapter_id,db_story_id,name,prev_area_id,all_clear_bonus_stones,bgm_id,event_image_path,banner_image_path,listbutton_image_path,is_listbutton_visible,event_priority,announcement_id,is_quest_num_visible,first_released_at,created_at,updated_at
1,Area::MainArea,0,1.0,,暗雲うずまく異次元世界,,1.0,,,,images/home/myp_banner_bouken.png,1,0,,1,,2024-07-30 02:05:01,2024-07-30 02:05:01
2,Area::MainArea,0,1.0,,出現! 究極の生命体!!,,1.0,,,,images/home/myp_banner_bouken.png,1,0,,1,,2024-07-30 02:05:01,2024-07-30 02:05:01
3,Area::MainArea,0,1.0,,戦士たちへのメッセージ,,1.0,,,,images/home/myp_banner_bouken.png,1,0,,1,,2024-07-30 02:05:01,2024-07-30 02:05:01
4,Area::MainArea,0,1.0,,宇宙の帝王と惑星戦士,,1.0,,,,images/home/myp_banner_bouken.png,1,0,,1,,2024-07-30 02:05:01,2024-07-30 02:05:01
5,Area::MainArea,0,1.0,,恐怖のギニュー特戦隊,,1.0,,,,images/home/myp_banner_bouken.png,1,0,,1,,2024-07-30 02:05:01,2024-07-30 02:05:01
6,Area::MainArea,0,1.0,,烈戦! 人造人間!!,,1.0,,,,images/home/myp_banner_bouken.png,1,0,,1,,2024-07-30 02:05:01,2024-07-30 02:05:01
7,Area::MainArea,0,1.0,,強襲! サイヤ人!!,,1.0,,,,images/home/myp_banner_bouken.png,1,0,,1,,2024-07-30 02:05:01,2024-07-30 02:05:01
8,Area::MainArea,0,1.0,,激神フリーザ!,,1.0,,,,images/home/myp_banner_bouken.png,1,0,,1,,2024-07-30 02:05:01,2024-07-30 02:05:01
9,Area::MainArea,0,1.0,,目覚めしサイヤ人の王子,,1.0,,,,images/home/myp_banner_bouken.png,1,0,,1,,2024-07-30 02:05:01,2024-07-30 02:05:01
10,Area::MainArea,0,2.0,,レッドリボン軍の暗躍,,1.0,,,,images/home/myp_banner_bouken_010.png,1,0,,1,,2024-07-30 02:05:01,2024-07-30 02:05:01
11,Area::MainArea,0,2.0,,未知のサイヤ人,,1.0,,,,images/home/myp_banner_bouken_011.png,1,0,,1,,2024-07-30 02:05:01,2024-07-30 02:05:01
12,Area::MainArea,0,2.0,,恐怖の再来,,1.0,,,,images/home/myp_banner_bouken_012.png,1,0,,1,,2024-07-30 02:05:01,2024-07-30 02:05:01
13,Area::MainArea,0,2.0,,衝突する戦士たち,,1.0,,,,images/home/myp_banner_bouken_013.png,1,0,,1,,2024-07-30 02:05:01,2024-07-30 02:05:01
14,Area::MainArea,0,2.0,,最強の人造人間!?,,1.0,,,,images/home/myp_banner_bouken_014.png,1,0,,1,,2024-07-30 02:05:01,2024-07-30 02:05:01
15,Area::MainArea,0,2.0,,歪む運命,,1.0,,,,images/home/myp_banner_bouken.png,1,0,,1,,2024-07-30 02:05:01,2024-07-30 02:05:01
16,Area::MainArea,0,3.0,,それぞれの再会,,1.0,,,,images/home/myp_banner_bouken.png,1,0,,1,,2024-07-30 02:05:01,2024-07-30 02:05:01
17,Area::MainArea,0,3.0,,戦慄のフリーザ！,,1.0,,,,images/home/myp_banner_bouken.png,1,0,,1,,2024-07-30 02:05:01,2024-07-30 02:05:01
18,Area::MainArea,0,3.0,,地上最大の攻防,,1.0,,,,images/home/myp_banner_bouken.png,1,0,,1,,2024-07-30 02:05:01,2024-07-30 02:05:01
19,Area::MainArea,0,3.0,,阻止せよ!魔人復活,,1.0,,,,images/home/myp_banner_bouken.png,1,0,,1,,2024-07-30 02:05:01,2024-07-30 02:05:01
20,Area::MainArea,0,3.0,,邪悪な野望,,1.0,,,,images/home/myp_banner_bouken.png,1,0,,1,,2024-07-30 02:05:01,2024-07-30 02:05:01
21,Area::MainArea,0,3.0,,激闘の予兆,,1.0,,,,images/home/myp_banner_bouken.png,1,0,,1,,2024-07-30 02:05:01,2024-07-30 02:05:01
22,Area::MainArea,0,4.0,,新たな災い,,1.0,,,,images/home/myp_banner_bouken.png,1,0,,1,,2024-07-30 02:05:01,2024-07-30 02:05:01
23,Area::MainArea,0,4.0,,阻止せよ！セルの完全体,,1.0,,,,images/home/myp_banner_bouken.png,1,0,,1,,2024-07-30 02:05:01,2024-07-30 02:05:01
