id,battle_param_value,name,created_at,updated_at
1,1,変身,2024-05-29 02:30:45,2024-05-29 02:30:45
2,2,合体,2024-05-29 02:30:45,2024-05-29 02:30:45
3,3,融合,2024-05-29 02:30:45,2024-05-29 02:30:45
4,4,同化,2024-05-29 02:30:45,2024-05-29 02:30:45
5,5,吸収,2024-05-29 02:30:45,2024-05-29 02:30:45
6,6,寄生,2024-05-29 02:30:45,2024-05-29 02:30:45
7,7,覚醒,2024-05-29 02:30:45,2024-05-29 02:30:45
8,8,強化,2024-05-29 02:30:45,2024-05-29 02:30:45
9,9,進化,2024-05-29 02:30:45,2024-05-29 02:30:45
10,10,異形化,2024-05-29 02:30:45,2024-05-29 02:30:45
11,11,交代,2024-05-29 02:30:45,2024-05-29 02:30:45
12,12,若返り,2024-05-29 02:30:45,2024-05-29 02:30:45
13,13,解除,2024-05-29 02:30:45,2024-05-29 02:30:45
14,14,大猿化,2024-05-29 02:30:45,2024-05-29 02:30:45
15,15,幻魔人,2024-05-29 02:30:45,2024-05-29 02:30:45
16,16,巨大化,2024-05-29 02:30:45,2024-05-29 02:30:45
17,17,コア,2024-05-29 02:30:45,2024-05-29 02:30:45
18,18,激怒,2024-05-29 02:30:45,2024-05-29 02:30:45
19,19,復活,2024-05-29 02:30:45,2024-05-29 02:30:45
20,20,着替え,2024-05-29 02:30:45,2024-05-29 02:30:45
21,21,チェンジ,2024-05-29 02:30:45,2024-05-29 02:30:45
22,22,奮起,2024-05-29 02:30:45,2024-05-29 02:30:45
23,23,スタンバイ,2024-05-29 02:30:45,2024-05-29 02:30:45
24,24,フィニッシュ,2024-05-29 02:30:45,2024-05-29 02:30:45
25,25,宇宙化,2024-05-29 02:30:45,2024-05-29 02:30:45
26,26,寝覚め,2024-05-29 02:30:45,2024-05-29 02:30:45
27,27,分身,2024-05-29 02:30:45,2024-05-29 02:30:45
