id,name,priority
1,ATK上昇,1000
2,DEF上昇,990
3,HP上昇,980
4,気力上昇,970
5,ATK低下,960
6,DEF低下,950
7,全体強化,940
8,属性強化,930
9,カテゴリ強化,920
10,全体必殺技,910
11,必殺技封じ,900
12,気絶,890
13,変身,880
14,巨大化,870
15,激怒,860
16,カウンター,850
17,効果抜群攻撃,840
18,ダメージ軽減,830
19,ガード,820
20,ガード無効化,810
21,必殺技察知,800
22,会心,790
23,気玉変化,780
24,気玉ATK上昇,770
25,気玉DEF上昇,760
26,気玉回復,750
27,気玉気力上昇,740
28,連続攻撃,730
29,回避,720
30,回復,710
31,状態異常無効化,700
32,アンチK.O.,690
33,必中,725
34,状態異常回復,705
35,気玉ダメージ軽減率上昇,739
36,気玉会心率上昇,738
37,気玉回避率上昇,737
38,足止め,885
39,復活,680
40,吸収/無効,825
41,行動無効化,888
42,ターゲット集中,795
