id,card_id,skill_lv,condition,probability,created_at,updated_at
6,1003970,1,0,100,2019-12-10 21:01:21,2019-12-10 21:01:21
7,1009850,1,0,100,2019-12-10 21:01:21,2019-12-10 21:01:21
8,1012230,1,1,100,2019-12-10 21:01:21,2019-12-10 21:01:21
9,1012240,1,1,100,2019-12-10 21:01:21,2019-12-10 21:01:21
10,1012250,1,1,100,2019-12-10 21:01:21,2019-12-10 21:01:21
11,1012260,1,1,100,2019-12-10 21:01:21,2019-12-10 21:01:21
12,1012270,1,1,100,2019-12-10 21:01:21,2019-12-10 21:01:21
13,1013400,1,0,30,2019-12-10 21:01:21,2019-12-10 21:01:21
14,1015860,1,0,100,2019-12-10 21:01:21,2019-12-10 21:01:21
15,1018550,1,0,100,2019-12-10 21:01:21,2019-12-10 21:01:21
16,1021510,1,0,100,2020-12-14 02:03:45,2020-12-14 02:03:45
