id,budokai_id,round,created_at,updated_at
1,1,1,2024-06-17 02:02:15,2024-06-17 02:02:15
2,1,2,2024-06-17 02:02:15,2024-06-17 02:02:15
3,1,3,2024-06-17 02:02:15,2024-06-17 02:02:15
4,1,4,2024-06-17 02:02:15,2024-06-17 02:02:15
5,1,5,2024-06-17 02:02:15,2024-06-17 02:02:15
6,1,6,2024-06-17 02:02:15,2024-06-17 02:02:15
7,2,1,2024-06-17 02:02:15,2024-06-17 02:02:15
8,2,2,2024-06-17 02:02:15,2024-06-17 02:02:15
9,2,3,2024-06-17 02:02:15,2024-06-17 02:02:15
10,2,4,2024-06-17 02:02:15,2024-06-17 02:02:15
11,2,5,2024-06-17 02:02:15,2024-06-17 02:02:15
12,3,1,2024-06-17 02:02:15,2024-06-17 02:02:15
13,3,2,2024-06-17 02:02:15,2024-06-17 02:02:15
14,3,3,2024-06-17 02:02:15,2024-06-17 02:02:15
15,3,4,2024-06-17 02:02:15,2024-06-17 02:02:15
16,4,1,2024-06-17 02:02:15,2024-06-17 02:02:15
17,4,2,2024-06-17 02:02:15,2024-06-17 02:02:15
18,4,3,2024-06-17 02:02:15,2024-06-17 02:02:15
19,4,4,2024-06-17 02:02:15,2024-06-17 02:02:15
20,5,1,2024-06-17 02:02:15,2024-06-17 02:02:15
21,5,2,2024-06-17 02:02:15,2024-06-17 02:02:15
22,5,3,2024-06-17 02:02:15,2024-06-17 02:02:15
23,5,4,2024-06-17 02:02:15,2024-06-17 02:02:15
24,6,1,2024-06-17 02:02:15,2024-06-17 02:02:15
25,6,2,2024-06-17 02:02:15,2024-06-17 02:02:15
26,6,3,2024-06-17 02:02:15,2024-06-17 02:02:15
27,6,4,2024-06-17 02:02:15,2024-06-17 02:02:15
28,7,1,2024-06-17 02:02:15,2024-06-17 02:02:15
29,7,2,2024-06-17 02:02:15,2024-06-17 02:02:15
30,7,3,2024-06-17 02:02:15,2024-06-17 02:02:15
31,7,4,2024-06-17 02:02:15,2024-06-17 02:02:15
32,8,1,2024-06-17 02:02:15,2024-06-17 02:02:15
33,8,2,2024-06-17 02:02:15,2024-06-17 02:02:15
34,8,3,2024-06-17 02:02:15,2024-06-17 02:02:15
35,8,4,2024-06-17 02:02:15,2024-06-17 02:02:15
36,9,1,2024-06-17 02:02:15,2024-06-17 02:02:15
37,9,2,2024-06-17 02:02:15,2024-06-17 02:02:15
38,9,3,2024-06-17 02:02:15,2024-06-17 02:02:15
39,9,4,2024-06-17 02:02:15,2024-06-17 02:02:15
40,10,1,2024-06-17 02:02:15,2024-06-17 02:02:15
41,10,2,2024-06-17 02:02:15,2024-06-17 02:02:15
42,10,3,2024-06-17 02:02:15,2024-06-17 02:02:15
43,10,4,2024-06-17 02:02:15,2024-06-17 02:02:15
44,11,1,2024-06-17 02:02:15,2024-06-17 02:02:15
45,11,2,2024-06-17 02:02:15,2024-06-17 02:02:15
46,11,3,2024-06-17 02:02:15,2024-06-17 02:02:15
47,11,4,2024-06-17 02:02:15,2024-06-17 02:02:15
48,12,1,2024-06-17 02:02:15,2024-06-17 02:02:15
49,12,2,2024-06-17 02:02:15,2024-06-17 02:02:15
50,12,3,2024-06-17 02:02:15,2024-06-17 02:02:15
51,12,4,2024-06-17 02:02:15,2024-06-17 02:02:15
52,13,1,2024-06-17 02:02:15,2024-06-17 02:02:15
53,13,2,2024-06-17 02:02:15,2024-06-17 02:02:15
54,13,3,2024-06-17 02:02:15,2024-06-17 02:02:15
55,13,4,2024-06-17 02:02:15,2024-06-17 02:02:15
56,14,1,2024-06-17 02:02:15,2024-06-17 02:02:15
57,14,2,2024-06-17 02:02:15,2024-06-17 02:02:15
58,14,3,2024-06-17 02:02:15,2024-06-17 02:02:15
59,14,4,2024-06-17 02:02:15,2024-06-17 02:02:15
60,15,1,2024-06-17 02:02:15,2024-06-17 02:02:15
61,15,2,2024-06-17 02:02:15,2024-06-17 02:02:15
62,15,3,2024-06-17 02:02:15,2024-06-17 02:02:15
63,15,4,2024-06-17 02:02:15,2024-06-17 02:02:15
64,16,1,2024-06-17 02:02:15,2024-06-17 02:02:15
65,16,2,2024-06-17 02:02:15,2024-06-17 02:02:15
66,16,3,2024-06-17 02:02:15,2024-06-17 02:02:15
67,16,4,2024-06-17 02:02:15,2024-06-17 02:02:15
171,17,1,2024-06-17 02:02:15,2024-06-17 02:02:15
172,17,2,2024-06-17 02:02:15,2024-06-17 02:02:15
173,17,3,2024-06-17 02:02:15,2024-06-17 02:02:15
174,17,4,2024-06-17 02:02:15,2024-06-17 02:02:15
181,18,1,2024-06-17 02:02:15,2024-06-17 02:02:15
182,18,2,2024-06-17 02:02:15,2024-06-17 02:02:15
183,18,3,2024-06-17 02:02:15,2024-06-17 02:02:15
184,18,4,2024-06-17 02:02:15,2024-06-17 02:02:15
191,19,1,2024-06-17 02:02:15,2024-06-17 02:02:15
192,19,2,2024-06-17 02:02:15,2024-06-17 02:02:15
193,19,3,2024-06-17 02:02:15,2024-06-17 02:02:15
194,19,4,2024-06-17 02:02:15,2024-06-17 02:02:15
201,20,1,2024-06-17 02:02:15,2024-06-17 02:02:15
202,20,2,2024-06-17 02:02:15,2024-06-17 02:02:15
203,20,3,2024-06-17 02:02:15,2024-06-17 02:02:15
204,20,4,2024-06-17 02:02:15,2024-06-17 02:02:15
211,21,1,2024-06-17 02:02:15,2024-06-17 02:02:15
212,21,2,2024-06-17 02:02:15,2024-06-17 02:02:15
213,21,3,2024-06-17 02:02:15,2024-06-17 02:02:15
214,21,4,2024-06-17 02:02:15,2024-06-17 02:02:15
221,22,1,2024-06-17 02:02:15,2024-06-17 02:02:15
222,22,2,2024-06-17 02:02:15,2024-06-17 02:02:15
223,22,3,2024-06-17 02:02:15,2024-06-17 02:02:15
224,22,4,2024-06-17 02:02:15,2024-06-17 02:02:15
231,23,1,2024-06-17 02:02:15,2024-06-17 02:02:15
232,23,2,2024-06-17 02:02:15,2024-06-17 02:02:15
233,23,3,2024-06-17 02:02:15,2024-06-17 02:02:15
234,23,4,2024-06-17 02:02:15,2024-06-17 02:02:15
241,24,1,2024-06-17 02:02:15,2024-06-17 02:02:15
242,24,2,2024-06-17 02:02:15,2024-06-17 02:02:15
243,24,3,2024-06-17 02:02:15,2024-06-17 02:02:15
244,24,4,2024-06-17 02:02:15,2024-06-17 02:02:15
251,25,1,2024-06-17 02:02:15,2024-06-17 02:02:15
252,25,2,2024-06-17 02:02:15,2024-06-17 02:02:15
253,25,3,2024-06-17 02:02:15,2024-06-17 02:02:15
254,25,4,2024-06-17 02:02:15,2024-06-17 02:02:15
261,26,1,2024-06-17 02:02:15,2024-06-17 02:02:15
262,26,2,2024-06-17 02:02:15,2024-06-17 02:02:15
263,26,3,2024-06-17 02:02:15,2024-06-17 02:02:15
264,26,4,2024-06-17 02:02:15,2024-06-17 02:02:15
271,27,1,2024-06-17 02:02:15,2024-06-17 02:02:15
272,27,2,2024-06-17 02:02:15,2024-06-17 02:02:15
273,27,3,2024-06-17 02:02:15,2024-06-17 02:02:15
274,27,4,2024-06-17 02:02:15,2024-06-17 02:02:15
281,28,1,2024-06-17 02:02:15,2024-06-17 02:02:15
282,28,2,2024-06-17 02:02:15,2024-06-17 02:02:15
283,28,3,2024-06-17 02:02:15,2024-06-17 02:02:15
284,28,4,2024-06-17 02:02:15,2024-06-17 02:02:15
291,29,1,2024-06-17 02:02:15,2024-06-17 02:02:15
292,29,2,2024-06-17 02:02:15,2024-06-17 02:02:15
293,29,3,2024-06-17 02:02:15,2024-06-17 02:02:15
294,29,4,2024-06-17 02:02:15,2024-06-17 02:02:15
301,30,1,2024-06-17 02:02:15,2024-06-17 02:02:15
302,30,2,2024-06-17 02:02:15,2024-06-17 02:02:15
303,30,3,2024-06-17 02:02:15,2024-06-17 02:02:15
304,30,4,2024-06-17 02:02:15,2024-06-17 02:02:15
311,31,1,2024-06-17 02:02:15,2024-06-17 02:02:15
312,31,2,2024-06-17 02:02:15,2024-06-17 02:02:15
313,31,3,2024-06-17 02:02:15,2024-06-17 02:02:15
314,31,4,2024-06-17 02:02:15,2024-06-17 02:02:15
321,32,1,2024-06-17 02:02:15,2024-06-17 02:02:15
322,32,2,2024-06-17 02:02:15,2024-06-17 02:02:15
323,32,3,2024-06-17 02:02:15,2024-06-17 02:02:15
324,32,4,2024-06-17 02:02:15,2024-06-17 02:02:15
331,33,1,2024-06-17 02:02:15,2024-06-17 02:02:15
332,33,2,2024-06-17 02:02:15,2024-06-17 02:02:15
333,33,3,2024-06-17 02:02:15,2024-06-17 02:02:15
334,33,4,2024-06-17 02:02:15,2024-06-17 02:02:15
341,34,1,2024-06-17 02:02:15,2024-06-17 02:02:15
342,34,2,2024-06-17 02:02:15,2024-06-17 02:02:15
343,34,3,2024-06-17 02:02:15,2024-06-17 02:02:15
344,34,4,2024-06-17 02:02:15,2024-06-17 02:02:15
351,35,1,2024-06-17 02:02:15,2024-06-17 02:02:15
352,35,2,2024-06-17 02:02:15,2024-06-17 02:02:15
353,35,3,2024-06-17 02:02:15,2024-06-17 02:02:15
354,35,4,2024-06-17 02:02:15,2024-06-17 02:02:15
361,36,1,2024-06-17 02:02:15,2024-06-17 02:02:15
362,36,2,2024-06-17 02:02:15,2024-06-17 02:02:15
363,36,3,2024-06-17 02:02:15,2024-06-17 02:02:15
364,36,4,2024-06-17 02:02:15,2024-06-17 02:02:15
