id,area_id,name,prev_quest_id,any_clear_bonus_stones,all_clear_bonus_stones,visit_count_max,interval_reset_visited_days,can_ignore_difficulty_order,limitation_announcement_id,boostable,start_at,enable_sugoroku_auto,enable_battle_auto
1,10001,武道会場へ!,,,,,,0,,0,2015-10-30 00:00:00,1,1
1000,1,次元の歪み,,1.0,,,,1,,1,2015-10-30 00:00:00,1,1
1001,1,武道会終了…そして…,,1.0,,,,1,,1,2015-10-30 00:00:00,1,1
1002,1,追跡!桃白白,,1.0,,,,1,,1,2015-10-30 00:00:00,1,1
1003,1,世界一の殺し屋,,1.0,,,,1,,1,2015-10-30 00:00:00,1,1
1004,1,再調査,,1.0,,,,1,,1,2015-10-30 00:00:00,1,1
1005,1,戦闘民族の侵略,,1.0,,,,1,,1,2015-10-30 00:00:00,1,1
2001,2,絶望的な予感,,1.0,,,,1,,1,2015-10-30 00:00:00,1,1
2002,2,ゴーストタウンの探索,,1.0,,,,1,,1,2015-10-30 00:00:00,1,1
2003,2,謎の気,,1.0,,,,1,,1,2015-10-30 00:00:00,1,1
2004,2,新たなる敵,,1.0,,,,1,,1,2015-10-30 00:00:00,1,1
2005,2,脅威の人造人間セル,,1.0,,,,1,,1,2015-10-30 00:00:00,1,1
3001,3,特攻隊長,,1.0,,,,1,,1,2015-10-30 00:00:00,1,1
3002,3,天下一の武天老師,,1.0,,,,1,,1,2015-10-30 00:00:00,1,1
3003,3,超能力戦士,,1.0,,,,1,,1,2015-10-30 00:00:00,1,1
3004,3,業師クリリン,,1.0,,,,1,,1,2015-10-30 00:00:00,1,1
3005,3,亀仙流体験入門,,1.0,,,,1,,1,2015-10-30 00:00:00,1,1
3006,3,鶴仙流の復讐,,1.0,,,,1,,1,2015-10-30 00:00:00,1,1
3007,3,鶴仙流のプライド,,1.0,,,,1,,1,2015-10-30 00:00:00,1,1
3008,3,誇りを賭けた激闘,,1.0,,,,1,,1,2015-10-30 00:00:00,1,1
4001,4,異星人戦士との遭遇1,,1.0,,,,1,,1,2015-10-30 00:00:00,1,1
4002,4,異星人戦士との遭遇2,,1.0,,,,1,,1,2015-10-30 00:00:00,1,1
4003,4,異星人戦士との遭遇3,,1.0,,,,1,,1,2015-10-30 00:00:00,1,1
4004,4,死を呼ぶ追跡者,,1.0,,,,1,,1,2015-10-30 00:00:00,1,1
4005,4,異星人戦士との遭遇4,,1.0,,,,1,,1,2015-10-30 00:00:00,1,1
4006,4,異星人戦士との遭遇5,,1.0,,,,1,,1,2015-10-30 00:00:00,1,1
4007,4,美戦士ザーボンとの闘い,,1.0,,,,1,,1,2015-10-30 00:00:00,1,1
4008,4,凶悪タッグの逆襲,,1.0,,,,1,,1,2015-10-30 00:00:00,1,1
5001,5,小さな超戦士,,1.0,,,,1,,1,2015-10-30 00:00:00,1,1
5002,5,特訓,,1.0,,,,1,,1,2015-10-30 00:00:00,1,1
5003,5,ピッコロの条件,,1.0,,,,1,,1,2015-10-30 00:00:00,1,1
5004,5,嵐の前,,1.0,,,,1,,1,2015-10-30 00:00:00,1,1
5005,5,サイコキネシス,,1.0,,,,1,,1,2015-10-30 00:00:00,1,1
5006,5,パワーファイター,,1.0,,,,1,,1,2015-10-30 00:00:00,1,1
5007,5,青いハリケーン,,1.0,,,,1,,1,2015-10-30 00:00:00,1,1
5008,5,赤いマグマ,,1.0,,,,1,,1,2015-10-30 00:00:00,1,1
5009,5,パープルコメット,,1.0,,,,1,,1,2015-10-30 00:00:00,1,1
