id,weight_blue,weight_green,weight_purple,weight_red,weight_yellow,weight_rainbow
1,100,100,100,100,100,100
2,100,0,0,0,0,100
3,0,100,100,0,0,100
4,0,0,100,100,100,100
5,100,100,0,100,100,100
6,100,0,100,0,100,0
7,100,100,100,500,100,100
8,0,0,0,0,0,100
9,100,100,100,100,100,0
10,100,100,100,0,100,100
11,100,0,100,100,100,100
12,0,100,100,100,100,100
13,100,100,100,100,0,100
14,100,100,0,100,100,100
15,100,100,100,100,50,100
16,100,50,100,100,100,100
17,50,100,100,100,100,100
18,100,100,50,100,100,100
