id,area_id,rank_range_id,description,priority
1,101,2,仲間を強くしたい！,100
2,102,2,仲間を強くしたい！,100
3,103,2,仲間を強くしたい！,100
4,104,2,仲間を強くしたい！,100
5,105,2,仲間を強くしたい！,100
7,120,2,仲間を強くしたい！,200
10,301,3,人気の物語イベント,200
11,404,3,腕自慢におすすめ,100
12,401,3,新ステージ登場！,100
13,302,3,人気の物語イベント,200
14,405,3,イベントリニューアル,100
15,303,3,人気の物語イベント,200
16,406,3,新ステージ登場！,100
18,408,3,新ステージ登場！,100
22,409,3,新ステージ登場！,200
23,410,3,腕自慢におすすめ,100
24,411,3,新ステージ登場！,200
25,306,3,人気の物語イベント,200
26,412,3,新ステージ登場！,100
27,307,3,人気の物語イベント,200
28,308,3,人気の物語イベント,200
29,309,3,人気の物語イベント,200
30,310,3,人気の物語イベント,200
31,311,3,人気の物語イベント,200
32,312,3,人気の物語イベント,200
33,313,3,人気の物語イベント,200
34,314,3,人気の物語イベント,200
35,315,3,人気の物語イベント,200
36,130,2,仲間を強くしたい！,300
37,413,3,新ステージ登場！,200
40,501,3,超上級者向け！,800
41,414,3,新ステージ登場！,200
42,318,3,人気の物語イベント,200
43,415,3,新ステージ登場！,200
44,502,3,新ステージ登場！,800
45,416,3,腕自慢におすすめ,100
46,417,3,新ステージ登場！,100
47,418,3,腕自慢におすすめ,100
48,503,3,新ステージ登場！,200
49,419,3,腕自慢におすすめ,100
50,319,3,特殊ルールに挑戦！,0
51,106,2,仲間を強くしたい！,100
52,107,2,仲間を強くしたい！,100
53,108,2,仲間を強くしたい！,100
54,109,2,仲間を強くしたい！,100
55,110,2,仲間を強くしたい！,100
56,420,3,新ステージ登場！,100
57,504,3,新ステージ登場！,800
58,421,3,新ステージ登場！,100
59,320,3,覚醒メダルをゲット！,0
61,132,1,仲間を強くしたい！,600
63,111,2,仲間を強くしたい！,100
64,505,3,超上級者向け！,500
65,506,3,超上級者向け！,800
66,422,3,腕自慢におすすめ,100
67,321,3,人気の物語イベント,200
68,507,3,新ステージ登場！,200
70,322,3,人気の物語イベント,200
71,509,3,超上級者向け！,300
72,508,3,新ステージ登場！,800
73,323,3,人気の物語イベント,200
74,510,3,超上級者向け！,300
85,324,3,人気の物語イベント,200
86,511,3,新ステージ登場！,1080
87,136,1,30th記念！特別編,500
88,136,2,30th記念！特別編,500
89,136,3,30th記念！特別編,500
90,132,2,仲間を強くしたい！,450
91,132,3,仲間を強くしたい！,450
92,601,3,超上級者向け！,600
93,512,3,新ステージ登場！,500
94,135,3,ランクをあげよう！,505
95,325,1,キャベを仲間に！,200
96,325,2,キャベを仲間に！,200
97,325,3,キャベを仲間に！,200
98,513,3,新ステージ登場！,800
99,514,3,新ステージ登場！,800
