id,level_bg_id,name,description,rarity,zeni,selling_exchange_point,exp,elements,multiplier,addend,card_training_field_exp_up_prob_id
1,33,荒野,"通常の修業場所。
修業場所を変更することで獲得経験値が増加。",0,0,0,0,0,1.0,0,
2,34,カリン塔,"修業相手1体、修業アイテム1種類につき
獲得経験値10000増加",0,10000,2,0,0,1.0,10000,
3,10,神様の神殿,"修業相手1体、修業アイテム1種類につき
獲得経験値20000増加",1,20000,4,0,0,1.0,20000,
4,35,蛇の道,"修業相手1体、修業アイテム1種類につき
獲得経験値30000増加",2,30000,8,0,0,1.0,30000,
5,11,界王星(10倍重力),修業が必ず大成功になる。,2,5000,20,0,0,1.0,0,1.0
6,36,重力室(50倍重力),修業が必ず超成功になる。,3,10000,30,0,0,1.0,0,2.0
7,37,重力室(150倍重力),修業が必ず超大成功になる。,3,15000,100,0,0,1.0,0,3.0
8,3,界王神界,"修業相手1体、修業アイテム1種類につき
獲得経験値50000増加",3,50000,40,0,0,1.0,50000,
11,43,ビルスの星,"修業相手1体、修業アイテム1種類につき
獲得経験値70000増加",3,70000,50,0,0,1.0,70000,
12,143,重力室(300倍重力),"修業相手など1体につき経験値
40000増加し、修業が超大成功",3,55000,130,0,0,1.0,40000,3.0
13,13,精神と時の部屋,"修業相手など1体につき経験値
90000増加し、修業が超大成功",3,105000,160,0,0,1.0,90000,3.0
