id,equipment_skill_limitation_set_id,type,conditions,created_at,updated_at
1,1,EquipmentSkillLimitation::ElementLimitation,"{""element_bitpattern"": 1}",2024-07-30 02:05:25,2024-07-30 02:05:25
2,2,EquipmentSkillLimitation::ElementLimitation,"{""element_bitpattern"": 2}",2024-07-30 02:05:25,2024-07-30 02:05:25
3,3,EquipmentSkillLimitation::ElementLimitation,"{""element_bitpattern"": 4}",2024-07-30 02:05:25,2024-07-30 02:05:25
4,4,EquipmentSkillLimitation::ElementLimitation,"{""element_bitpattern"": 8}",2024-07-30 02:05:25,2024-07-30 02:05:25
5,5,EquipmentSkillLimitation::ElementLimitation,"{""element_bitpattern"": 16}",2024-07-30 02:05:25,2024-07-30 02:05:25
6,6,EquipmentSkillLimitation::ElementLimitation,"{""element_bitpattern"": 31}",2024-07-30 02:05:25,2024-07-30 02:05:25
7,7,EquipmentSkillLimitation::ElementLimitation,"{""element_bitpattern"": 4096}",2024-07-30 02:05:25,2024-07-30 02:05:25
8,8,EquipmentSkillLimitation::ElementLimitation,"{""element_bitpattern"": 8192}",2024-07-30 02:05:25,2024-07-30 02:05:25
9,9,EquipmentSkillLimitation::ElementLimitation,"{""element_bitpattern"": 16384}",2024-07-30 02:05:25,2024-07-30 02:05:25
10,10,EquipmentSkillLimitation::ElementLimitation,"{""element_bitpattern"": 32768}",2024-07-30 02:05:25,2024-07-30 02:05:25
11,11,EquipmentSkillLimitation::ElementLimitation,"{""element_bitpattern"": 65536}",2024-07-30 02:05:25,2024-07-30 02:05:25
12,12,EquipmentSkillLimitation::ElementLimitation,"{""element_bitpattern"": 126976}",2024-07-30 02:05:25,2024-07-30 02:05:25
13,13,EquipmentSkillLimitation::ElementLimitation,"{""element_bitpattern"": 131072}",2024-07-30 02:05:25,2024-07-30 02:05:25
14,14,EquipmentSkillLimitation::ElementLimitation,"{""element_bitpattern"": 262144}",2024-07-30 02:05:25,2024-07-30 02:05:25
15,15,EquipmentSkillLimitation::ElementLimitation,"{""element_bitpattern"": 524288}",2024-07-30 02:05:25,2024-07-30 02:05:25
16,16,EquipmentSkillLimitation::ElementLimitation,"{""element_bitpattern"": 1048576}",2024-07-30 02:05:25,2024-07-30 02:05:25
17,17,EquipmentSkillLimitation::ElementLimitation,"{""element_bitpattern"": 2097152}",2024-07-30 02:05:25,2024-07-30 02:05:25
18,18,EquipmentSkillLimitation::ElementLimitation,"{""element_bitpattern"": 4063232}",2024-07-30 02:05:25,2024-07-30 02:05:25
19,19,EquipmentSkillLimitation::CardUniqueInfoSetLimitation,"{""card_unique_info_set_ids"": [38]}",2024-07-30 02:05:25,2024-07-30 02:05:25
20,20,EquipmentSkillLimitation::CardUniqueInfoSetLimitation,"{""card_unique_info_set_ids"": [39]}",2024-07-30 02:05:25,2024-07-30 02:05:25
21,21,EquipmentSkillLimitation::CardUniqueInfoSetLimitation,"{""card_unique_info_set_ids"": [40]}",2024-07-30 02:05:25,2024-07-30 02:05:25
22,22,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [27]}",2024-07-30 02:05:25,2024-07-30 02:05:25
23,23,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1019161, 1019170, 1019171]}",2024-07-30 02:05:25,2024-07-30 02:05:25
24,24,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1019191, 1019200, 1019201]}",2024-07-30 02:05:25,2024-07-30 02:05:25
25,25,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1019081, 1019090, 1019091]}",2024-07-30 02:05:25,2024-07-30 02:05:25
26,26,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1019231, 1019240, 1019241]}",2024-07-30 02:05:25,2024-07-30 02:05:25
27,27,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1019211, 1019220, 1019221]}",2024-07-30 02:05:25,2024-07-30 02:05:25
28,28,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [1]}",2024-07-30 02:05:25,2024-07-30 02:05:25
29,29,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [2]}",2024-07-30 02:05:25,2024-07-30 02:05:25
30,30,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [4]}",2024-07-30 02:05:25,2024-07-30 02:05:25
31,31,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [5]}",2024-07-30 02:05:25,2024-07-30 02:05:25
32,32,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [7]}",2024-07-30 02:05:25,2024-07-30 02:05:25
33,33,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [8]}",2024-07-30 02:05:25,2024-07-30 02:05:25
34,34,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [9]}",2024-07-30 02:05:25,2024-07-30 02:05:25
35,35,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [10]}",2024-07-30 02:05:25,2024-07-30 02:05:25
36,36,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [22]}",2024-07-30 02:05:25,2024-07-30 02:05:25
37,37,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [6]}",2024-07-30 02:05:25,2024-07-30 02:05:25
38,38,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [12]}",2024-07-30 02:05:25,2024-07-30 02:05:25
39,39,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [13]}",2024-07-30 02:05:25,2024-07-30 02:05:25
40,40,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [23]}",2024-07-30 02:05:25,2024-07-30 02:05:25
41,41,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [15]}",2024-07-30 02:05:25,2024-07-30 02:05:25
42,42,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [16]}",2024-07-30 02:05:25,2024-07-30 02:05:25
43,43,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [19]}",2024-07-30 02:05:25,2024-07-30 02:05:25
44,44,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [20]}",2024-07-30 02:05:25,2024-07-30 02:05:25
45,45,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [21]}",2024-07-30 02:05:25,2024-07-30 02:05:25
46,46,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [17]}",2024-07-30 02:05:25,2024-07-30 02:05:25
47,47,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [14]}",2024-07-30 02:05:25,2024-07-30 02:05:25
48,48,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1013041, 1013050, 1013051]}",2024-07-30 02:05:25,2024-07-30 02:05:25
49,49,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1013061, 1013070, 1013071]}",2024-07-30 02:05:25,2024-07-30 02:05:25
50,50,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1013081, 1013090, 1013091]}",2024-07-30 02:05:25,2024-07-30 02:05:25
51,51,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1013021, 1013030, 1013031]}",2024-07-30 02:05:25,2024-07-30 02:05:25
52,52,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1013001, 1013010, 1013011]}",2024-07-30 02:05:25,2024-07-30 02:05:25
53,53,EquipmentSkillLimitation::CardUniqueInfoSetLimitation,"{""card_unique_info_set_ids"": [17, 30]}",2024-07-30 02:05:25,2024-07-30 02:05:25
54,54,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [22]}",2024-07-30 02:05:25,2024-07-30 02:05:25
55,55,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [24]}",2024-07-30 02:05:25,2024-07-30 02:05:25
56,56,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [26]}",2024-07-30 02:05:25,2024-07-30 02:05:25
57,57,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [29]}",2024-07-30 02:05:25,2024-07-30 02:05:25
58,58,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [30]}",2024-07-30 02:05:25,2024-07-30 02:05:25
59,59,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1011661, 1012390, 1012391, 1011680, 1011681]}",2024-07-30 02:05:25,2024-07-30 02:05:25
60,60,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [31]}",2024-07-30 02:05:25,2024-07-30 02:05:25
61,61,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [29]}",2024-07-30 02:05:25,2024-07-30 02:05:25
62,62,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [16]}",2024-07-30 02:05:25,2024-07-30 02:05:25
63,63,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [33]}",2024-07-30 02:05:25,2024-07-30 02:05:25
64,64,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1019161, 1019170, 1019171, 1019191, 1019200, 1019201, 1019081, 1019090, 1019091, 1019231, 1019240, 1019241, 1019211, 1019220, 1019221]}",2024-07-30 02:05:25,2024-07-30 02:05:25
65,65,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1013041, 1013050, 1013051, 1013061, 1013070, 1013071, 1013081, 1013090, 1013091, 1013021, 1013030, 1013031, 1013001, 1013010, 1013011]}",2024-07-30 02:05:25,2024-07-30 02:05:25
66,66,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [36]}",2024-07-30 02:05:25,2024-07-30 02:05:25
67,67,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1005181, 1010250, 1010251]}",2024-07-30 02:05:25,2024-07-30 02:05:25
68,68,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [46]}",2024-07-30 02:05:25,2024-07-30 02:05:25
69,69,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [47]}",2024-07-30 02:05:25,2024-07-30 02:05:25
70,70,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [88]}",2024-07-30 02:05:25,2024-07-30 02:05:25
71,71,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [48]}",2024-07-30 02:05:25,2024-07-30 02:05:25
72,72,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [90]}",2024-07-30 02:05:25,2024-07-30 02:05:25
73,73,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"": [2, 9]}",2024-07-30 02:05:25,2024-07-30 02:05:25
74,74,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1005271, 1005280, 1005281]}",2024-07-30 02:05:25,2024-07-30 02:05:25
75,75,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1002801, 1005050, 1005051]}",2024-07-30 02:05:25,2024-07-30 02:05:25
76,76,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1009421, 1009430, 1009431]}",2024-07-30 02:05:25,2024-07-30 02:05:25
77,77,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1009821, 1009830, 1009831]}",2024-07-30 02:05:25,2024-07-30 02:05:25
78,78,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1012881, 1012890, 1012891, 1012900, 1012901]}",2024-07-30 02:05:25,2024-07-30 02:05:25
79,79,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1012911, 1012920, 1012921, 1012930, 1012931]}",2024-07-30 02:05:25,2024-07-30 02:05:25
80,80,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1015741, 1015750, 1015751, 1014210, 1014211]}",2024-07-30 02:05:25,2024-07-30 02:05:25
81,81,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1015761, 1015770, 1015771, 1014220, 1014221]}",2024-07-30 02:05:25,2024-07-30 02:05:25
82,82,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1018631, 1018640, 1018641, 1018650, 1018651]}",2024-07-30 02:05:25,2024-07-30 02:05:25
83,83,EquipmentSkillLimitation::CardLimitation,"{""card_ids"": [1018601, 1018610, 1018611, 1018620, 1018621]}",2024-07-30 02:05:25,2024-07-30 02:05:25
