id,description
1000,{center:begin}{size: 25}気玉をタップしてみましょう{size}{center}
1010,"{center:begin}{size: 35}気玉について{size}
{initialImage: layout/image/tutorial/tut_common_dialog_title_line.png}
{initialImage: layout/image/tutorial/tutorial_ex_001.png}
{size: 25}気玉を取るとキャラクターの
{color : #FF9900}気力と攻撃力（ATK）{color}が上昇して
敵に与えるダメージが増加します{size}{center}"
1011,"{center:begin}{size: 35}気玉について{size}
{initialImage: layout/image/tutorial/tut_common_dialog_title_line.png}
{initialImage: layout/image/tutorial/tutorial_ex_002.png}
{size: 25}同じ色で連なっている気玉は
{color : #FF9900}まとめて取得することが可能{color}です{size}{center}"
1012,"{center:begin}{size: 35}気玉について{size}
{initialImage: layout/image/tutorial/tut_common_dialog_title_line.png}
{initialImage: layout/image/tutorial/tutorial_ex_003.png}
{size: 25}自分の属性と同じ色の気玉を取ると
{color : #FF9900}通常の２倍の気力{color}が溜まります{size}{center}"
1020,"{center:begin}{size: 35}必殺技について{size}
{initialImage: layout/image/tutorial/tut_common_dialog_title_line.png}
{initialImage: layout/image/tutorial/tutorial_ex_004.png}
{size: 25}一定以上の気が溜まると
{color : #FF9900}必殺技{color}を撃つことができます{size}{center}"
1021,"{center:begin}{size: 35}必殺技について{size}
{initialImage: layout/image/tutorial/tut_common_dialog_title_line.png}
{initialImage: layout/image/tutorial/tutorial_ex_005.png}
{size: 25}必殺技を撃つと敵に{color : #FF9900}大ダメージ{color}を与え、
中には{color : #FF9900}様々な追加効果{color}を持つ
必殺技もあります{size}{center}"
1030,"{center:begin}{size: 25}孫悟空は{color : #FF9900}体属性{color}なので
自分の属性と同じ{color : #FF9900}オレンジの気玉{color}を取ると
通常の２倍の気力が溜まります{size}{center}"
1100,"{center:begin}{size: 35}属性相性について{size}
{initialImage: layout/image/tutorial/tut_common_dialog_title_line.png}
{initialImage: layout/image/tutorial/tutorial_ex_009.png}
{size: 25}{color : #FF9900}敵に対して{color : #FF9900}有利な属性{color}のキャラクターで
攻撃を受けることで
{color : #FF9900}ガードしてダメージを軽減{color}できます。{size}{center}"
1101,"{center:begin}{size: 35}属性相性について{size}
{initialImage: layout/image/tutorial/tut_common_dialog_title_line.png}
{center:begin}{initialImage: layout/image/tutorial/tutorial_ex_008.png}
{size: 25}また、敵に対して有利な属性で攻撃すると
{color : #FF9900}与えるダメージが増加{color}します。{size}{center}"
1102,"{center:begin}{size: 35}属性相性について{size}
{initialImage: layout/image/tutorial/tut_common_dialog_title_line.png}
{center:begin}{initialImage: layout/image/tutorial/tutorial_ex_010.png}
{size: 25}今回の場合は
{color : #FF9900}「体属性」{color}が{color : #9900FF}「知属性」{color}に対して有利
となります。{size}{center}"
1110,"{center:begin}{size: 35}攻撃の順番について{size}
{initialImage: layout/image/tutorial/tut_common_dialog_title_line.png}
{center:begin}{initialImage: layout/image/tutorial/tutorial_ex_006.png}
{size: 25}攻撃の順番は
{color : #FF9900}画面下部に並んでいる敵と味方のアイコン{color}
で確認することができます。
並んでいるアイコンは
{color : #FF9900}左から順番に行動{color}していきます。{size}{center}"
1111,"{center:begin}{size: 35}攻撃の順番について{size}
{initialImage: layout/image/tutorial/tut_common_dialog_title_line.png}
{initialImage: layout/image/tutorial/tutorial_ex_007.png}
{size: 25}この画像の場合は{center}
　　１　ラディッツが孫悟空に攻撃
　　２　孫悟空がラディッツに攻撃
　　３　ピッコロがラディッツに攻撃
{center:begin}という順番で行動します。{size}{center}"
1120,"{center:begin}{size: 25}ラディッツの攻撃をガードするために
孫悟空とピッコロの
位置を入れ替えましょう{size}{center}"
2000,"{center:begin}{size: 35}修業について{size}
{initialImage: layout/image/tutorial/tut_common_dialog_title_line.png}
{initialImage: layout/image/tutorial/tutorial_ex_011.png}
{size: 25}修業を行うことでキャラクターのLvを上げ
{color : #FF9900}ステータスを上昇{color}させられます。
Lvを最大まで上げたキャラクターは
{color : #CC33FF}「覚醒」{color}することで
さらに強化することができます。{size}{center}"
