id,budokai_help_id,image_path,description
1,1,,"天下一武道会が開催期間中に、
ホーム画面の「出発」ボタン内にある
「天下一武道会」を押下することで、
 天下一武道会画面に移動することができます。"
2,1,images/help_ten1/1_1_1b.png,"天下一武道会の開催期間中は
{color: #FFFF00}トーナメント{color}に参加することができます。

トーナメントでは、予選、準決勝といった
「ラウンド」毎に{color: #FFFF00}武道会pt{color}をどれだけ獲得できるかを
競い合います。"
3,1,images/help_ten1/20160414_1_1_2.png,"トーナメントを勝ち上がり、「武道会pt」を得ながら
優勝を目指しましょう。

また、武道会ptを積み重ね、ランキングに入ることが
できれば報酬を獲得することができます。"
4,1,images/help_ten1/rule.png,"
武道会開催期間内であれば、何度でもトーナメントに
参加することができるので、途中で負けても諦めず
挑戦してみましょう。"
5,2,,"武道会のTOP画面で、中央のボタンが{color: #FFFF00}「参加する」{color}に
なっていれば、トーナメントに参加することができます。
"
6,2,images/help_ten1/tournament.png,"途中まで勝ち上がっている場合、{color: #FFFF00}「続きから」{color}を
選択することでトーナメントの続きから
進めることができます。"
7,2,,"
トーナメントに参加中のチームは通常の冒険や
イベントでも使用可能ですが、トーナメントを
終えるまでは{color: #FFFF00}チームの編成{color}が行えません。"
8,2,images/help_ten1/1_2_2_2.png,"
トーナメントの参加中は、ラウンドが終了しても
チームのHPは回復せず引き継がれますので
アイテムの補給を怠らないようにしましょう。

トーナメントは
　・優勝
　・リタイア
　・バトルでHPが0になった際の「ゲームオーバー」
　・勝ち抜けに失敗
　・すごろく（バトル）中に「あきらめる」を
　　選択してリタイア
することで終了します。"
9,3,,"天下一武道会は{color: #FFFF00}「武道会pt」{color}で成績が決まります。

武道会ptはトーナメント中、予選突破などの
ラウンド勝ちあがり時や、バトル、すごろくで
獲得できます。

このポイントの合計を{color: #FFFF00}「獲得武道会pt」{color}と呼びます。
"
10,3,images/help_ten1/20160407-Help_13.png,"
一方、{color: #FFFF00}「総合武道会pt」{color}は
大会期間全体での成績をあらわしています。

ラウンド中(予選や準決勝、決勝)に獲得した武道会ptが
ラウンド終了時に「総合武道会pt」として加算されます。"
