id,name,description,created_at,updated_at
100001,目覚める超戦士,速と知と体属性のATK30%UP,2024-07-30 02:06:36,2024-07-30 02:06:36
100002,取り戻したプライド,技と知と力属性のATK30%UP,2024-07-30 02:06:36,2024-07-30 02:06:36
100003,地球育ちのサイヤ人,技と力属性の気力+2,2024-07-30 02:06:36,2024-07-30 02:06:36
100004,闘いの天才,HP30%以下でATK25%UP,2024-07-30 02:06:36,2024-07-30 02:06:36
100005,最凶の帝王,全属性のATK15%UP,2024-07-30 02:06:36,2024-07-30 02:06:36
100006,襲いくる絶望,力属性のATK25%UP,2024-07-30 02:06:36,2024-07-30 02:06:36
100007,進化する人造人間,速属性のATK25%UP,2024-07-30 02:06:36,2024-07-30 02:06:36
100008,時を越える邪悪,技属性のATK25%UP,2024-07-30 02:06:36,2024-07-30 02:06:36
100009,不屈の闘志,技と力属性のATK25%UP,2024-07-30 02:06:36,2024-07-30 02:06:36
100010,鋭いまなざし,速と体属性のATK25%UP,2024-07-30 02:06:36,2024-07-30 02:06:36
100011,修錬の結晶,HP80%以下でATK20%UP,2024-07-30 02:06:36,2024-07-30 02:06:36
100012,厳格な師匠,HP80%以下で気力+1,2024-07-30 02:06:36,2024-07-30 02:06:36
100013,繰り出される技能,HP30%以下でATK25%UP,2024-07-30 02:06:36,2024-07-30 02:06:36
100014,特殊な才能,知属性のHP25%UP,2024-07-30 02:06:36,2024-07-30 02:06:36
100015,奥義のお披露目,敵のDEF25%DOWN,2024-07-30 02:06:36,2024-07-30 02:06:36
100016,一流のサイヤ人戦士,HP30%以下でATK25%UP,2024-07-30 02:06:36,2024-07-30 02:06:36
100017,エリート戦士の猛威,力属性のHPとATK20%UP,2024-07-30 02:06:36,2024-07-30 02:06:36
100018,秘められた実力,知属性のATK25%UP,2024-07-30 02:06:36,2024-07-30 02:06:36
100019,フェアな闘志,HP25%UP,2024-07-30 02:06:36,2024-07-30 02:06:36
100020,計算された闘い,HP50%以上でATK15%UP,2024-07-30 02:06:36,2024-07-30 02:06:36
100021,レッドリボン軍の恨み,技属性の敵のATK25%DOWN,2024-07-30 02:06:36,2024-07-30 02:06:36
100022,無限の闘争心,速属性の敵のATK25%DOWN,2024-07-30 02:06:36,2024-07-30 02:06:36
100023,美しき刺客,知と力属性のATK25%UP,2024-07-30 02:06:36,2024-07-30 02:06:36
100024,解き放たれた力,体属性のHPとATK20%UP,2024-07-30 02:06:36,2024-07-30 02:06:36
